,name,address,geocodes
0,DATTCO Inc,"583 South St, Newburgh, NY 12550, USA","{'lat': 41.5085629, 'lng': -74.0342722}"
1,DATTCO Inc,"583 South St, Newburgh, NY 12550, USA","{'lat': 41.5085629, 'lng': -74.0342722}"
2,DATTCO Inc,"583 South St, Newburgh, NY 12550, USA","{'lat': 41.5085629, 'lng': -74.0342722}"
3,SCCOE,"1290 Ridder Park Dr, San Jose, CA 95131, USA","{'lat': 37.3833101, 'lng': -121.900106}"
4,"Laidlaw International, Inc.","975 Cobb Pl Blvd NW, Kennesaw, GA 30144, USA","{'lat': 34.008865, 'lng': -84.5823992}"
5,Student Transportation of America Inc,"496 Phelan Ave, San Jose, CA 95112, USA","{'lat': 37.3160791, 'lng': -121.8610884}"
6,Southwest Transportation Agency,"16644 S Elm Ave, Caruthers, CA 93609, USA","{'lat': 36.4923081, 'lng': -119.7903043}"
7,Durham School Services,"1506 White Oaks Rd, Campbell, CA 95008, USA","{'lat': 37.2658618, 'lng': -121.9481554}"
8,Shelley School District,"545 Seminary Ave, Shelley, ID 83274, USA","{'lat': 43.373269, 'lng': -112.1218654}"
9,FirstGroup America,"55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
10,Durham School Services,"1431 Opus Pl STE 200, Downers Grove, IL 60515, USA","{'lat': 41.8281613, 'lng': -88.0230388}"
11,FirstGroup America,"9714 Illinois Rte 59, Naperville, IL 60564, USA","{'lat': 41.706921, 'lng': -88.205918}"
12,DATTCO Inc,"131 Tuttle Rd, Middletown, CT 06457, USA","{'lat': 41.5930367, 'lng': -72.6813239}"
13,Alltown Bus Svc Inc,"2345 W Nelson St, Chicago, IL 60618, USA","{'lat': 41.9365585, 'lng': -87.6873311}"
14,"First Student, Inc.","750 Stanton Christiana Rd, Newark, DE 19713, USA","{'lat': 39.7062491, 'lng': -75.6523401}"
15,Pendergast Elementary School District,"3802 N 91st Ave, Phoenix, AZ 85037, USA","{'lat': 33.4910643, 'lng': -112.2557027}"
16,Durham School Services,"16627 S Avalon Blvd STE A, Carson, CA 90746, USA","{'lat': 33.8803604, 'lng': -118.2657271}"
17,"First Student, Inc.","4902 Market St, Wilmington, NC 28403, USA","{'lat': 34.2429878, 'lng': -77.8849154}"
18,"Laidlaw International, Inc.","55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
19,FirstGroup America,"1202 Armstrong St, Morris, IL 60450, USA","{'lat': 41.3654099, 'lng': -88.4051279}"
20,FirstGroup America,"407 High St, Nashville, TN 37211, USA","{'lat': 36.1006982, 'lng': -86.74168710000001}"
21,Laidlaw Education Services,"1823 Centre Point Cir, Naperville, IL 60563, USA","{'lat': 41.8053456, 'lng': -88.13642209999999}"
22,West County Transportation Agency,"5340 Skylane Blvd, Santa Rosa, CA 95403, USA","{'lat': 38.5121964, 'lng': -122.7981348}"
23,"FirstGroup America, Inc...","55 Shuman Blvd, Naperville, IL 60563, USA","{'lat': 41.8051562, 'lng': -88.1441594}"
24,"FirstGroup America, Inc...","55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
25,FirstGroup plc,"55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
26,Vocational Rehabilitati...,"55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
27,"FirstGroup America, Inc...","1240 E Diehl Rd, Naperville, IL 60563, USA","{'lat': 41.8006191, 'lng': -88.12296119999999}"
28,Plural,"55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
29,"FirstGroup America, Inc.","55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
30,Illinois Central School...,"1713 N Aurora St, Pontiac, IL 61764, USA","{'lat': 40.8953169, 'lng': -88.6247759}"
31,"FirstGroup America, Inc...","55 Shuman Blvd, Naperville, IL 60563, USA","{'lat': 41.8051562, 'lng': -88.1441594}"
32,"FirstGroup America, Inc.","55 Shuman Blvd, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
33,Colonial School District,"318 E Basin Rd, New Castle, DE 19720, USA","{'lat': 39.6765718, 'lng': -75.586652}"
