,Name,Address,Geocodes
0,Durham School Svc,"4029 Las Virgenes Rd, Calabasas, CA 91302, USA","{'lat': 34.1334461, 'lng': -118.7037191}"
1,Student Transportation-america,"1350 Baldwin Hill Rd, Gales Ferry, CT 06335, USA","{'lat': 41.405418, 'lng': -72.07368939999999}"
2,Student Transportation-america,"80 Tower Ave, Groton, CT 06340, USA","{'lat': 41.33612309999999, 'lng': -72.0481561}"
3,Illinois Central Schl Bus Llc,"200 N 5th St, Alhambra, CA 91801, USA","{'lat': 34.0948675, 'lng': -118.1332063}"
4,Illinois Central School Bus,"3412 W Touhy Ave, Skokie, IL 60076, USA","{'lat': 42.0138922, 'lng': -87.7149704}"
5,Illinois Central School Bus,"950 Gore Rd, Morris, IL 60450, USA","{'lat': 41.3875688, 'lng': -88.4407196}"
6,Illinois Central School Bus,"1265 Hamilton Ave, University Park, IL 60484, USA","{'lat': 41.4299809, 'lng': -87.7550364}"
7,Illinois Central School Bus,"641 N Ohio St, Aurora, IL 60505, USA","{'lat': 41.7685906, 'lng': -88.29026590000001}"
8,Illinois Central School Bus,"901 S Central Ave, Compton, CA 90220, USA","{'lat': 33.8875012, 'lng': -118.2505609}"
9,Illinois Central School Bus,"11959 S Cicero Ave, Alsip, IL 60803, USA","{'lat': 41.6748522, 'lng': -87.73832279999999}"
10,M & J Bus Lines Inc,"130 Ingham Hill Rd, Old Saybrook, CT 06475, USA","{'lat': 41.297799, 'lng': -72.392144}"
11,Marion Community School Dist,"826 E 30th St, Marion, IN 46953, USA","{'lat': 40.5333839, 'lng': -85.6498694}"
12,Laidlaw International  Inc,"55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
13,LAIDLAW EDUCATION SVC,"4000 Faye Road, Jacksonville, FL 32226, USA","{'lat': 30.4335512, 'lng': -81.56277}"
14,COLONIAL TRANSPORTATION,"1617 Matassino Rd, New Castle, DE 19720, USA","{'lat': 39.6908465, 'lng': -75.5775211}"
15,STUDENT TRANSPORTATION-AMERICA,"1540 S 7th St, San Jose, CA 95112, USA","{'lat': 37.3167986, 'lng': -121.8668904}"
16,DURHAM SCHOOL SVC,"850 92nd Ave # 5, Oakland, CA 94603, USA","{'lat': 37.743593, 'lng': -122.182505}"
17,DURHAM SCHOOL SVC,"16627 S Avalon Blvd, Carson, CA 90746, USA","{'lat': 33.8803604, 'lng': -118.2657271}"
18,FIRST STUDENT INC,"5400 Murray St, Little Rock, AR 72209, USA","{'lat': 34.6992224, 'lng': -92.31483089999999}"
19,FIRST STUDENT INC,"55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
20,Meridian Transportation,"50 N Ward Ln, Meridian, ID 83642, USA","{'lat': 43.6079316, 'lng': -116.4190538}"
21,Portage School Bus Garage Inc,"3280 Airport Rd, Boulder, CO 80301, USA","{'lat': 40.0332021, 'lng': -105.2298719}"
22,Colonial Transportation,"1617 Matassino Rd, New Castle, DE 19720, USA","{'lat': 39.6908465, 'lng': -75.5775211}"
23,First Student Inc,"15763 Aptakisic Rd, Prairie View, IL 60069, USA","{'lat': 42.1779918, 'lng': -87.94240359999999}"
24,Durham School Svc,"647 Cromwell Ave, Rocky Hill, CT 06067, USA","{'lat': 41.65256249999999, 'lng': -72.6828365}"
25,Durham School Svc,"62 Fulkerson Dr, Waterbury, CT 06708, USA","{'lat': 41.58452279999999, 'lng': -73.06612249999999}"
26,Durham School Svc,"10017 103rd St, Jacksonville, FL 32210, USA","{'lat': 30.248049, 'lng': -81.824851}"
27,Durham School Svc,"2713 River Ave, Rosemead, CA 91770, USA","{'lat': 34.0611775, 'lng': -118.0734474}"
28,Durham School Svc,"1025 Shary Cir, Concord, CA 94518, USA","{'lat': 37.952696, 'lng': -122.0307369}"
29,Durham School Svc,"850 92nd Ave # 5, Oakland, CA 94603, USA","{'lat': 37.743593, 'lng': -122.182505}"
30,Student Transportation-america,"340 Lee Rd, Jacksonville, FL 32225, USA","{'lat': 30.3282549, 'lng': -81.5367066}"
31,Student Transportation-america,"6414 Hollister Ave, Goleta, CA 93117, USA","{'lat': 34.4316684, 'lng': -119.8487934}"
32,Student Transportation-america,"1540 S 7th St, San Jose, CA 95112, USA","{'lat': 37.3167986, 'lng': -121.8668904}"
33,Warren Township Tranporation,"9150 Rawles Ave, Indianapolis, IN 46229, USA","{'lat': 39.7635568, 'lng': -86.00506969999999}"
34,Illinois Central School Bus,"7301 Melton Rd, Gary, IN 46403, USA","{'lat': 41.5950056, 'lng': -87.2492001}"
35,Illinois Central School Bus,"300 N Randall Rd, Lake in the Hills, IL 60156, USA","{'lat': 42.1807678, 'lng': -88.3382017}"
36,Illinois Central School Bus,"2739 139th St, Blue Island, IL 60406, USA","{'lat': 41.6404003, 'lng': -87.6881975}"
37,First Student Inc,"630 Oakwood Ave, Aurora, IL 60505, USA","{'lat': 41.7790605, 'lng': -88.2983069}"
38,Academy Transportation Office,"7408 Duryea Dr A, Colorado Springs, CO 80920, USA","{'lat': 38.94143, 'lng': -104.7313126}"
39,"Dattco Tours, Inc.","583 South St, Newburgh, NY 12550, USA","{'lat': 41.5085629, 'lng': -74.0342722}"
40,"Student Transportation of America, Inc.","80 Tower Ave, Groton, CT 06340, USA","{'lat': 41.33612309999999, 'lng': -72.0481561}"
41,"Dattco Tours, Inc.","304 Post Rd E, Westport, CT 06880, USA","{'lat': 41.1400339, 'lng': -73.3556952}"
42,Santa Barbara Transportation Corporation,"6414 Hollister Ave, Goleta, CA 93117, USA","{'lat': 34.4316684, 'lng': -119.8487934}"
43,"Johannes Bus Service, Inc","11-5 31st Ave, Astoria, NY 11106, USA","{'lat': 40.7696925, 'lng': -73.935028}"
44,Grove Elk Unified School District,"8421 Gerber Rd, Sacramento, CA 95828, USA","{'lat': 38.4835223, 'lng': -121.3940941}"
45,"Dattco Tours, Inc.","20 Industrial Dr, Mazomanie, WI 53560, USA","{'lat': 43.17422450000001, 'lng': -89.80999159999999}"
46,Santa Barbara Transportation Corporation,"1331 Jason Way, Santa Maria, CA 93455, USA","{'lat': 34.9185658, 'lng': -120.4594809}"
47,Illinois Central School Bus LLC,"2020 Albright Rd, Montgomery, IL 60538, USA","{'lat': 41.724444, 'lng': -88.35336099999999}"
48,Brown Bus Company,"2111 E Sherman Ave, Nampa, ID 83686, USA","{'lat': 43.5647041, 'lng': -116.5448647}"
49,Atlantic Express Transportation Corp.,"201 Sotello St, Los Angeles, CA 90012, USA","{'lat': 34.0675169, 'lng': -118.2300808}"
50,"M & J Bus Lines, Inc.","130 Ingham Hill Rd, Old Saybrook, CT 06475, USA","{'lat': 41.297799, 'lng': -72.392144}"
51,Irvine Unified School District,"100 Nightmist, Irvine, CA 92618, USA","{'lat': 33.6809606, 'lng': -117.7541278}"
52,Long Beach Unified School Dist,"2700 Pine Ave, Manhattan Beach, CA 90266, USA","{'lat': 33.8958936, 'lng': -118.3984335}"
53,Cook County School Bus Inc,"1910 Busse Rd, Arlington Heights, IL 60005, USA","{'lat': 42.0317223, 'lng': -87.96229079999999}"
54,Cook-Illinois Corp.,"4845 167th St FL 300, Oak Forest, IL 60452, USA","{'lat': 41.5881719, 'lng': -87.73769639999999}"
55,Muscogee County School District,"5908 Whitesville Rd, Columbus, GA 31904, USA","{'lat': 32.529914, 'lng': -84.96194899999999}"
56,Vigo County School Corporation,"3250 Maple Ave, Dallas, TX 75201, USA","{'lat': 32.8001926, 'lng': -96.80916460000002}"
57,Montville Board of Education,"166 Chesterfield Rd, East Lyme, CT 06333, USA","{'lat': 41.3849407, 'lng': -72.2211344}"
58,Jackson County School Bus Garage,"2789 Pennsylvania Ave, Charleston, WV 25302, USA","{'lat': 38.3934107, 'lng': -81.5890429}"
59,American Consolidated Transportation Co Inc (del),"2513 E Higgins Rd, Elk Grove Village, IL 60007, USA","{'lat': 42.0127943, 'lng': -87.948242}"
60,A & D Protocol Transportation Inc,"2098 W El Camino Real, Mountain View, CA 94040, USA","{'lat': 37.3960278, 'lng': -122.1014745}"
61,Illinois Central School Bus LLC,"802 N Meridian St, Indianapolis, IN 46204, USA","{'lat': 39.7782413, 'lng': -86.1585108}"
62,"Cardinal Transportation Group, Inc.","14800 S Avalon Blvd, Gardena, CA 90248, USA","{'lat': 33.89840179999999, 'lng': -118.263306}"
63,"First Student, Inc.","5 Glen Rd #6, New Fairfield, CT 06812, USA","{'lat': 41.454386, 'lng': -73.48577310000002}"
