,Name,Address,Geocodes
0,"Express, Llc","1 Limited Pkwy, Columbus, OH 43230, USA","{'lat': 40.05425, 'lng': -82.89983099999999}"
1,Ga Southern Univ Research,"Rte 301, St Thomas 00802, USVI","{'lat': 18.3571569, 'lng': -64.98147209999999}"
2,Michigan Virtual University,"Tech Blvd, Florida 33619, USA","{'lat': 27.9649367, 'lng': -82.33103469999999}"
3,"Rogers Group, Inc.","421 Great Circle Rd, Nashville, TN 37228, USA","{'lat': 36.2005922, 'lng': -86.8017119}"
4,Copyfax Inc,"6842 Hawthorn Park Dr, Indianapolis, IN 46220, USA","{'lat': 39.8807345, 'lng': -86.0747653}"
5,New York Institute Of Technology Inc,"Northern Blvd, New York, USA","{'lat': 40.7887673, 'lng': -73.70559469999999}"
6,"Astro-Med, Inc.","600 E Greenwich Ave, West Warwick, RI 02893, USA","{'lat': 41.672179, 'lng': -71.50239499999999}"
7,"Suny, University At Buffalo","Capen Hall, Buffalo, NY 14228, USA","{'lat': 43.0009502, 'lng': -78.7897285}"
8,"Anatec International, Inc.","1241 Puerta Del Sol, San Clemente, CA 92673, USA","{'lat': 33.4577029, 'lng': -117.5890163}"
9,City Of Elizabeth,"50 Winfield Scott Plaza, Elizabeth, NJ 07201, USA","{'lat': 40.6635991, 'lng': -74.2120171}"
10,International Bank For Reconstruction & Developmen,"1818 H St NW, Washington, D.C., DC 20433, USA","{'lat': 38.8989707, 'lng': -77.0424139}"
11,Portland Community College,"12000 SW 49th Ave, Portland, OR 97219, USA","{'lat': 45.4380653, 'lng': -122.7307655}"
12,Daxor Corporation,"107 Meco Ln, Oak Ridge, TN 37830, USA","{'lat': 36.04240970000001, 'lng': -84.2063874}"
13,Us China Business Council,"1818 N St NW # 200, Washington, D.C., DC 20036, USA","{'lat': 38.9070235, 'lng': -77.0429354}"
14,J & R Electronics Inc.,"15 Park Row, New York, NY 10038, USA","{'lat': 40.7113242, 'lng': -74.00785599999999}"
15,"Monmouth Cardiology Associates, Llc","301 Bingham Ave Ste C, Ocean Township, NJ 07712, USA","{'lat': 40.227332, 'lng': -74.0368069}"
16,Peoples Bancorp Inc.,"138 Putnam St, Providence, RI 02909, USA","{'lat': 41.8241064, 'lng': -71.44396689999999}"
17,Union Savings Bank,"226 Main St, Beacon, NY 12508, USA","{'lat': 41.5069918, 'lng': -73.9729706}"
18,March Of Dimes Foundation,"1275 Mamaroneck Ave, White Plains, NY 10605, USA","{'lat': 40.9902871, 'lng': -73.74493559999999}"
19,"Heale Manufacturing Co., Inc.","1231 The Strand, Waukesha, WI 53186, USA","{'lat': 43.0184901, 'lng': -88.2178921}"
20,The Scranton Times Limited Partnership,"812 Park Ave, New York, NY 10021, USA","{'lat': 40.773096, 'lng': -73.9628949}"
21,Smart Business Advisory And Consulting Llc,"80 Lancaster Ave, Kentfield, CA 94904, USA","{'lat': 37.9496836, 'lng': -122.5430414}"
22,"Acxiom Ch, Inc.","601 E 3rd St, Little Rock, AR 72201, USA","{'lat': 34.7446362, 'lng': -92.26412789999999}"
23,Laidlaw International Inc,"12049 Spring Brook Dr, Eagle River, AK 99577, USA","{'lat': 61.32998560000001, 'lng': -149.5584577}"
24,South Bend Transportation,"3003 N Bendix Dr, South Bend, IN 46628, USA","{'lat': 41.7168809, 'lng': -86.29511769999999}"
25,Cardinal Transportation,"1143 Stanford Ave, Redondo Beach, CA 90278, USA","{'lat': 33.8638685, 'lng': -118.3849299}"
26,Weld County School District,"810 8th St SE, Rochester, MN 55904, USA","{'lat': 44.0148318, 'lng': -92.45189669999999}"
27,Laidlaw International Inc,"55 Shuman Blvd # 400, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
28,City of Woodstock,"11401 Charles Rd, Woodstock, IL 60098, USA","{'lat': 42.3591992, 'lng': -88.41967489999999}"
29,Montgomery County Board of,"5000 Troy Hwy, Montgomery, AL 36116, USA","{'lat': 32.3038279, 'lng': -86.2127526}"
30,Quincy Public Schools Unit,"121 N 20th St, Philadelphia, PA 19103, USA","{'lat': 39.956157, 'lng': -75.1723794}"
31,Lynmar lending group inc,"55 Shuman Blvd # 550, Naperville, IL 60563, USA","{'lat': 41.8051098, 'lng': -88.1441139}"
32,Laidlaw international inc,"2323 W 47th Ave, Denver, CO 80211, USA","{'lat': 39.7815606, 'lng': -105.0149691}"
33,C i real estate llc,"4845 167th St fl 300, Oak Forest, IL 60452, USA","{'lat': 41.5881719, 'lng': -87.73769639999999}"
34,Monroe county school trnsp,"560 E Miller Dr, Bloomington, IN 47401, USA","{'lat': 39.1465689, 'lng': -86.5276392}"
35,Irvine Unified School District,"14600 Sand Canyon Ave, Irvine, CA 92618, USA","{'lat': 33.6803748, 'lng': -117.7539674}"
36,King travel,"1201 Funston Ave #207, San Francisco, CA 94122, USA","{'lat': 37.765547, 'lng': -122.4710049}"
