,Name,Address,Geocodes
0,FirstGroup America,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
1,FirstGroup America,"3501 Willamette Falls Dr, West Linn, OR 97068, USA","{'lat': 45.3485044, 'lng': -122.6355313}"
2,CVS / Caremark Corporat...,"1037 Ekastown Rd, Saxonburg, PA 16056, USA","{'lat': 40.7262594, 'lng': -79.8249907}"
3,A J Myers & Sons Inc,"2470 Evans City Rd, Harmony, PA 16037, USA","{'lat': 40.7985607, 'lng': -80.10804809999999}"
4,"FirstGroup America, Inc...","29 Kieffer Ln, Kingston, NY 12401, USA","{'lat': 41.9442961, 'lng': -73.9918582}"
5,Liberty High School,"1901 Chester Rd, Bethlehem, PA 18017, USA","{'lat': 40.662988, 'lng': -75.3455968}"
6,First Student,"62 Bridge St, Beverly, MA 01915, USA","{'lat': 42.5501098, 'lng': -70.8939564}"
7,"FirstGroup America, Inc...","3130 PA-100, Macungie, PA 18062, USA","{'lat': 40.5198583, 'lng': -75.5721547}"
8,Family Foundation Schoo...,"431 Chapel Hill Rd, Durham, NC 27701, USA","{'lat': 35.99572879999999, 'lng': -78.9214436}"
9,"FirstGroup America, Inc...","600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
10,"FirstGroup America, Inc...","3333 Keystone Dr, Omaha, NE 68134, USA","{'lat': 41.2888303, 'lng': -96.0476527}"
11,Charlotte-Mecklenburg Schools,"5001 Airport Center Pkwy, Charlotte, NC 28208, USA","{'lat': 35.2218033, 'lng': -80.921249}"
12,"Student Transportation of America, Inc.","364 Hancock Rd, Cameron, NC 28326, USA","{'lat': 35.3594308, 'lng': -79.25335559999999}"
13,First Student,"225 Malden Turnpike, Saugerties, NY 12477, USA","{'lat': 42.1063209, 'lng': -73.9487946}"
14,Goffstown Public Library,"58 Hoit Mill Rd, Weare, NH 03281, USA","{'lat': 43.04245359999999, 'lng': -71.6641602}"
15,Rockland Coach,"160 NB-17, Saint-Quentin, NB E8A 1G7, Canada","{'lat': 47.5085481, 'lng': -67.3920473}"
16,Charlotte-Mecklenburg S...,"5001 Airport Center Pkwy, Charlotte, NC 28208, USA","{'lat': 35.2218033, 'lng': -80.921249}"
17,Buncombe County School ...,"74 Washington Ave, Brentwood, NY 11717, USA","{'lat': 40.789832, 'lng': -73.2470716}"
18,Transgroup Worldwide Lo...,"56 W Church St, Denver, PA 17517, USA","{'lat': 40.217348, 'lng': -76.12846689999999}"
19,"LEPRECHAUN LINES ,INC.","24 Windsor Hwy, New Windsor, NY 12553, USA","{'lat': 41.4912415, 'lng': -74.0338914}"
20,M & N Transportation In...,"5015 Bay Pkwy, Brooklyn, NY 11230, USA","{'lat': 40.6219244, 'lng': -73.9750368}"
21,Student Transportation ...,"364 Hancock Rd, Cameron, NC 28326, USA","{'lat': 35.3594308, 'lng': -79.25335559999999}"
22,A J Myers & Sons Inc,"2001 Ball Park Ct, Export, PA 15632, USA","{'lat': 40.4171286, 'lng': -79.60223309999999}"
23,Durham School Services,"2500 Wheatsheaf Ln, Philadelphia, PA 19137, USA","{'lat': 39.9951296, 'lng': -75.0884449}"
24,Eshelman Transportation...,"4339 Morgantown Rd, Mohnton, PA 19540, USA","{'lat': 40.2172504, 'lng': -75.9103714}"
25,Buncombe County Schools,"2320 Kanuga Rd, Hendersonville, NC 28739, USA","{'lat': 35.2835371, 'lng': -82.4804858}"
26,Capitola Kitchen,"62 E Union St, Goffstown, NH 03045, USA","{'lat': 43.0162255, 'lng': -71.5917285}"
27,"FirstGroup America, Inc...","151 Chautauqua St, Fredonia, NY 14063, USA","{'lat': 42.4287283, 'lng': -79.3410748}"
28,FirstGroup plc,"121 Whitehouse Rd, Rochester, NH 03867, USA","{'lat': 43.2648143, 'lng': -70.9175734}"
29,Family Foundation Of Vi...,"431 Chapel Hill Rd, Durham, NC 27701, USA","{'lat': 35.99572879999999, 'lng': -78.9214436}"
30,"FirstGroup America, Inc.","600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
31,"First Student, Inc.","121 White House Dr, Poquoson, VA 23662, USA","{'lat': 37.1441047, 'lng': -76.373835}"
32,"LEPRECHAUN LINES ,INC.","Leprechaun Ln, Palm Harbor, FL 34683, USA","{'lat': 28.0967896, 'lng': -82.75202259999999}"
33,Leprechaun Lines,"24 Windsor Hwy, New Windsor, NY 12553, USA","{'lat': 41.4912415, 'lng': -74.0338914}"
34,Astra Transportation Co,"70 Palisade Ave, Emerson, NJ 07630, USA","{'lat': 40.9724748, 'lng': -74.0243433}"
35,"FirstGroup America, Inc.","53 Central Ave, Everett, MA 02149, USA","{'lat': 42.4154236, 'lng': -71.05486069999999}"
36,"Student Transportation of America, Inc.","58 Carding Mill Rd, Weare, NH 03281, USA","{'lat': 43.0936372, 'lng': -71.7244721}"
37,FirstGroup plc,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
