,Name,Address,Geocodes
0,"Vocell Bus Co., Inc.","378 Commercial St UNIT E, Malden, MA 02148, USA","{'lat': 42.4132528, 'lng': -71.0747008}"
1,West Point Tours Inc,"PO Box 125, Dacoma, OK 73731, USA","{'lat': 36.6594764, 'lng': -98.56313659999999}"
2,"Brown Coach, Inc.","12 S Bridge Ln, Key Largo, FL 33037, USA","{'lat': 25.2988332, 'lng': -80.289425}"
3,"Dattco Tours, Inc.","86 York Ave, New York, NY 10065, USA","{'lat': 40.7613503, 'lng': -73.9577051}"
4,"Herrera School Buses and Coaches, Inc.","10605 Central Ave NW, Albuquerque, NM 87121, USA","{'lat': 35.0705998, 'lng': -106.7554857}"
5,Northern Adirondack Central School District,"PO Box 164, Hastings, NE 68902, USA","{'lat': 40.5860956, 'lng': -98.38615130000001}"
6,"G.G.&c Bus Company, Inc.","2924 Jefferson Ave, Newport News, VA 23607, USA","{'lat': 36.9846013, 'lng': -76.4227707}"
7,Osseo Brooklyn School Bus Co Inc,"11800 95th Ave N, Maple Grove, MN 55369, USA","{'lat': 45.1292005, 'lng': -93.4311317}"
8,Hopkins Public School District 7,"2747 E 22nd St, Tulsa, OK 74114, USA","{'lat': 36.1316495, 'lng': -95.9495168}"
9,Lodestar Bus Lines Inc,"970 Eisenhower Blvd, Johnstown, PA 15904, USA","{'lat': 40.2671898, 'lng': -78.85976219999999}"
10,Cloquet Transit Co Inc,"1203 B Avenue, Ellisville, MS 39437, USA","{'lat': 31.6144492, 'lng': -89.20068119999999}"
11,Shubat Transportation Company,"618 W 41st St, Los Angeles, CA 90037, USA","{'lat': 34.0094631, 'lng': -118.2847985}"
12,Atlantic Express Transportation Group Inc.,"230 Red Lion Rd, Southampton Township, NJ 08088, USA","{'lat': 39.9077559, 'lng': -74.7451193}"
13,Atlantic Express Transportation Group Inc.,"7 North St, Weaverville, NC 28787, USA","{'lat': 35.6915, 'lng': -82.5618011}"
14,Atlantic Express Transportation Corp.,"7 North St, Weaverville, NC 28787, USA","{'lat': 35.6915, 'lng': -82.5618011}"
15,Atlantic Express of Missouri Inc,"3675 Chouteau Ave, St. Louis, MO 63110, USA","{'lat': 38.6268096, 'lng': -90.2395073}"
16,"Denaples Transportation, Inc","400 Mill St, Bristol, PA 19007, USA","{'lat': 40.0961226, 'lng': -74.85953889999999}"
17,Birnie Bus Service Inc.,"739 Northern Blvd, Jackson Heights, NY 11372, USA","{'lat': 40.7549186, 'lng': -73.8931454}"
18,Buses Co Inc,"80 Edison Ave, Mt Vernon, NY 10550, USA","{'lat': 40.8923716, 'lng': -73.82481349999999}"
19,Tremblay's Bus Co. Llc.,"284 Myrtle St, Redwood City, CA 94062, USA","{'lat': 37.47760299999999, 'lng': -122.2447608}"
20,Barker Bus Company,"1400 US-22, Washington Court House, OH 43160, USA","{'lat': 39.5314048, 'lng': -83.4585455}"
21,Reichert Enterprises Inc,"8342 Industrial Park Rd S, Baxter, MN 56425, USA","{'lat': 46.3509606, 'lng': -94.2261047}"
22,Astra Transportation Corp,"70 Palisade Ave, Emerson, NJ 07630, USA","{'lat': 40.9724748, 'lng': -74.0243433}"
23,"Community Bus Services, Inc.","1415 E Gibson St, Jasper, TX 75951, USA","{'lat': 30.9187708, 'lng': -93.96989479999999}"
24,"Community Bus Services, Inc.","1976 Niles Rd SE, Warren, OH 44484, USA","{'lat': 41.221515, 'lng': -80.7973742}"
25,Suffolk Transportation Corp,"10 Moffitt Blvd, Bay Shore, NY 11706, USA","{'lat': 40.73106380000001, 'lng': -73.23516029999999}"
26,Newhurst Inc,"1000 Rock Rd, Pine Grove, PA 17963, USA","{'lat': 40.5428393, 'lng': -76.2940244}"
27,"Cyr & Sons, Inc, John T.","153 Gilman Falls Ave, Old Town, ME 04468, USA","{'lat': 44.9429798, 'lng': -68.6698341}"
28,"Joseph's Transportation, Inc.","204 Main St, Liberty, KS 67351, USA","{'lat': 37.1557655, 'lng': -95.5963299}"
29,"Chappaqua Transportation, Inc","335 E 14th St, New York, NY 10009, USA","{'lat': 40.7317525, 'lng': -73.98312659999999}"
30,"Thielen Bus Lines, Inc","220 W 11th St, New York, NY 10014, USA","{'lat': 40.7362741, 'lng': -74.0022482}"
31,"Schmitty & Sons School Buses, Inc.","21160 Holyoke Ave, Lakeville, MN 55044, USA","{'lat': 44.6433639, 'lng': -93.2422607}"
32,A J Myers and Sons Inc,"2001 Ball Park Ct, Export, PA 15632, USA","{'lat': 40.4171286, 'lng': -79.60223309999999}"
33,A J Myers and Sons Inc,"2470 Evans City Rd, Harmony, PA 16037, USA","{'lat': 40.7985607, 'lng': -80.10804809999999}"
34,Cleveland County Schools,"300 E Kemper Rd, Springdale, OH 45246, USA","{'lat': 39.287939, 'lng': -84.4608086}"
35,Hat White Management LLC,"E 131st St, Indiana, USA","{'lat': 39.9791825, 'lng': -85.9727927}"
36,McCarter Transit Inc,"2569 Darlington Rd, Beaver Falls, PA 15010, USA","{'lat': 40.772503, 'lng': -80.3772173}"
37,Flinchbaugh Bus Line Inc,"2790 Vireo Rd, York, PA 17403, USA","{'lat': 39.8993355, 'lng': -76.6933336}"
38,Regents of The University of Michigan,"1213 Kipke Dr, Ann Arbor, MI 48104, USA","{'lat': 42.266623, 'lng': -83.7450886}"
39,Varsity Transit Inc,"2345 87th St, East Elmhurst, NY 11369, USA","{'lat': 40.7659089, 'lng': -73.88208540000001}"
40,D B Fisher Charter Bus Company Inc,"1715 Grace Ave, Lebanon, PA 17046, USA","{'lat': 40.3797208, 'lng': -76.445734}"
41,Adair Inc,"309 California St, Philipsburg, MT 59858, USA","{'lat': 46.3345045, 'lng': -113.2952996}"
42,Safeway Transportation Inc.,"13469 Conant St, Detroit, MI 48212, USA","{'lat': 42.41598800000001, 'lng': -83.0620251}"
43,Hudson County Transport Inc,"114 Amity St #126, Brooklyn, NY 11201, USA","{'lat': 40.6892136, 'lng': -73.99670189999999}"
44,Fisher Bros Inc,"100 W Freedom Ave, Burnham, PA 17009, USA","{'lat': 40.631329, 'lng': -77.5642256}"
45,Valley Transportation Corp.,"664 Front St, Lititz, PA 17543, USA","{'lat': 40.1557639, 'lng': -76.28857020000001}"
46,Worcester School District,"20 Irving St Rm 309, Worcester, MA 01609, USA","{'lat': 42.2626557, 'lng': -71.8066363}"
47,Chestnut Ridge Transportation Inc,"230 Red Schoolhouse Rd, Spring Valley, NY 10977, USA","{'lat': 41.068456, 'lng': -74.051936}"
48,F & S Transportation Inc,"37 S Main St, Watkinsville, GA 30677, USA","{'lat': 33.8567577, 'lng': -83.4075002}"
49,APS Transportation Department,"5200 Cutler Ave NE, Albuquerque, NM 87110, USA","{'lat': 35.1046816, 'lng': -106.5857774}"
50,"Benjamin Bus, Inc.","32611 Northfield Blvd, Northfield, MN 55057, USA","{'lat': 44.47702109999999, 'lng': -93.1507914}"
51,Hays Unified School District 489,"508 Main St, Evansville, IN 47708, USA","{'lat': 37.9724589, 'lng': -87.5696524}"
52,D H T Acquisition LLC,"5150 Rosa Parks Blvd, Detroit, MI 48208, USA","{'lat': 42.3525898, 'lng': -83.0830696}"
53,School Tyme Transportation Inc.,"21 School Ave, Clawson, MI 48017, USA","{'lat': 42.545583, 'lng': -83.1473429}"
54,"Advanced Math and Science Academy Charter School, Inc.","201 Forest St, Santa Rosa Beach, FL 32459, USA","{'lat': 30.3198999, 'lng': -86.13092259999999}"
55,"Dufour Escorted Tours, Inc","PO Box 549, Abington, PA 19001, USA","{'lat': 40.1313956, 'lng': -75.13705139999999}"
56,"First Student, Inc.","PO Box 1105, Henderson, TX 75653, USA","{'lat': 32.15, 'lng': -94.8}"
57,"First Student, Inc.","227 N Liberty St, Baltimore, MD 21201, USA","{'lat': 39.292566, 'lng': -76.6164488}"
58,"First Student, Inc.","1633 W Peace St, Canton, MS 39046, USA","{'lat': 32.6004417, 'lng': -90.0758355}"
59,"First Student, Inc.","700 S Maumee St #2, Tecumseh, MI 49286, USA","{'lat': 41.99454970000001, 'lng': -83.9390713}"
60,"First Student, Inc.","3511 Clark Ln, Columbia, MO 65202, USA","{'lat': 38.9653666, 'lng': -92.2840083}"
61,"First Student, Inc.","301 Cayuga Rd Suite 200, Cheektowaga, NY 14225, USA","{'lat': 42.93694319999999, 'lng': -78.7437645}"
62,"First Student, Inc.","15 York Ave, York, ON M6N 2V1, Canada","{'lat': 43.6854684, 'lng': -79.4882602}"
63,"First Student, Inc.","959 Cesar E Chavez Ave, Pontiac, MI 48340, USA","{'lat': 42.658382, 'lng': -83.31977499999999}"
64,"First Student, Inc.","1625 SE Hogan Rd Ste C, Gresham, OR 97080, USA","{'lat': 45.4858324, 'lng': -122.4150375}"
65,"First Student, Inc.","1812 S 12th St, Philadelphia, PA 19148, USA","{'lat': 39.9271801, 'lng': -75.16547109999999}"
66,"First Student, Inc.","803 Walden Ave, Buffalo, NY 14211, USA","{'lat': 42.9054145, 'lng': -78.8073366}"
