,Name,Address,Geocodes
0,SW City Schools,"3427 Southwest Blvd, Grove City, OH 43123, USA","{'lat': 39.8917413, 'lng': -83.0931311}"
1,Lakota Board Of Education,"6947 Yankee Rd, Liberty Township, OH 45044, USA","{'lat': 39.3763221, 'lng': -84.38815819999999}"
2,Transit Tours Inc,"480 Youngstown-Poland Rd, Struthers, OH 44471, USA","{'lat': 41.058285, 'lng': -80.6150861}"
3,School Bus Garage,"6757 Linton Rd, Goshen, OH 45122, USA","{'lat': 39.2314479, 'lng': -84.1503944}"
4,"MV Transportation, Inc.","1801 Transpark Dr, Cincinnati, OH 45229, USA","{'lat': 39.1660269, 'lng': -84.4661994}"
5,Dayton Public Schools,"4280 N James H McGee Blvd, Dayton, OH 45417, USA","{'lat': 39.7715848, 'lng': -84.2583341}"
6,Petermann,"421 Breaden Dr, Monroe, OH 45050, USA","{'lat': 39.4367214, 'lng': -84.3444276}"
7,Dublin City Schools,"6371 Shier Rings Rd, Dublin, OH 43016, USA","{'lat': 40.093556, 'lng': -83.164793}"
8,Ross Transportation Inc,"2500 S Meridian Ave, Oklahoma City, OK 73108, USA","{'lat': 35.4403812, 'lng': -97.60021859999999}"
9,Edmond Schools Transportation,"125 N State St, Genoa, IL 60135, USA","{'lat': 42.09904179999999, 'lng': -88.69843639999999}"
10,Harris Jobe Elementary School,"202 W Broadway St, Shelbyville, IN 46176, USA","{'lat': 39.523191, 'lng': -85.7819215}"
11,Edmond Public Schools,"125 N State St, Genoa, IL 60135, USA","{'lat': 42.09904179999999, 'lng': -88.69843639999999}"
12,Laidlaw Education Services,"6755 NE Columbia Blvd, Portland, OR 97218, USA","{'lat': 45.5681649, 'lng': -122.5942264}"
13,First Student,"2205 National Way, Woodburn, OR 97071, USA","{'lat': 45.15373080000001, 'lng': -122.8321914}"
14,Allied Bus Sales,"945 NW Hayes Ave, Corvallis, OR 97330, USA","{'lat': 44.5815709, 'lng': -123.2593318}"
15,First Student Inc,"1625 SE Hogan Rd, Gresham, OR 97080, USA","{'lat': 45.4858324, 'lng': -122.4150375}"
16,Laidlaw Transit Inc,"700 Rolph St, San Francisco, CA 94112, USA","{'lat': 37.7114301, 'lng': -122.4315839}"
17,First Student,"13000 SW Hall Blvd, Tigard, OR 97223, USA","{'lat': 45.42534149999999, 'lng': -122.7653583}"
18,Palmeri Transportation Inc,"312 Independence Ave, Dearing, KS 67340, USA","{'lat': 37.0557152, 'lng': -95.7107214}"
19,Leibensperger School Trnsp,"3130 PA-100, Macungie, PA 18062, USA","{'lat': 40.5198583, 'lng': -75.5721547}"
20,Romanos School Bus Service,"180 W Bridge St, New Hope, PA 18938, USA","{'lat': 40.3657932, 'lng': -74.9591441}"
21,First Student,"300 Brookside Ave, Ambler, PA 19002, USA","{'lat': 40.1609437, 'lng': -75.2324363}"
22,Dennis L Smith Busing,"1036 E Main St, Shrub Oak, NY 10588, USA","{'lat': 41.3297671, 'lng': -73.8256636}"
23,First Student,"264 Van Horne St, Jersey City, NJ 07304, USA","{'lat': 40.7136212, 'lng': -74.0614983}"
24,Transportation Department,"3411 Leechburg Rd, Lower Burrell, PA 15068, USA","{'lat': 40.5902943, 'lng': -79.6978436}"
25,Palmeri & Son Fuel Oil Inc,"312 Independence Ave, Dearing, KS 67340, USA","{'lat': 37.0557152, 'lng': -95.7107214}"
26,First Student Inc,"895 Swamp Rd, Newtown, PA 18940, USA","{'lat': 40.2564981, 'lng': -75.0153181}"
27,Laidlaw Transit Inc,"97 W Harriet St, Altadena, CA 91001, USA","{'lat': 34.1911886, 'lng': -118.1512853}"
28,First Student Inc,"3742 W 26th St, Chicago, IL 60623, USA","{'lat': 41.8444359, 'lng': -87.7189193}"
29,Superior Bus Service Inc,"1819 Gallagher Rd, Plymouth Meeting, PA 19462, USA","{'lat': 40.1066606, 'lng': -75.3009249}"
30,Transom,"2884 New Centerville Rd, Rockwood, PA 15557, USA","{'lat': 39.9434538, 'lng': -79.18917429999999}"
31,Laidlaw Transit 944 & 518,"200 Hahn Rd, Pittsburgh, PA 15209, USA","{'lat': 40.5113647, 'lng': -79.9853148}"
32,Laidlaw Transit Inc,"235 Chartiers Ave, Pittsburgh, PA 15205, USA","{'lat': 40.4230622, 'lng': -80.0830876}"
33,LongS Motor Bus,"721 Troy Hawk Run Hwy, Philipsburg, PA 16866, USA","{'lat': 40.912129, 'lng': -78.223742}"
34,Transportation Center,"2900 Windmill Rd, Sinking Spring, PA 19608, USA","{'lat': 40.3191451, 'lng': -76.00988629999999}"
35,Yellowbird Bus Co Inc,"5300 Lindbergh Blvd., Philadelphia, PA 19143, USA","{'lat': 39.9337526, 'lng': -75.2142834}"
36,Ronald W Hall,"3152 Kehrer Hill Rd, Montoursville, PA 17754, USA","{'lat': 41.3102104, 'lng': -76.81871459999999}"
37,George Krapf & Sons,"120 Springton Rd, Glenmoore, PA 19343, USA","{'lat': 40.0525144, 'lng': -75.7844763}"
38,Bethel Park School District,"3064 Industrial Blvd, West Sacramento, CA 95691, USA","{'lat': 38.5707448, 'lng': -121.5515166}"
39,Farley Transporation,"5846 Elimsport Rd, Montgomery, PA 17752, USA","{'lat': 41.1502221, 'lng': -77.00718069999999}"
40,Laidlaw Education Services,"150 S 24th St, Pittsburgh, PA 15203, USA","{'lat': 40.42524, 'lng': -79.9723808}"
41,Plum Boro School District Inc,"3411 Leechburg Rd, Lower Burrell, PA 15068, USA","{'lat': 40.5902943, 'lng': -79.6978436}"
42,Ryder System,"264 Van Horne St, Jersey City, NJ 07304, USA","{'lat': 40.7136212, 'lng': -74.0614983}"
43,Valley Transportation Corp,"664 Front St, Lititz, PA 17543, USA","{'lat': 40.1557639, 'lng': -76.28857020000001}"
44,First Student Inc,"3 Ricom Way, Providence, RI 02909, USA","{'lat': 41.8107751, 'lng': -71.44221569999999}"
45,Laidlaw Educational Services Inc,"66 Halsey St, Providence, RI 02906, USA","{'lat': 41.8341773, 'lng': -71.406953}"
46,First Student Inc,"33650 6th Ave S, Federal Way, WA 98003, USA","{'lat': 47.2988897, 'lng': -122.3246846}"
47,"First Student, Inc.","40 Higginson Ave, Lincoln, RI 02865, USA","{'lat': 41.88551959999999, 'lng': -71.4128358}"
48,Laidlaw Transit Inc,"2306 Walden Ave, Buffalo, NY 14225, USA","{'lat': 42.9079406, 'lng': -78.7503661}"
49,Herrera School Buses & Coaches,"10605 Central Ave NW, Albuquerque, NM 87121, USA","{'lat': 35.0705998, 'lng': -106.7554857}"
50,First Student Inc,"959 Cesar E Chavez Ave, Pontiac, MI 48340, USA","{'lat': 42.658382, 'lng': -83.31977499999999}"
51,Wolfington Body Co,"30 Pottstown Pike, Exton, PA 19341, USA","{'lat': 40.0283042, 'lng': -75.6286154}"
52,Mesa Transportation Inc,"1570 McBride Rd, Van Meter, IA 50261, USA","{'lat': 41.4182886, 'lng': -93.93899859999999}"
53,"Zebra Technologies International, Llc","333 Corporate Woods Pkwy, Vernon Hills, IL 60061, USA","{'lat': 42.2144795, 'lng': -87.952013}"
54,"Jdf Distribution Solutions, Inc.","450 Airline Dr Ste 100, Coppell, TX 75019, USA","{'lat': 32.945104, 'lng': -97.0023841}"
55,The Bank Of New York Mellon Corporation,"1 Wall St Fl 2, New York, NY 10005, USA","{'lat': 40.7052472, 'lng': -74.0085749}"
56,The Northern Trust Company,"206 E Anapamu St, Santa Barbara, CA 93101, USA","{'lat': 34.4255897, 'lng': -119.7018343}"
57,"Insurance Services Office, Inc","2 Blue Hill Plaza, Pearl River, NY 10965, USA","{'lat': 41.0474864, 'lng': -74.0071517}"
58,Union Pacific Corporation,"1400 Douglas St, Omaha, NE 68179, USA","{'lat': 41.259172, 'lng': -95.93518}"
59,"Ks Management Services, L.l.p.","8900 Lakes at 610 Dr, Houston, TX 77054, USA","{'lat': 29.675755, 'lng': -95.4195649}"
60,"Andrews Mcmeel Universal, Inc.","4520 Main St #700, Kansas City, MO 64111, USA","{'lat': 39.0452765, 'lng': -94.58748349999999}"
61,Choice One Communications Inc.,"100 Chestnut St # 600, Rochester, NY 14604, USA","{'lat': 43.1548727, 'lng': -77.6025367}"
62,Wake County Public School Syst,"1551 Rock Quarry Rd, Raleigh, NC 27610, USA","{'lat': 35.7598627, 'lng': -78.6111635}"
63,Calcasieu Parish School Board,"3800 Mallard Cove St, Lake Charles, LA 70615, USA","{'lat': 30.20544739999999, 'lng': -93.1578177}"
64,Barker Steel Co,"55 Sumner St, Milford, MA 01757, USA","{'lat': 42.1546814, 'lng': -71.52018559999999}"
65,Joseph's Transportation Inc,"44 James St, Green Island, NY 12183, USA","{'lat': 42.7455819, 'lng': -73.6933119}"
66,Jody's Inc,"20 Nami Ln #3, Hamilton Township, NJ 08619, USA","{'lat': 40.25890649999999, 'lng': -74.6819421}"
67,Winsale Inc,"976 Newark Ave, Jersey City, NJ 07306, USA","{'lat': 40.7376868, 'lng': -74.07246669999999}"
68,E & B Transportation,"2571 Municipal Rd, Dover, PA 17315, USA","{'lat': 39.99321219999999, 'lng': -76.8550918}"
69,Stow-Munroe Falls City School,"4158 Newcomer Rd, Stow, OH 44224, USA","{'lat': 41.1701088, 'lng': -81.39359520000001}"
70,Stout's Bus Service Inc,"20 Irven St, Ewing Township, NJ 08638, USA","{'lat': 40.2514349, 'lng': -74.7553318}"
71,Benjamin Bus Inc,"32611 Northfield Blvd, Northfield, MN 55057, USA","{'lat': 44.47702109999999, 'lng': -93.1507914}"
72,Krise Bus Service Inc,"119 Golfview Ln, Carpentersville, IL 60110, USA","{'lat': 42.1112818, 'lng': -88.2490818}"
73,Lincoln Transportation Inc,"US-70, United States","{'lat': 34.2503768, 'lng': -93.64193519999999}"
74,Osseo Brooklyn School Bus Co,"4435 68th Ave N, Brooklyn Center, MN 55429, USA","{'lat': 45.0766871, 'lng': -93.3381651}"
75,Mentor Exempted Village School,"7060 Hopkins Rd, Mentor, OH 44060, USA","{'lat': 41.6781899, 'lng': -81.31814299999999}"
76,Berry Services Inc,"Nevada, USA","{'lat': 38.8026097, 'lng': -116.419389}"
77,Bruce Transportation Group Inc,"271 Derry Rd, Litchfield, NH 03052, USA","{'lat': 42.8092061, 'lng': -71.427594}"
78,Fullington Auto Bus Co,"316 E Cherry St, Evansville, IN 47713, USA","{'lat': 37.9728706, 'lng': -87.55961239999999}"
79,Bus Transportation,"400 S 4th St, Las Vegas, NV 89101, USA","{'lat': 36.1661168, 'lng': -115.1446808}"
80,Marfre Inc,"Morse St, Van Buren, ME 04785, USA","{'lat': 47.17410599999999, 'lng': -67.949401}"
81,J F K Transportation Inc,"20 Spring St, New York, NY 10012, USA","{'lat': 40.7212142, 'lng': -73.9951519}"
82,First student inc,"1807 N Fountain Green Rd, Bel Air, MD 21015, USA","{'lat': 39.575987, 'lng': -76.337043}"
