,Name,Address,Geocodes
0,Montauk Bus Svc Inc,"242 W Montauk Hwy, Hampton Bays, NY 11946, USA","{'lat': 40.86806929999999, 'lng': -72.54773329999999}"
1,Montauk Bus Service Inc,"242 W Montauk Hwy, Hampton Bays, NY 11946, USA","{'lat': 40.86806929999999, 'lng': -72.54773329999999}"
2,Adelwerth Bus Corp,"417 Montauk Hwy, Eastport, NY 11941, USA","{'lat': 40.8246343, 'lng': -72.7188139}"
3,"Adelwerth Bus, Corp.","417 Montauk Hwy, Eastport, NY 11941, USA","{'lat': 40.8246343, 'lng': -72.7188139}"
4,East Greenbush Central Schools,"112 Hays Rd, East Greenbush, NY 12061, USA","{'lat': 42.5874619, 'lng': -73.7077297}"
5,Northland Transportation Inc,"54 Freemans Bridge Rd, Schenectady, NY 12302, USA","{'lat': 42.8374367, 'lng': -73.9333644}"
6,First Student,"23 Brown Crossing Rd, Catskill, NY 12414, USA","{'lat': 42.2371072, 'lng': -73.8646485}"
7,First Student Inc,"225 Malden Turnpike, Saugerties, NY 12477, USA","{'lat': 42.1063209, 'lng': -73.9487946}"
8,Brown Coach Inc,"219 Sacandaga Rd, Glenville, NY 12302, USA","{'lat': 42.83967579999999, 'lng': -73.9767295}"
9,La Grange School Bus Garage,"148 Todd Hill Rd, Lagrangeville, NY 12540, USA","{'lat': 41.655259, 'lng': -73.777254}"
10,West Point Tours Inc Trailways,"PO Box 125, Dacoma, OK 73731, USA","{'lat': 36.6594764, 'lng': -98.56313659999999}"
11,Dierkes Transportation Inc,"720 Church Rd, Wayne, PA 19087, USA","{'lat': 40.0324055, 'lng': -75.3878069}"
12,First Student Inc,"17 Halcyon Rd, Newton Centre, MA 02459, USA","{'lat': 42.3219643, 'lng': -71.1950956}"
13,George M Carroll Inc,"5310 Rte 9W, Newburgh, NY 12550, USA","{'lat': 41.5559163, 'lng': -74.0040071}"
14,North Warren Central School,"6110 NY-8, Chestertown, NY 12817, USA","{'lat': 43.6620484, 'lng': -73.7854761}"
15,North Warren Central School District,"6110 NY-8, Chestertown, NY 12817, USA","{'lat': 43.6620484, 'lng': -73.7854761}"
16,Cssd Transportation Dept,"248 US-11, Central Square, NY 13036, USA","{'lat': 43.2580031, 'lng': -76.1385183}"
17,Saratoga Springs School Dist.,"25 Duplainville Rd, Saratoga Springs, NY 12866, USA","{'lat': 43.0664156, 'lng': -73.8259163}"
18,Birnie Bus Service Inc,"823 NY-13, Cortland, NY 13045, USA","{'lat': 42.5684536, 'lng': -76.22220159999999}"
19,Birnie Bus Svc,"823 NY-13, Cortland, NY 13045, USA","{'lat': 42.5684536, 'lng': -76.22220159999999}"
20,Birnie Bus Svc,"739 Northern Blvd, Jackson Heights, NY 11372, USA","{'lat': 40.7549186, 'lng': -73.8931454}"
21,Birnie Bus Service Inc,"739 Northern Blvd, Jackson Heights, NY 11372, USA","{'lat': 40.7549186, 'lng': -73.8931454}"
22,"P.e.a.c.e., Inc.","108 W Kennedy St, Syracuse, NY 13205, USA","{'lat': 43.0307886, 'lng': -76.14852859999999}"
23,Matthews Group Inc,"7313 Northern Blvd, East Syracuse, NY 13057, USA","{'lat': 43.1261677, 'lng': -76.080435}"
24,Pupil Transportation Sa,"224 Harrison St, Syracuse, NY 13202, USA","{'lat': 43.0440968, 'lng': -76.1498421}"
25,Birnie Bus Svc,"6591 NY-12, Lowville, NY 13367, USA","{'lat': 43.7535844, 'lng': -75.4440545}"
26,"Birnie Bus Tours, Inc.","248 Otis St, Kingsville, TX 78363, USA","{'lat': 27.4968481, 'lng': -97.8640612}"
27,Birnie Bus Service Inc,"248 Otis St, Kingsville, TX 78363, USA","{'lat': 27.4968481, 'lng': -97.8640612}"
28,Freeman Bus Corp,"1067 Marble St, Watertown, NY 13601, USA","{'lat': 43.9788901, 'lng': -75.8747272}"
29,Scholastic Bus Corp,"4 Leonard Way, Deposit, NY 13754, USA","{'lat': 42.0564642, 'lng': -75.4159902}"
30,First Student Inc,"109 Gleason St, Gouverneur, NY 13642, USA","{'lat': 44.3426106, 'lng': -75.4585585}"
31,Union-Endicott Schools-Trnsprt,"1959 Bradley Creek Rd, Endicott, NY 13760, USA","{'lat': 42.1520745, 'lng': -76.0607101}"
32,Union-Endicott Centl Schl Dst,"715 Paden St, Endicott, NY 13760, USA","{'lat': 42.0933406, 'lng': -76.0809788}"
33,Union-Endicott School District,"1401 Broad St, Clifton, NJ 07013, USA","{'lat': 40.848953, 'lng': -74.18079709999999}"
34,Union-Endicott High School,"1200 E Main St, Spartanburg, SC 29307, USA","{'lat': 34.9636174, 'lng': -81.9019788}"
35,Union-Endicott Centl Schl Dst,"1200 E Main St, Spartanburg, SC 29307, USA","{'lat': 34.9636174, 'lng': -81.9019788}"
36,Union Endicott Central Schools,"263 Ridgefield Rd, Wilton, CT 06897, USA","{'lat': 41.2024227, 'lng': -73.4500316}"
37,First Transit,"145 W Service Hwy, Binghamton, NY 13901, USA","{'lat': 42.15190339999999, 'lng': -75.90289969999999}"
38,Laidlaw Transit Inc,"145 W Service Hwy, Binghamton, NY 13901, USA","{'lat': 42.15190339999999, 'lng': -75.90289969999999}"
39,Scholastic Bus Corp,"108 Silas St, Springfield, MA 01109, USA","{'lat': 42.1267277, 'lng': -72.53907269999999}"
40,First Student Inc,"12 Olmstead Ave, Wilmington, MA 01887, USA","{'lat': 42.55188039999999, 'lng': -71.18539539999999}"
41,First Student,"819 Davis Rd, League City, TX 77573, USA","{'lat': 29.5379372, 'lng': -95.0759429}"
42,Ridge Road Exp Inc,"1692 Quaker Rd, Barker, NY 14012, USA","{'lat': 43.3296022, 'lng': -78.5552163}"
43,Quaker Taxi Inc,"11 3rd St NW, Auburn, WA 98002, USA","{'lat': 47.310789, 'lng': -122.2303162}"
44,First Student Inc,"2700 Millersport Hwy, Getzville, NY 14068, USA","{'lat': 43.0205652, 'lng': -78.7645785}"
45,Grand Island Express Inc,"5355 Junction Rd, Lockport, NY 14094, USA","{'lat': 43.1555344, 'lng': -78.7537518}"
46,Grand Island Transit Corp,"5355 Junction Rd, Lockport, NY 14094, USA","{'lat': 43.1555344, 'lng': -78.7537518}"
47,Ridge Road Express,"5355 Junction Rd, Lockport, NY 14094, USA","{'lat': 43.1555344, 'lng': -78.7537518}"
48,Ridge Road Express Inc,"5355 Junction Rd, Lockport, NY 14094, USA","{'lat': 43.1555344, 'lng': -78.7537518}"
49,Scholastic Transportation Mgt,"5355 Junction Rd, Lockport, NY 14094, USA","{'lat': 43.1555344, 'lng': -78.7537518}"
50,Scholastic Transportation Mgmt,"5355 Junction Rd, Lockport, NY 14094, USA","{'lat': 43.1555344, 'lng': -78.7537518}"
51,First Student Inc,"803 Walden Ave Suite 3, Buffalo, NY 14211, USA","{'lat': 42.9054145, 'lng': -78.8073366}"
52,First Student Inc,"2306 Walden Ave, Buffalo, NY 14225, USA","{'lat': 42.9079406, 'lng': -78.7503661}"
53,Laidlaw Transit,"45 Anderson Rd, Sherman, CT 06784, USA","{'lat': 41.6366225, 'lng': -73.5153362}"
54,Brockport Central Trnsprtn,"58 Owens Rd, Woodland, PA 16881, USA","{'lat': 41.0076053, 'lng': -78.350358}"
55,Phelps-Clifton Springs Central School,"1490 NY-488, Clifton Springs, NY 14432, USA","{'lat': 42.9615101, 'lng': -77.096104}"
56,Phelps Clifton Springs School District,"1490 NY-488, Clifton Springs, NY 14432, USA","{'lat': 42.9615101, 'lng': -77.096104}"
57,Phelps Clifton Spgs Sch Bus,"2117 NY-96, Clifton Springs, NY 14432, USA","{'lat': 42.9611407, 'lng': -77.10082779999999}"
58,Phelps-Clifton Sprgs Cntl Schl,"1490 NY-488, Clifton Springs, NY 14432, USA","{'lat': 42.9615101, 'lng': -77.096104}"
59,Phelps Clifton Springs Csd,"1490 NY-488, Clifton Springs, NY 14432, USA","{'lat': 42.9615101, 'lng': -77.096104}"
60,Phelps-Clifton Springs Central School District,"1490 NY-488, Clifton Springs, NY 14432, USA","{'lat': 42.9615101, 'lng': -77.096104}"
61,First Student Inc,"1185 E Main St, Bradford, PA 16701, USA","{'lat': 41.9896322, 'lng': -78.61779609999999}"
62,Monroe Transportation Services,"970 Emerson St, Rochester, NY 14606, USA","{'lat': 43.1742406, 'lng': -77.6562075}"
63,Monroe School Trnsp Inc,"970 Emerson St, Rochester, NY 14606, USA","{'lat': 43.1742406, 'lng': -77.6562075}"
64,Monroe Transportation Svc,"970 Emerson St, Rochester, NY 14606, USA","{'lat': 43.1742406, 'lng': -77.6562075}"
65,Gates Chili Continuing Educ,"1 Spartan Way, Merrimack, NH 03054, USA","{'lat': 42.8187779, 'lng': -71.5073121}"
66,School Bus Garage,"14 Cleveland Dr, Montauk, NY 11954, USA","{'lat': 41.0215822, 'lng': -71.9791719}"
67,Canisteo Greenwood High School,"84 Greenwood St, Boston, MA 02121, USA","{'lat': 42.2991269, 'lng': -71.07960609999999}"
68,Canisteo-Greenwood Central School District,"84 Greenwood St, Boston, MA 02121, USA","{'lat': 42.2991269, 'lng': -71.07960609999999}"
69,Canisteo Central Schools Bus,"84 Greenwood St, Boston, MA 02121, USA","{'lat': 42.2991269, 'lng': -71.07960609999999}"
70,Canisteo Central School Dst,"84 Greenwood St, Boston, MA 02121, USA","{'lat': 42.2991269, 'lng': -71.07960609999999}"
71,Monark Student Transportation,"5374 William Flinn Hwy, Gibsonia, PA 15044, USA","{'lat': 40.6191696, 'lng': -79.9436798}"
72,Monark Student Trnsp Corp,"5374 William Flinn Hwy, Gibsonia, PA 15044, USA","{'lat': 40.6191696, 'lng': -79.9436798}"
73,Matthews Bus Co Inc,"1112 1st St, Northfield, NJ 08225, USA","{'lat': 39.3735516, 'lng': -74.549784}"
74,R J Rhodes Transit Inc,"2990 Duss Ave, Ambridge, PA 15003, USA","{'lat': 40.619337, 'lng': -80.22502949999999}"
75,Rhodes R J Transit Inc,"2990 Duss Ave, Ambridge, PA 15003, USA","{'lat': 40.619337, 'lng': -80.22502949999999}"
76,Mccarter Transit Inc,"2569 Darlington Rd, Beaver Falls, PA 15010, USA","{'lat': 40.772503, 'lng': -80.3772173}"
77,Critchlow Enterprises Inc,"4825 William Flinn Hwy, Allison Park, PA 15101, USA","{'lat': 40.5982213, 'lng': -79.9482118}"
78,First Student Inc,"150 S 24th St, Pittsburgh, PA 15203, USA","{'lat': 40.42524, 'lng': -79.9723808}"
79,First Student,"150 S 24th St, Pittsburgh, PA 15203, USA","{'lat': 40.42524, 'lng': -79.9723808}"
80,First Student Inc,"200 Hahn Rd, Pittsburgh, PA 15209, USA","{'lat': 40.5113647, 'lng': -79.9853148}"
81,First Transit Inc,"101 Old Frankstown Rd, Pittsburgh, PA 15239, USA","{'lat': 40.4613203, 'lng': -79.77846699999999}"
82,G G & C Bus Co Inc,"2924 Jefferson Ave, Newport News, VA 23607, USA","{'lat': 36.9846013, 'lng': -76.4227707}"
83,G G & C Bus Co,"2945 Jefferson Ave, Newport News, VA 23607, USA","{'lat': 36.9842663, 'lng': -76.42312129999999}"
84,G G & C Bus Co,"181 Rex Rd, Washington, PA 15301, USA","{'lat': 40.2118046, 'lng': -80.31663189999999}"
85,Canon-Mcmillan School Dst,"186 Boone Ave, Strabane, PA 15363, USA","{'lat': 40.2479601, 'lng': -80.1980547}"
86,Canon-Mcmillan School District Transportation Depa,"186 Boone Ave, Strabane, PA 15363, USA","{'lat': 40.2479601, 'lng': -80.1980547}"
87,Canon-Mcmillan Trnsprtn Dept,"186 Boone Ave, Strabane, PA 15363, USA","{'lat': 40.2479601, 'lng': -80.1980547}"
88,First Student Inc,"1000 Church Hill Rd, McKees Rocks, PA 15136, USA","{'lat': 40.438552, 'lng': -80.1439923}"
89,Brownsville Bus Lines Inc.,"525 National Pike E, Brownsville, PA 15417, USA","{'lat': 40.0154076, 'lng': -79.87551169999999}"
90,First Transit Inc,"29 Main St, Biddeford, ME 04005, USA","{'lat': 43.4925024, 'lng': -70.4508025}"
91,Rittenhouse Bus Lines Inc,"31 East End Rd, Smock, PA 15480, USA","{'lat': 40.0030704, 'lng': -79.7797118}"
92,Colborn's Garage,"5491 US-80, Princeton, LA 71067, USA","{'lat': 32.5589153, 'lng': -93.54633860000001}"
