,Name,Address,Geocodes
0,"Firstgroup America, Inc","600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
1,First Group America,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
2,Firstgroup America Inc,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
3,First Group Investment Partnership,"600 Vine St #1200, Cincinnati, OH 45202, USA","{'lat': 39.1028952, 'lng': -84.5130021}"
4,First Group,"E 6th St, Cincinnati, OH 45202, USA","{'lat': 39.1030036, 'lng': -84.5132725}"
5,Firstgroup America Inc,"E 6th St, Cincinnati, OH 45202, USA","{'lat': 39.1030036, 'lng': -84.5132725}"
6,Firstgroup Plc,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
7,"Firstgroup America, Inc","E 6th St, Cincinnati, OH 45202, USA","{'lat': 39.1030036, 'lng': -84.5132725}"
8,Firstgroup,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
9,First Student,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
10,First Student Inc,"600 Vine St #1200, Cincinnati, OH 45202, USA","{'lat': 39.1028952, 'lng': -84.5130021}"
11,First Transit Inc,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
12,First Student Transportation,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
13,First Student Inc,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
14,First Student Management,"600 Vine St #1400, Cincinnati, OH 45202, USA","{'lat': 39.1028191, 'lng': -84.51295789999999}"
15,First America Inc,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
16,"Firstgroup Usa, Inc","705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
17,Firstgroup America Inc,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
18,Firstgroup America Inc.,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
19,First Vehicle Services,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
20,First Student Inc.,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
21,"Firstgroup America, Inc","705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
22,First Student Inc,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
23,Firstgroup America,"705 Central Ave, Cincinnati, OH 45202, USA","{'lat': 39.1029014, 'lng': -84.5203374}"
24,First Student Inc,"100 Hamilton Blvd, Cincinnati, OH 45215, USA","{'lat': 39.2139698, 'lng': -84.4592291}"
25,First Student Inc,"1801 Transpark Dr, Cincinnati, OH 45229, USA","{'lat': 39.1660269, 'lng': -84.4661994}"
26,Petermann Ltd,"1861 Section Rd, Cincinnati, OH 45237, USA","{'lat': 39.19496120000001, 'lng': -84.4543261}"
27,Peterman,"1861 Section Rd, Cincinnati, OH 45237, USA","{'lat': 39.19496120000001, 'lng': -84.4543261}"
28,Petermann,"1861 Section Rd, Cincinnati, OH 45237, USA","{'lat': 39.19496120000001, 'lng': -84.4543261}"
29,Sugarcreek Local School District,"60 E South St, Springboro, OH 45066, USA","{'lat': 39.5512833, 'lng': -84.23246929999999}"
30,Sugarcreek Local School District,"4122 N Linda Dr, Bellbrook, OH 45305, USA","{'lat': 39.6420018, 'lng': -84.0939173}"
31,Sugar Creek Local Schools,"60 E South St, Springboro, OH 45066, USA","{'lat': 39.5512833, 'lng': -84.23246929999999}"
32,Sugarcreek Board Of Education,"60 E South St, Springboro, OH 45066, USA","{'lat': 39.5512833, 'lng': -84.23246929999999}"
33,Sugarcreek Board Of Education,"3757 Upper Bellbrook Rd, Bellbrook, OH 45305, USA","{'lat': 39.6508233, 'lng': -84.0681927}"
34,Sugarcreek Local School Dst,"3753 Upper Bellbrook Rd, Sugarcreek Township, OH 45305, USA","{'lat': 39.65088470000001, 'lng': -84.0684747}"
35,Sugarcreek Local School District,"3737 Upper Bellbrook Rd, Bellbrook, OH 45305, USA","{'lat': 39.652728, 'lng': -84.0677985}"
36,Sugarcreek Pto,"3757 Upper Bellbrook Rd, Bellbrook, OH 45305, USA","{'lat': 39.6508233, 'lng': -84.0681927}"
37,Sugarcreek Local School District,"3777 Upper Bellbrook Rd, Bellbrook, OH 45305, USA","{'lat': 39.6493855, 'lng': -84.0682362}"
38,Sugarcreek Board Of Education Treasurer,"60 E South St, Springboro, OH 45066, USA","{'lat': 39.5512833, 'lng': -84.23246929999999}"
39,Sugarcreek Local School District,"51 S East St, Amherst, MA 01002, USA","{'lat': 42.37477459999999, 'lng': -72.5014178}"
40,Sugarcreek Local School District,"3757 Upper Bellbrook Rd, Bellbrook, OH 45305, USA","{'lat': 39.6508233, 'lng': -84.0681927}"
41,Sugarcreek Local School Dist,"60 E South St, Springboro, OH 45066, USA","{'lat': 39.5512833, 'lng': -84.23246929999999}"
42,Greeneview High School,"4710 Cottonville Rd, Jamestown, OH 45335, USA","{'lat': 39.657855, 'lng': -83.75848599999999}"
43,Greeneview High School,"4 S Charleston Rd, Jamestown, OH 45335, USA","{'lat': 39.665023, 'lng': -83.7341914}"
44,Greeneview Schools Superintendent's Office,"4 S Charleston Rd, Jamestown, OH 45335, USA","{'lat': 39.665023, 'lng': -83.7341914}"
45,Greenview Local School Dst,"4 S Charleston Rd, Jamestown, OH 45335, USA","{'lat': 39.665023, 'lng': -83.7341914}"
46,Greeneview Intermediate School,"4990 Cottonville Rd, Jamestown, OH 45335, USA","{'lat': 39.6562986, 'lng': -83.7481775}"
47,Greeneview Local School Dist,"4 S Charleston Rd, Jamestown, OH 45335, USA","{'lat': 39.665023, 'lng': -83.7341914}"
48,Xenia Community Schls Trnsprtn,"921 Yellowstone Rd, Xenia, OH 45385, USA","{'lat': 39.70861240000001, 'lng': -83.9251719}"
49,Petermann,"330 W Boesel Ave, New Bremen, OH 45869, USA","{'lat': 40.444721, 'lng': -84.38549789999999}"
50,Marysville City Ofc,"2080 River Rd, Niagara Falls, NY 14304, USA","{'lat': 43.0706564, 'lng': -78.93983999999999}"
51,Marysville Branch Library,"1175 Delaware Ave, Buffalo, NY 14209, USA","{'lat': 42.9160566, 'lng': -78.86802569999999}"
52,Marysville High School Pool,"555 Huron Blvd, Marysville, MI 48040, USA","{'lat': 42.9111814, 'lng': -82.4755677}"
53,City Of Marysville,"1111 Delaware Ave, Fort Pierce, FL 34950, USA","{'lat': 27.443148, 'lng': -80.3344858}"
54,Marysville Public Library,"1175 Delaware Ave, Buffalo, NY 14209, USA","{'lat': 42.9160566, 'lng': -78.86802569999999}"
55,Marysville Fire Dept-Ems,"1355 Delaware Ave, Buffalo, NY 14209, USA","{'lat': 42.9213581, 'lng': -78.86726449999999}"
56,Marysville High School,"1325 Michigan Ave, Detroit, MI 48226, USA","{'lat': 42.3311518, 'lng': -83.064247}"
57,Safeway Transportation,"13469 Conant St, Detroit, MI 48212, USA","{'lat': 42.41598800000001, 'lng': -83.0620251}"
58,"Abc Student Transportation, Inc","12680 Westwood St, Detroit, MI 48223, USA","{'lat': 42.3805792, 'lng': -83.23131959999999}"
59,Redford Union School District 1,"26440 Puritan, Redford Charter Twp, MI 48239, USA","{'lat': 42.4073278, 'lng': -83.30310329999999}"
60,Redford Union Schools Trnsprtn,"Garfield Ave, Redford Charter Twp, MI 48239, USA","{'lat': 42.3981629, 'lng': -83.287955}"
61,Redford Union School Dst No1,"26440 Puritan, Redford Charter Twp, MI 48239, USA","{'lat': 42.4073278, 'lng': -83.30310329999999}"
62,First Student Inc,"11425 Torrey Rd, Fenton, MI 48430, USA","{'lat': 42.8592334, 'lng': -83.727634}"
63,First Student Inc,"7201 Silver Lake Rd, Linden, MI 48451, USA","{'lat': 42.8104001, 'lng': -83.81322019999999}"
64,Lapeer Community School Bus,"582 S Calhoun St, Lapeer, MI 48446, USA","{'lat': 43.0446903, 'lng': -83.315043}"
65,Lapeer Community Schools,"582 S Calhoun St, Lapeer, MI 48446, USA","{'lat': 43.0446903, 'lng': -83.315043}"
66,Lapeer Cnty Intermediate Schl,"582 S Calhoun St, Lapeer, MI 48446, USA","{'lat': 43.0446903, 'lng': -83.315043}"
67,Holt Schools Trnsprtn Dept,"2125 Delhi St NE, Holt, MI 48842, USA","{'lat': 42.6440171, 'lng': -84.5075943}"
68,Mason Public Schools Trnsprtn,"801 S Washington St, Naperville, IL 60540, USA","{'lat': 41.7607617, 'lng': -88.15030809999999}"
69,Mason Public Schools,"118 W Oak St, Louisville, KY 40203, USA","{'lat': 38.2344605, 'lng': -85.7563105}"
70,Dean Transportation Inc,"307 Packard Hwy, Charlotte, MI 48813, USA","{'lat': 42.5830667, 'lng': -84.8337107}"
71,Dean Transportation,"4812 N Aurelius Rd, Lansing, MI 48910, USA","{'lat': 42.685437, 'lng': -84.52531599999999}"
72,Dean Transportation,"4726 N Aurelius Rd, Lansing, MI 48910, USA","{'lat': 42.68620000000001, 'lng': -84.523521}"
73,Dean Trailways Of Michigan,"4726 N Aurelius Rd, Lansing, MI 48910, USA","{'lat': 42.68620000000001, 'lng': -84.523521}"
74,Dean Transportation Inc,"4812 N Aurelius Rd, Lansing, MI 48910, USA","{'lat': 42.685437, 'lng': -84.52531599999999}"
75,Lesa Transportation Dept,"1317 W Highland Rd, Howell, MI 48843, USA","{'lat': 42.6215277, 'lng': -83.9464088}"
76,Quincy High School,"18 Colfax St, Raritan, NJ 08869, USA","{'lat': 40.5691395, 'lng': -74.63176709999999}"
77,Quincy Community School Dst,"18 Colfax St, Raritan, NJ 08869, USA","{'lat': 40.5691395, 'lng': -74.63176709999999}"
78,Quincy Middle School,"18 Colfax St, Raritan, NJ 08869, USA","{'lat': 40.5691395, 'lng': -74.63176709999999}"
79,Quincy Community School Dst,"44 E Liberty St, Wilkes-Barre, PA 18702, USA","{'lat': 41.2211193, 'lng': -75.894842}"
80,Quincy Community Schools,"44 E Liberty St, Wilkes-Barre, PA 18702, USA","{'lat': 41.2211193, 'lng': -75.894842}"
81,Quincy Community School Dist,"9292 Warren Pkwy, Frisco, TX 75035, USA","{'lat': 33.1100803, 'lng': -96.80269779999999}"
82,Quincy Community Schools Superintendent's Office,"9292 Warren Pkwy, Frisco, TX 75035, USA","{'lat': 33.1100803, 'lng': -96.80269779999999}"
