,Name,Address,Geocodes
0,BURLESON ISD,"1160 SW Wilshire Blvd, Burleson, TX 76028, USA","{'lat': 32.5254861, 'lng': -97.3438856}"
1,FirstGroup plc,"418 Metro Park Dr, McKinney, TX 75071, USA","{'lat': 33.2114278, 'lng': -96.6085835}"
2,Burleson Independent Sc...,"1160 SW Wilshire Blvd, Burleson, TX 76028, USA","{'lat': 32.5254861, 'lng': -97.3438856}"
3,"FirstGroup America, Inc...","418 Metro Park Dr, McKinney, TX 75071, USA","{'lat': 33.2114278, 'lng': -96.6085835}"
4,First-Hand Solutions Co...,"1160 SW Wilshire Blvd, Burleson, TX 76028, USA","{'lat': 32.5254861, 'lng': -97.3438856}"
5,Newport News Public Schools,"74 Buffalo Dr, Raymondville, TX 78580, USA","{'lat': 26.4745403, 'lng': -97.7688063}"
6,newport news public schools,"74 Buffalo Dr, Raymondville, TX 78580, USA","{'lat': 26.4745403, 'lng': -97.7688063}"
7,Newport News public schools,"74 Buffalo Dr, Raymondville, TX 78580, USA","{'lat': 26.4745403, 'lng': -97.7688063}"
8,newport News Public Schools,"74 Buffalo Dr, Raymondville, TX 78580, USA","{'lat': 26.4745403, 'lng': -97.7688063}"
9,Schetky NW Sales,"4111 E B Cir., Pasco, WA 99301, USA","{'lat': 46.2255358, 'lng': -119.0429017}"
10,Department of Education,"2425 E St Charles St, Rapid City, SD 57703, USA","{'lat': 44.0694856, 'lng': -103.174981}"
11,Autobuses Adame Ltd,"4047 Nolensville Pike, Nashville, TN 37211, USA","{'lat': 36.0809901, 'lng': -86.7280613}"
12,Ryder,"2625 Eugenia Ave, Nashville, TN 37211, USA","{'lat': 36.1142666, 'lng': -86.7545973}"
13,Emergency Medical Services Corporation,"1384 Farmville Rd, Memphis, TN 38122, USA","{'lat': 35.1698646, 'lng': -89.9526314}"
14,Laidlaw Transit Inc,"1681 Getwell Rd, Memphis, TN 38111, USA","{'lat': 35.0857206, 'lng': -89.931856}"
15,Laidlaw Transit Inc,"500 W Winchester Rd, Libertyville, IL 60048, USA","{'lat': 42.2987852, 'lng': -87.9598986}"
16,William Sanford,"1454 E Morphy St, Fort Worth, TX 76104, USA","{'lat': 32.7286452, 'lng': -97.306243}"
17,Durham Transportation,"1601 Magnolia Dr, Mesquite, TX 75149, USA","{'lat': 32.7510189, 'lng': -96.62120209999999}"
18,Laidlaw Education Services,"1306 Gibson Ave #1, Ogden, UT 84404, USA","{'lat': 41.242765, 'lng': -111.9840144}"
19,Fleet Management,"12153 Hooe Rd, Bristow, VA 20136, USA","{'lat': 38.6910647, 'lng': -77.5156308}"
