,_id,Name,Address,Geocodes
0,16700,School City of Hammond,"1921 Davis Ave, Whiting, IN 46394, USA","{'lat': 41.6781582, 'lng': -87.5069676}"
1,16701,Hamilton Community Schools,"903 S Wayne St, Hamilton, IN 46742, USA","{'lat': 41.522286, 'lng': -84.91995899999999}"
2,16702,River Forest Community School Corporation,"2915 E 35th Ave, Lake Station, IN 46405, USA","{'lat': 41.5537785, 'lng': -87.3009142}"
3,16703,Vigo County School Corp,"1011 S Brown Ave, Terre Haute, IN 47803, USA","{'lat': 39.4568656, 'lng': -87.37053410000001}"
4,16704,Highland Senior High School,"2108 E 200 N, Anderson, IN 46012, USA","{'lat': 40.1369199, 'lng': -85.6303184}"
5,16705,Davis Park Elementary School,"310 S 18th St, Terre Haute, IN 47807, USA","{'lat': 39.4640035, 'lng': -87.3888511}"
6,16706,Challenger Learning Center,"444 E Tilden Dr, Brownsburg, IN 46112, USA","{'lat': 39.8318106, 'lng': -86.400103}"
7,16707,Billings Elementary School,"1312 Westridge Pkwy, Greensburg, IN 47240, USA","{'lat': 39.3529798, 'lng': -85.50243789999999}"
8,16708,Charles A. Tindley Accelerated High School,"3960 Meadows Dr, Indianapolis, IN 46205, USA","{'lat': 39.8298485, 'lng': -86.11456869999999}"
9,16709,East Porter County School Corporation,"302 E College Ave, Kouts, IN 46347, USA","{'lat': 41.3128995, 'lng': -87.0219989}"
10,16710,Indianapolis Public School,"5801 E 30th St, Indianapolis, IN 46218, USA","{'lat': 39.8109146, 'lng': -86.0670694}"
11,16711,Crown Point Community Schools,"200 E North St, Crown Point, IN 46307, USA","{'lat': 41.4205848, 'lng': -87.36253909999999}"
12,16712,South Harrison School Supt,"2450 Heth Washington Rd SW, Central, IN 47110, USA","{'lat': 38.1008548, 'lng': -86.1753492}"
13,16713,Griffith Public Schools Supt,"201 N Griffith Blvd, Griffith, IN 46319, USA","{'lat': 41.5252507, 'lng': -87.4283427}"
14,16714,Ivy Tech Community College,"590 Ivy Tech Dr, Madison, IN 47250, USA","{'lat': 38.7803678, 'lng': -85.3761897}"
15,16715,Indianapolis Public School,"4700 English Ave, Indianapolis, IN 46201, USA","{'lat': 39.76063509999999, 'lng': -86.089377}"
16,16716,Ivy Tech Community College,"7199 E US Hwy 36, Avon, IN 46123, USA","{'lat': 39.7617795, 'lng': -86.3961056}"
17,16717,Southwest Allen County Schools,"2430 W Hamilton Rd S, Fort Wayne, IN 46814, USA","{'lat': 41.0609181, 'lng': -85.31249079999999}"
18,16718,Diocese of Fort Wayne-South Bend,"1101 S Clinton St, Fort Wayne, IN 46802, USA","{'lat': 41.0764636, 'lng': -85.137244}"
19,16719,MSD of Wayne Township,"1155 S High School Rd, Indianapolis, IN 46241, USA","{'lat': 39.7522574, 'lng': -86.2674313}"
20,16720,Indianapolis Public School,"7151 E 35th St, Indianapolis, IN 46226, USA","{'lat': 39.8196173, 'lng': -86.0422049}"
21,16721,Indiana Department of Education,"7356 E County Rd 50 S, Dugger, IN 47848, USA","{'lat': 39.0733789, 'lng': -87.2712797}"
22,16722,Elkhart Central High School,"1 Blazer Blvd, Elkhart, IN 46516, USA","{'lat': 41.6851334, 'lng': -85.95887359999999}"
23,16723,Ethel R Jones Elementary School,"2825 Russell St, Portage, IN 46368, USA","{'lat': 41.5701223, 'lng': -87.1886329}"
24,16724,Columbia Elementary School,"1 Berry Ln, Logansport, IN 46947, USA","{'lat': 40.7515141, 'lng': -86.3325643}"
25,16725,Indiana Department of Education,"326 S Larry Bird Blvd, French Lick, IN 47432, USA","{'lat': 38.5504398, 'lng': -86.616036}"
26,16726,Concord (IN) Community Schools,"59117 Minuteman Way, Elkhart, IN 46517, USA","{'lat': 41.6356983, 'lng': -85.9286979}"
27,16727,Concord (IN) Community Schools,"59040 Minuteman Way, Elkhart, IN 46517, USA","{'lat': 41.6345057, 'lng': -85.93002700000001}"
28,16728,Martinsville High School,"1359 E Columbus St, Martinsville, IN 46151, USA","{'lat': 39.4240128, 'lng': -86.41224489999999}"
29,16729,Hebron High School,"509 S Main St, Hebron, IN 46341, USA","{'lat': 41.3128296, 'lng': -87.1996494}"
30,16730,Indiana Department of Education,"502 Vine St, Clinton, IN 47842, USA","{'lat': 39.6604588, 'lng': -87.4025999}"
31,16731,Anderson Community School Corporation,"844 Scatterfield Rd, Anderson, IN 46012, USA","{'lat': 40.1241582, 'lng': -85.65199670000001}"
32,16732,Laporte Community School Corporation,"802 W 400 S, La Porte, IN 46350, USA","{'lat': 41.5464068, 'lng': -86.717254}"
33,16733,Southwest Allen County Schools,"5004 Homestead Rd, Fort Wayne, IN 46814, USA","{'lat': 41.0387032, 'lng': -85.28606909999999}"
34,16734,Hamilton Southeastern Schools,"11442 Lantern Rd, Fishers, IN 46038, USA","{'lat': 39.9544357, 'lng': -86.0130448}"
35,16735,Metropolitan School District of Washington Township,"3660 E 62nd St, Indianapolis, IN 46220, USA","{'lat': 39.8693899, 'lng': -86.1066246}"
36,16736,Cardinal Ritter High School,"3360 W 30th St, Indianapolis, IN 46222, USA","{'lat': 39.8128605, 'lng': -86.2156115}"
37,16737,East Washington School Corporation,"1050 N Eastern School Rd, New Pekin, IN 47165, USA","{'lat': 38.5133247, 'lng': -86.0018917}"
38,16738,Central Lutheran School,"1400 Elm St, New Haven, IN 46774, USA","{'lat': 41.0677106, 'lng': -85.00986449999999}"
39,16739,Gary Community School Corp,"5701 W 7th Ave, Gary, IN 46406, USA","{'lat': 41.5983049, 'lng': -87.4067285}"
40,16740,Carmel High School Planetarium,"300 S Guilford Rd, Carmel, IN 46032, USA","{'lat': 39.97499250000001, 'lng': -86.143377}"
41,16741,School City of East Chicago,"1401 E 144th St, East Chicago, IN 46312, USA","{'lat': 41.6330726, 'lng': -87.4531209}"
42,16742,Community Schools of Frankfort,"329 N Maish Rd, Frankfort, IN 46041, USA","{'lat': 40.2844214, 'lng': -86.4821217}"
43,16743,Hamilton Heights School Corporation,"400 Hamilton Ave, Arcadia, IN 46030, USA","{'lat': 40.1741355, 'lng': -86.0177776}"
44,16744,Culver Academics,"1300 Academy Rd, Culver, IN 46511, USA","{'lat': 41.2229063, 'lng': -86.4161192}"
45,16745,Gary Community School Corp,"2065 Mississippi St, Gary, IN 46407, USA","{'lat': 41.5812927, 'lng': -87.3172209}"
46,16746,Central Noble Community School Corporation,"200 E Main St, Albion, IN 46701, USA","{'lat': 41.3954149, 'lng': -85.4223631}"
47,16747,Gary Community School Corp,"N Parke St, Gary, IN 46403, USA","{'lat': 41.6178043, 'lng': -87.2467046}"
48,16748,Forest Hills Special Ed Co-Op,"601 Edgewood Dr, Ellettsville, IN 47429, USA","{'lat': 39.2340568, 'lng': -86.6381617}"
49,16749,Griffith Public Schools Supt,"132 N Broad St, Griffith, IN 46319, USA","{'lat': 41.5240533, 'lng': -87.4280136}"
50,16750,Northwest Allen County Schools,"3701 Carroll Rd, Fort Wayne, IN 46818, USA","{'lat': 41.190198, 'lng': -85.192605}"
51,16751,School City of Hammond,"3211 165th St, Hammond, IN 46323, USA","{'lat': 41.5968544, 'lng': -87.4500243}"
52,16752,Canterbury School of Fort Wayne,"3210 Smith Rd, Fort Wayne, IN 46804, USA","{'lat': 41.0541247, 'lng': -85.2120692}"
53,16753,Greenfield-Central Schools,"204 W Park Ave, Greenfield, IN 46140, USA","{'lat': 39.7932962, 'lng': -85.7725787}"
54,16754,Ivy Tech Community College,"590 Ivy Tech Dr, Madison, IN 47250, USA","{'lat': 38.7803678, 'lng': -85.3761897}"
55,16755,Battle Ground Middle School,"511 Main St, Battle Ground, IN 47920, USA","{'lat': 40.514992, 'lng': -86.8294664}"
56,16756,School City of Hammond,"5727 Sohl Ave, Hammond, IN 46320, USA","{'lat': 41.6094477, 'lng': -87.5128436}"
57,16757,Delaware Community School Corporation,"700 W State St, Albany, IN 47320, USA","{'lat': 40.3002231, 'lng': -85.2450467}"
58,16758,Clark-Pleasant Community School Corp,"50 Center St, Whiteland, IN 46184, USA","{'lat': 39.55068, 'lng': -86.0806265}"
59,16759,Southwest Allen County Schools,"4310 Homestead Rd, Fort Wayne, IN 46814, USA","{'lat': 41.0433219, 'lng': -85.2862557}"
60,16760,International School of Indiana,"200 W 49th St, Indianapolis, IN 46208, USA","{'lat': 39.8429086, 'lng': -86.1634524}"
61,16761,Special Education Svc,"5400 N First Ave, Evansville, IN 47710, USA","{'lat': 38.029117, 'lng': -87.578447}"
62,16762,Laporte Community School Corporation,"1921 A St, La Porte, IN 46350, USA","{'lat': 41.589035, 'lng': -86.71860889999999}"
63,16763,Madison Consolidated School Corporation,"2325 Cherry Dr, Madison, IN 47250, USA","{'lat': 38.770301, 'lng': -85.3899047}"
64,16764,Valparaiso Community Schl Corp,"605 N Campbell St, Valparaiso, IN 46385, USA","{'lat': 41.4732747, 'lng': -87.0673825}"
65,16765,Monroe County Community School  Corp,"1965 S Walnut St, Bloomington, IN 47401, USA","{'lat': 39.1431494, 'lng': -86.5287046}"
66,16766,Kokomo-Center Township Consolidated School Corporation,"100 W Lincoln Rd, Kokomo, IN 46902, USA","{'lat': 40.4551859, 'lng': -86.1302302}"
67,16767,Franklin Township Community School Corp,"8735 Indian Creek Rd S, Indianapolis, IN 46259, USA","{'lat': 39.6720264, 'lng': -86.01197690000001}"
68,16768,Anderson Community School Corporation,"2035 Raible Ave, Anderson, IN 46011, USA","{'lat': 40.0958556, 'lng': -85.71369159999999}"
69,16769,Lake Ridge Middle School,"4735 Arthur St, Gary, IN 46408, USA","{'lat': 41.532497, 'lng': -87.35881599999999}"
70,16770,Billings Elementary School,"1000 E Central Ave, Greensburg, IN 47240, USA","{'lat': 39.3428778, 'lng': -85.4679725}"
71,16771,Ivy Tech Community College,"1440 E 35th Ave, Gary, IN 46409, USA","{'lat': 41.555304, 'lng': -87.32046199999999}"
72,16772,Indiana Department of Education,"77 A St NE, Linton, IN 47441, USA","{'lat': 39.0346794, 'lng': -87.16538899999999}"
73,16773,Concord (IN) Community Schools,"23525 Co Rd 45, Elkhart, IN 46516, USA","{'lat': 41.6367214, 'lng': -85.91583990000001}"
74,16774,Challenger Learning Center,"470 E Northfield Dr, Brownsburg, IN 46112, USA","{'lat': 39.8552692, 'lng': -86.3825822}"
75,16775,New Palestine High School,"New Palestine, IN 46163, USA","{'lat': 39.7219882, 'lng': -85.88914710000002}"
76,16776,Francis Parker School,"2353 Columbia Ave, Indianapolis, IN 46205, USA","{'lat': 39.8009343, 'lng': -86.1364242}"
77,16777,Commonwealth Business College,"1000 E 80th Pl #101N, Merrillville, IN 46410, USA","{'lat': 41.4736637, 'lng': -87.3260707}"
78,16778,Goshen Community School Corporation,"428 N 5th St, Goshen, IN 46528, USA","{'lat': 41.5923325, 'lng': -85.832546}"
79,16779,Southeast Dubois County School Corporation,"1440 Michigan St, Ferdinand, IN 47532, USA","{'lat': 38.228591, 'lng': -86.85648789999999}"
80,16780,Crown Point Community Schools,"11319 Randolph St, Crown Point, IN 46307, USA","{'lat': 41.4106228, 'lng': -87.2374973}"
81,16781,Columbia City High School,"1692 IN-9, Columbia City, IN 46725, USA","{'lat': 41.135116, 'lng': -85.4876644}"
82,16782,Greenfield-Central Schools,"200 W Park Ave, Greenfield, IN 46140, USA","{'lat': 39.7930804, 'lng': -85.7731235}"
83,16783,Kankakee Valley High School,"1000 S Halleck St, De Motte, IN 46310, USA","{'lat': 41.1925256, 'lng': -87.2003478}"
84,16784,South Bend Community School Corporation,"52900 Lily Rd, South Bend, IN 46637, USA","{'lat': 41.7248019, 'lng': -86.2445877}"
85,16785,AVON cOMMUNITY SCHOOL Corp.,"7203 E US Hwy 36, Avon, IN 46123, USA","{'lat': 39.7615307, 'lng': -86.3945626}"
86,16786,Lakeland Christian Academy,"1093 S 250 E, Winona Lake, IN 46590, USA","{'lat': 41.2192291, 'lng': -85.79597319999999}"
87,16787,Challenger Learning Center,"725 S Green St, Brownsburg, IN 46112, USA","{'lat': 39.831917, 'lng': -86.4004003}"
88,16788,Indiana Department of Education,"500 Earlywood Dr, Franklin, IN 46131, USA","{'lat': 39.52124269999999, 'lng': -86.0735797}"
89,16789,Loogootee Community Schools,"201 Brooks Ave, Loogootee, IN 47553, USA","{'lat': 38.678324, 'lng': -86.922016}"
90,16790,East Noble School Corp,"1350 Sherman St, Kendallville, IN 46755, USA","{'lat': 41.4293717, 'lng': -85.2551873}"
91,16791,Franklin Township Community School Corp,"6215 S Franklin Rd, Indianapolis, IN 46259, USA","{'lat': 39.6760364, 'lng': -86.01595089999999}"
92,16792,Indiana Academy,"24815 State Rte 19, Cicero, IN 46034, USA","{'lat': 40.1485864, 'lng': -86.01302079999999}"
93,16793,Scott County School District 1,"S U.S. Hwy 31, Indiana, USA","{'lat': 38.6282793, 'lng': -85.7753886}"
94,16794,Indiana Department of Education,"1105 N 19th St, Elwood, IN 46036, USA","{'lat': 40.2882344, 'lng': -85.83462589999999}"
95,16795,Union St. Campus (Grades 3-8),"1123 Union St, Fort Wayne, IN 46802, USA","{'lat': 41.0736233, 'lng': -85.150628}"
96,16796,Bishop Dwenger High School,"1300 E Washington Center Rd, Fort Wayne, IN 46825, USA","{'lat': 41.1314342, 'lng': -85.1251644}"
97,16797,Indiana School for the Deaf,"1200 E 42nd St, Indianapolis, IN 46205, USA","{'lat': 39.8346569, 'lng': -86.1358527}"
98,16798,Spencer Owen Community Schools,"201 N 9th St, Gosport, IN 47433, USA","{'lat': 39.35101420000001, 'lng': -86.6703161}"
99,16799,Diocese of Fort Wayne-South Bend,"915 S Clinton St, Fort Wayne, IN 46802, USA","{'lat': 41.0778711, 'lng': -85.1371336}"
100,16800,Lafayette Public School System,"1801 S 18th St, Lafayette, IN 47909, USA","{'lat': 40.3985978, 'lng': -86.8758502}"
101,16801,Merrillville Schools Adm Svc,"7249 Van Buren St, Merrillville, IN 46410, USA","{'lat': 41.4870648, 'lng': -87.3450068}"
102,16802,Delaware Community School Corporation,"3400 IN-28, Muncie, IN 47303, USA","{'lat': 40.278546, 'lng': -85.34763799999999}"
103,16803,Brownstown Central Schools,"500 N Elm St, Brownstown, IN 47220, USA","{'lat': 38.88618900000001, 'lng': -86.0454716}"
104,16804,Noblesville Christian School,"1687 N 10th St, Noblesville, IN 46060, USA","{'lat': 40.0641617, 'lng': -86.0073041}"
105,16805,Linton-Stockton School Corporation,"109 A St NE, Linton, IN 47441, USA","{'lat': 39.0347512, 'lng': -87.1675114}"
106,16806,Flat Rock-Hawcreek School Corporation,"9273 IN-9, Hope, IN 47246, USA","{'lat': 39.2926055, 'lng': -85.7700062}"
107,16807,Garrett-Keyser-Butler Community School District,"801 E Houston St, Garrett, IN 46738, USA","{'lat': 41.3467725, 'lng': -85.1268665}"
108,16808,Kokomo Center School Corporation,"1901 W Blvd St, Kokomo, IN 46902, USA","{'lat': 40.4606231, 'lng': -86.15689390000001}"
