,_id,Name,Address,Geocodes
0,700,Fremont Christian Schools,"4760 Thornton Ave, Fremont, CA 94536, USA","{'lat': 37.5503601, 'lng': -122.0185691}"
1,701,Cathedral Catholic High School,"2660 Calhoun St, San Diego, CA 92110, USA","{'lat': 32.754574, 'lng': -117.1964137}"
2,702,The Rock Academy,"2277 Rosecrans St, San Diego, CA 92106, USA","{'lat': 32.7356227, 'lng': -117.2188314}"
3,703,Alma Heights Christian Academy,"1295 Seville Dr, Pacifica, CA 94044, USA","{'lat': 37.5881888, 'lng': -122.4931141}"
4,704,Colton Middle School,"1050 E Olive St, Colton, CA 92324, USA","{'lat': 34.0783675, 'lng': -117.310791}"
5,705,St Matthews School,"100 S Barrington Pl, Los Angeles, CA 90049, USA","{'lat': 34.0667518, 'lng': -118.4696603}"
6,706,Albert Einstein Charter Academy,"3035 Ash St, San Diego, CA 92102, USA","{'lat': 32.7201247, 'lng': -117.1303256}"
7,707,Natomas Charter School,"4600 Blackrock Dr, Sacramento, CA 95835, USA","{'lat': 38.6575152, 'lng': -121.4938169}"
8,708,Lodi Unified School District,"831 W Lockeford St, Lodi, CA 95240, USA","{'lat': 38.1392123, 'lng': -121.2851673}"
9,709,Lodi Unified School District,"1315 Woodcreek Way, Stockton, CA 95209, USA","{'lat': 38.0352377, 'lng': -121.3284956}"
10,710,Vacaville Unified School District,"401 Nut Tree Rd #100, Vacaville, CA 95687, USA","{'lat': 38.3647958, 'lng': -121.953795}"
11,711,Forest Charter School,"224 Church St, Nevada City, CA 95959, USA","{'lat': 39.2634909, 'lng': -121.0177863}"
12,712,GreatSchools Inc,"301 Howard St, San Francisco, CA 94105, USA","{'lat': 37.7897, 'lng': -122.3942999}"
13,713,Providence Cristo Rey High School,"2105 S Bascom Ave #220, Campbell, CA 95008, USA","{'lat': 37.2853214, 'lng': -121.9321007}"
14,714,La Jolla Country Day School,"9490 Genesee Ave, La Jolla, CA 92037, USA","{'lat': 32.878605, 'lng': -117.2165956}"
15,715,Berkwood Hedge School,"1809 Bancroft Way, Berkeley, CA 94703, USA","{'lat': 37.8669789, 'lng': -122.2742945}"
16,716,Ivy Academia,"6051 De Soto Ave, Woodland Hills, CA 91367, USA","{'lat': 34.1809525, 'lng': -118.5911898}"
17,717,San Diego City Schools,"1775 Chatsworth Blvd, San Diego, CA 92106, USA","{'lat': 32.7322945, 'lng': -117.2327042}"
18,718,GreatSchools Inc,"965 Mission St #500, San Francisco, CA 94103, USA","{'lat': 37.7814391, 'lng': -122.4075701}"
19,719,La Jolla Country Day School,"9490 Genesee Ave, La Jolla, CA 92037, USA","{'lat': 32.878605, 'lng': -117.2165956}"
20,720,Wah Mei Pre-school,"1400 Judah St, San Francisco, CA 94122, USA","{'lat': 37.7618643, 'lng': -122.4774461}"
21,721,ST PATRICK SCHOOL,"10626 Erwin St, North Hollywood, CA 91606, USA","{'lat': 34.182893, 'lng': -118.3623112}"
22,722,GreatSchools Inc,"837 Turk St # 35, San Francisco, CA 94102, USA","{'lat': 37.781418, 'lng': -122.422961}"
23,723,Idyllwild Arts Academy,"52500 Temecula Rd, Idyllwild-Pine Cove, CA 92549, USA","{'lat': 33.7337283, 'lng': -116.7468366}"
24,724,St. Matthias High School,"7851 Gardendale St, Downey, CA 90242, USA","{'lat': 33.9193469, 'lng': -118.1594443}"
25,725,South Bay Union School District,"601 Elm Ave, Imperial Beach, CA 91932, USA","{'lat': 32.5800193, 'lng': -117.1201788}"
26,726,Our Lady-Assumption School,"611 W Bonita Ave, Claremont, CA 91711, USA","{'lat': 34.0967423, 'lng': -117.7242337}"
27,727,Sage Hill School,"20402 Newport Coast Dr, Newport Beach, CA 92657, USA","{'lat': 33.619052, 'lng': -117.823358}"
28,728,Los Altos School District,"201 Covington Rd, Los Altos, CA 94024, USA","{'lat': 37.3715414, 'lng': -122.1070739}"
29,729,Chester County Intermediate Unit,"839 4th St, Eureka, CA 95501, USA","{'lat': 40.8036137, 'lng': -124.1621438}"
30,730,FUSD,"4210 Technology Dr, Fremont, CA 94538, USA","{'lat': 37.5079221, 'lng': -121.9545989}"
31,731,Plumas Unified School District,"50 Church St, Quincy, CA 95971, USA","{'lat': 39.9361077, 'lng': -120.9438437}"
32,732,SNOWLINE JOINT UNIFIED,"4075 Nielson Rd, Phelan, CA 92371, USA","{'lat': 34.4184036, 'lng': -117.5731701}"
33,733,Del Mar Union School District,"225 9th St, Del Mar, CA 92014, USA","{'lat': 32.9529566, 'lng': -117.2632715}"
34,734,West Side Union School District,"1201 Felta Rd, Healdsburg, CA 95448, USA","{'lat': 38.5799296, 'lng': -122.8833105}"
35,735,Oceanside Unified School District,"2111 Mission Ave, Oceanside, CA 92054, USA","{'lat': 33.2062481, 'lng': -117.3618771}"
36,736,Bennett Valley Union School District,"2250 Mesquite Dr, Santa Rosa, CA 95405, USA","{'lat': 38.429427, 'lng': -122.6733487}"
37,737,Golden Valley High School,"27801 Dickason Dr, Valencia, CA 91355, USA","{'lat': 34.4404892, 'lng': -118.5628821}"
38,738,Acton-Agua Dulce Unified School District,"32248 Crown Valley Rd, Acton, CA 93510, USA","{'lat': 34.4729988, 'lng': -118.1967376}"
39,739,Golden Valley High School,"21515 Centre Pointe Pkwy, Santa Clarita, CA 91350, USA","{'lat': 34.4123479, 'lng': -118.5132047}"
40,740,ABC So-Cal,"1400 Kellogg Dr STE A, Anaheim, CA 92807, USA","{'lat': 33.8618847, 'lng': -117.8055892}"
41,741,Chester County Intermediate Unit,"825 5th St RM 125, Ferndale, CA 95536, USA","{'lat': 40.5874066, 'lng': -124.2660153}"
42,742,Mid-Peninsula High School,"1340 Willow Rd, Menlo Park, CA 94025, USA","{'lat': 37.476431, 'lng': -122.1520301}"
43,743,SEEK Education Inc,"9060 Huntington Dr, San Gabriel, CA 91775, USA","{'lat': 34.1300489, 'lng': -118.0710009}"
44,744,Plumas Unified School District,"50 Church St, Quincy, CA 95971, USA","{'lat': 39.9361077, 'lng': -120.9438437}"
45,745,Pomona Unified School District,"701 N Huntington Blvd, Pomona, CA 91768, USA","{'lat': 34.0648858, 'lng': -117.7617802}"
46,746,Madonna Del Sasso School,"20 Santa Teresa Way, Salinas, CA 93906, USA","{'lat': 36.6962743, 'lng': -121.6456256}"
47,747,Avenal Elementary School,"205 N Park Ave, Avenal, CA 93204, USA","{'lat': 36.0086024, 'lng': -120.1250336}"
48,748,Newport Harbor High School,"2900 Bristol St C106, Costa Mesa, CA 92626, USA","{'lat': 33.6759659, 'lng': -117.8864463}"
49,749,San Mateo - Foster City School District,"51 41st Ave, San Mateo, CA 94403, USA","{'lat': 37.5301625, 'lng': -122.2913726}"
50,750,CAPO BEACH CALVARY SCHOOL,"25975 Domingo Ave, Dana Point, CA 92624, USA","{'lat': 33.4653064, 'lng': -117.6763932}"
51,751,Hillcrest Christian School,"2030 Main St, Irvine, CA 92614, USA","{'lat': 33.6831757, 'lng': -117.8532131}"
52,752,Redwood City School District,"750 Bradford St, Redwood City, CA 94063, USA","{'lat': 37.488432, 'lng': -122.2273868}"
53,753,Martin County School District,"333 S Beaudry Ave, Los Angeles, CA 90017, USA","{'lat': 34.0561431, 'lng': -118.2573219}"
54,754,Hillcrest Christian School,"2030 Main St, Irvine, CA 92614, USA","{'lat': 33.6831757, 'lng': -117.8532131}"
55,755,Desert Sands Unified School District,"47950 Dune Palms Rd, La Quinta, CA 92253, USA","{'lat': 33.7010127, 'lng': -116.2773595}"
56,756,Alameda Community Learning Center,"1900 3rd St, Alameda, CA 94501, USA","{'lat': 37.778968, 'lng': -122.28747}"
57,757,Kern High School District,"5801 Sundale Ave, Bakersfield, CA 93309, USA","{'lat': 35.3424374, 'lng': -119.0651752}"
58,758,Palm Springs Teachers Association,"980 E Tahquitz Canyon Way, Palm Springs, CA 92262, USA","{'lat': 33.8240262, 'lng': -116.5374324}"
59,759,Alexander Valley School,"8511 CA-128, Healdsburg, CA 95448, USA","{'lat': 38.6550293, 'lng': -122.794013}"
60,760,Bakersfield City School District,"1300 Baker St, Bakersfield, CA 93305, USA","{'lat': 35.3826075, 'lng': -118.9912504}"
61,761,Dos Palos High School,"2041 Almond St, Dos Palos, CA 93620, USA","{'lat': 36.98471350000001, 'lng': -120.6287534}"
62,762,Los Angeles Unified School District,"333 S Beaudry Ave, Los Angeles, CA 90017, USA","{'lat': 34.0561431, 'lng': -118.2573219}"
63,763,Shasta Union High School District,"3411 Churn Creek Rd, Redding, CA 96002, USA","{'lat': 40.55839870000001, 'lng': -122.3514752}"
64,764,Irvine Unified School District,"5050 Barranca Pkwy, Irvine, CA 92604, USA","{'lat': 33.6756332, 'lng': -117.7922157}"
65,765,Pacific Ridge School,"6269 El Fuerte St, Carlsbad, CA 92009, USA","{'lat': 33.1231707, 'lng': -117.2496075}"
