,_id,Name,Address,Geocodes
0,1500,St. Francis Central Coast Catholic High School,"2400 E Lake Ave, Watsonville, CA 95076, USA","{'lat': 36.9392823, 'lng': -121.740351}"
1,1501,NOTRE DAME ACADEMY ELEMENTARY,"2911 Overland Ave, Los Angeles, CA 90064, USA","{'lat': 34.0335775, 'lng': -118.4190029}"
2,1502,Rocklin Unified School District,"5025 Meyers St, Rocklin, CA 95677, USA","{'lat': 38.7916417, 'lng': -121.227938}"
3,1503,Saint Francis High School,"1885 Miramonte Ave, Mountain View, CA 94040, USA","{'lat': 37.3693131, 'lng': -122.0863471}"
4,1504,El Monte Union High School District,"3537 Johnson Ave, El Monte, CA 91731, USA","{'lat': 34.0716153, 'lng': -118.0308139}"
5,1505,Santa Rita Union School District,"57 Russell Rd, Salinas, CA 93906, USA","{'lat': 36.7329239, 'lng': -121.6496553}"
6,1506,Gilroy High School,"325 Santa Clara Ave, Gilroy, CA 95020, USA","{'lat': 37.0541055, 'lng': -121.5871672}"
7,1507,Santa Monica High School,"1651 16th St, Santa Monica, CA 90404, USA","{'lat': 34.0222369, 'lng': -118.4790261}"
8,1508,Fountain Valley School District,"17330 Mt Herrmann St, Fountain Valley, CA 92708, USA","{'lat': 33.7115794, 'lng': -117.9313991}"
9,1509,Morongo Unified School District,"Twentynine Palms, CA 92277, USA","{'lat': 34.1355582, 'lng': -116.0541689}"
10,1510,Lindsay Unified School District,"371 E Hermosa St, Lindsay, CA 93247, USA","{'lat': 36.20665210000001, 'lng': -119.0884}"
11,1511,Novato Unified School District,"1015 7th St, Novato, CA 94945, USA","{'lat': 38.1096606, 'lng': -122.5785942}"
12,1512,Chartwell School,"2511 Numa Watson Rd, Seaside, CA 93955, USA","{'lat': 36.6364455, 'lng': -121.8029211}"
13,1513,Oakwood School,"11600 W Magnolia Blvd, North Hollywood, CA 91601, USA","{'lat': 34.16462509999999, 'lng': -118.3845657}"
14,1514,The Webb Schools,"1175 W Baseline Rd, Claremont, CA 91711, USA","{'lat': 34.1257925, 'lng': -117.739553}"
15,1515,Notre Dame High School,"455 Palma Dr, Salinas, CA 93901, USA","{'lat': 36.6643444, 'lng': -121.6691257}"
16,1516,Beverly Hills Unified School District,"255 S Lasky Dr, Beverly Hills, CA 90212, USA","{'lat': 34.0625135, 'lng': -118.4102174}"
17,1517,Campbell Union High School District,"4805 Westmont Ave, Campbell, CA 95008, USA","{'lat': 37.2708751, 'lng': -121.9857147}"
18,1518,Bellarmine College Preparatory,"960 W Hedding St, San Jose, CA 95126, USA","{'lat': 37.3422908, 'lng': -121.9191871}"
19,1519,Roseville Joint Union High School District,"1750 Cirby Way, Roseville, CA 95661, USA","{'lat': 38.7280674, 'lng': -121.2587022}"
20,1520,Apple Valley Unified School District,"23450 S Rd, Apple Valley, CA 92307, USA","{'lat': 34.5530619, 'lng': -117.1528309}"
21,1521,De La Salle High School,"1130 Winton Dr, Concord, CA 94518, USA","{'lat': 37.93401060000001, 'lng': -122.0314474}"
22,1522,Monte Vista Christian School,"2 School Way, Watsonville, CA 95076, USA","{'lat': 36.9829805, 'lng': -121.7679763}"
23,1523,The Curtis School,"15871 Mulholland Dr, Los Angeles, CA 90049, USA","{'lat': 34.129335, 'lng': -118.479315}"
24,1524,Elk Grove Unified School District,"4011 Hood Franklin Rd, Elk Grove, CA 95757, USA","{'lat': 38.3770958, 'lng': -121.4571917}"
25,1525,La Salle High School,"3880 E Sierra Madre Blvd, Pasadena, CA 91107, USA","{'lat': 34.1612745, 'lng': -118.0703035}"
26,1526,Poway Unified School District,"15250 Avenue of Science, San Diego, CA 92128, USA","{'lat': 32.9929181, 'lng': -117.0822583}"
27,1527,Dinuba Unified School District,"1327 E El Monte Way, Dinuba, CA 93618, USA","{'lat': 36.5459064, 'lng': -119.3808801}"
