,_id,Name,Address,Geocodes
0,1700,Delano Jt Union High School District,"1747 Princeton St, Delano, CA 93215, USA","{'lat': 35.7785136, 'lng': -119.2366311}"
1,1701,Buena Park School District,"6885 Orangethorpe Ave, Buena Park, CA 90620, USA","{'lat': 33.8593787, 'lng': -118.0147205}"
2,1702,Mariposa County office of education,"8th St, Mariposa, CA 95338, USA","{'lat': 37.487575, 'lng': -119.9669095}"
3,1703,Bellarmine-Jefferson High School,"465 E Olive Ave, Burbank, CA 91501, USA","{'lat': 34.1841391, 'lng': -118.3056917}"
4,1704,Ocean City Christian School,"13225 Danielson St, Poway, CA 92064, USA","{'lat': 32.9395465, 'lng': -117.0427216}"
5,1705,The Meadows School,"31441 Santa Margarita Pkwy A, Rancho Santa Margarita, CA 92688, USA","{'lat': 33.6504199, 'lng': -117.582712}"
6,1706,Rescue Union School District,"2390 Bass Lake Rd, Rescue, CA 95672, USA","{'lat': 38.6961837, 'lng': -121.0079668}"
7,1707,Fremont Union High School District,"589 W Fremont Ave, Sunnyvale, CA 94087, USA","{'lat': 37.3527513, 'lng': -122.0374752}"
8,1708,Lutheran High School of Orange County,"N Santiago Blvd, Orange, CA 92867, USA","{'lat': 33.830162, 'lng': -117.8314428}"
9,1709,Morongo Unified School District,"Twentynine Palms, CA 92277, USA","{'lat': 34.1355582, 'lng': -116.0541689}"
10,1710,Jewish Community High School of the Bay,"1835 Ellis St, San Francisco, CA 94115, USA","{'lat': 37.7814256, 'lng': -122.436417}"
11,1711,Ventura Unified School District,"255 W Stanley Ave, Ventura, CA 93001, USA","{'lat': 34.3016705, 'lng': -119.2986786}"
12,1712,Susanville Elem Sch District,"109 S Gilman St, Susanville, CA 96130, USA","{'lat': 40.4138127, 'lng': -120.6453807}"
13,1713,David Burcham K-8 School,"1515 Hughes Way, Long Beach, CA 90810, USA","{'lat': 33.8289941, 'lng': -118.2136905}"
14,1714,Santa Ana Unified School District,"910 Coastline Dr, Seal Beach, CA 90740, USA","{'lat': 33.7453035, 'lng': -118.1017802}"
15,1715,Clovis Unified School District,"1450 Herndon Ave, Clovis, CA 93611, USA","{'lat': 36.8369109, 'lng': -119.6892979}"
16,1716,Encinitas Union School District,"8000 Calle Acervo, Carlsbad, CA 92009, USA","{'lat': 33.0616765, 'lng': -117.2388134}"
17,1717,Fremont Union High School District,"1280 Johnson Ave, San Jose, CA 95129, USA","{'lat': 37.3011698, 'lng': -122.0053339}"
18,1718,International School of the Peninsula,"151 Laura Ln, Palo Alto, CA 94303, USA","{'lat': 37.4525648, 'lng': -122.1255019}"
19,1719,Sacramento Adventist Academy,"5621 Winding Way, Carmichael, CA 95608, USA","{'lat': 38.6480181, 'lng': -121.3335934}"
20,1720,Lindsay Unified School District,"519 E Honolulu St, Lindsay, CA 93247, USA","{'lat': 36.20358969999999, 'lng': -119.0848018}"
21,1721,Dinuba Unified School District,"305 E Kamm Ave, Dinuba, CA 93618, USA","{'lat': 36.53271, 'lng': -119.3915179}"
22,1722,Campbell Union High School District,"3235 Union Ave, San Jose, CA 95124, USA","{'lat': 37.2652374, 'lng': -121.9320042}"
23,1723,Rincon Valley Union School District,"4995 Sonoma Hwy, Santa Rosa, CA 95409, USA","{'lat': 38.465691, 'lng': -122.6627112}"
24,1724,Perris Union High School District,"155 E 4th St, Perris, CA 92570, USA","{'lat': 33.7819748, 'lng': -117.2273527}"
25,1725,Perris Union High School District,"155 E 4th St, Perris, CA 92570, USA","{'lat': 33.7819748, 'lng': -117.2273527}"
26,1726,St. Ignatius College Prep,"2001 37th Ave, San Francisco, CA 94116, USA","{'lat': 37.74744, 'lng': -122.4966069}"
27,1727,Palo Alto Unified School District,"25 Churchill Ave, Palo Alto, CA 94306, USA","{'lat': 37.4335666, 'lng': -122.1549132}"
28,1728,Christian Brothers High School,"4315 Martin Luther King Jr Blvd, Sacramento, CA 95820, USA","{'lat': 38.5362175, 'lng': -121.4640073}"
29,1729,San Gabriel Mission High School,"254 S Santa Anita St, San Gabriel, CA 91776, USA","{'lat': 34.0987638, 'lng': -118.10701}"
30,1730,Panama-Buena Vista Union School District,"4200 Ashe Rd, Bakersfield, CA 93313, USA","{'lat': 35.3168768, 'lng': -119.0738565}"
31,1731,Paraclete High School,"42145 30th St W, Lancaster, CA 93536, USA","{'lat': 34.6481996, 'lng': -118.1843988}"
32,1732,Culver City Unified School,"4034 Irving Pl, Culver City, CA 90232, USA","{'lat': 34.0224609, 'lng': -118.3937481}"
33,1733,Santa Rita Union School District,"700 Pacific St, Monterey, CA 93940, USA","{'lat': 36.59540190000001, 'lng': -121.8986833}"
34,1734,Panama-Buena Vista Union School District,"4200 Ashe Rd, Bakersfield, CA 93313, USA","{'lat': 35.3168768, 'lng': -119.0738565}"
35,1735,Campbell Union High School District,"5210 Leigh Ave, San Jose, CA 95124, USA","{'lat': 37.241732, 'lng': -121.9209107}"
36,1736,Saint Mary's College High School,"1294 Albina Avenue, Peralta Park, Berkeley, CA 94706, USA","{'lat': 37.8831864, 'lng': -122.2843735}"
