,_id,Name,Address,Geocodes
0,2000,Arcadia Unified School District,"180 Campus Dr, Arcadia, CA 91007, USA","{'lat': 34.1298174, 'lng': -118.0383691}"
1,2001,Springer Elementary School,"1120 Rose Ave, Mountain View, CA 94040, USA","{'lat': 37.371303, 'lng': -122.0952394}"
2,2002,El Camino High School,"400 Rancho Del Oro Dr, Oceanside, CA 92057, USA","{'lat': 33.2191317, 'lng': -117.317436}"
3,2003,Roseville Joint Union High School District,"125 Berry St, Roseville, CA 95678, USA","{'lat': 38.7592453, 'lng': -121.2744837}"
4,2004,Coronado Schools Foundation,"201 6th St, Coronado, CA 92118, USA","{'lat': 32.6965565, 'lng': -117.1870858}"
5,2005,ROMAN CATHOLIC BISHOP OF ORANGE,"20444 Magnolia St, Huntington Beach, CA 92646, USA","{'lat': 33.6657179, 'lng': -117.970754}"
6,2006,Clovis Unified School District,"15700 Old Oak Ranch Rd, Sonora, CA 95370, USA","{'lat': 38.0507728, 'lng': -120.3021398}"
7,2007,Las Virgenes Unified School District,"28545 W Driver Ave, Agoura Hills, CA 91301, USA","{'lat': 34.150409, 'lng': -118.7489067}"
8,2008,Myers Elementary School,"595 S Eucalyptus Ave, Rialto, CA 92376, USA","{'lat': 34.0908112, 'lng': -117.3556798}"
9,2009,San Francisco Day School,"350 Masonic Ave, San Francisco, CA 94118, USA","{'lat': 37.777974, 'lng': -122.4465696}"
10,2010,Palmdale School District,"39139 10th St E, Palmdale, CA 93550, USA","{'lat': 34.5934093, 'lng': -118.1125422}"
11,2011,Mariners Christian School,"300 Fischer Ave, Costa Mesa, CA 92626, USA","{'lat': 33.6758728, 'lng': -117.8772035}"
12,2012,Palmdale School District,"39139 10th St E #49, Palmdale, CA 93550, USA","{'lat': 34.5934093, 'lng': -118.1125422}"
13,2013,Travis Unified School District,"2951 Markeley Ln, Fairfield, CA 94533, USA","{'lat': 38.2814278, 'lng': -121.9633278}"
14,2014,Valley Christian Schools,"17408 Grand Ave, Bellflower, CA 90706, USA","{'lat': 33.8747974, 'lng': -118.1114678}"
15,2015,Pasadena High School,"300 Madre St, Pasadena, CA 91107, USA","{'lat': 34.1410896, 'lng': -118.0808098}"
16,2016,Clovis Unified School District,"S 1st St, Fresno, CA, USA","{'lat': 36.7375496, 'lng': -119.7725523}"
17,2017,Rancho Canada Elementary Schl,"21801 Winding Way, Lake Forest, CA 92630, USA","{'lat': 33.6459701, 'lng': -117.6930976}"
