,_id,Name,Address,Geocodes
0,2300,California Association of Supervisors of Child Welfare and Attendance,"10765 Strathern St, Sun Valley, CA 91352, USA","{'lat': 34.2161538, 'lng': -118.3664664}"
1,2301,Astronomy Club of Santa Clarita Valley,"22424 Caroldale Ave, Carson, CA 90745, USA","{'lat': 33.8225625, 'lng': -118.2834954}"
2,2302,Chadwick School,"26800 Academy Dr, Palos Verdes Peninsula, CA 90274, USA","{'lat': 33.7809024, 'lng': -118.3572506}"
3,2303,Astronomy Club of Santa Clarita Valley,"2611 S Orange Dr, Los Angeles, CA 90016, USA","{'lat': 34.0318581, 'lng': -118.353728}"
4,2304,Astronomy Club of Santa Clarita Valley,"14500 Dyer St, Sylmar, CA 91342, USA","{'lat': 34.2999673, 'lng': -118.4473188}"
5,2305,California Association of Supervisors of Child Welfare and Attendance,"4112 E Olympic Blvd, Los Angeles, CA 90023, USA","{'lat': 34.01724060000001, 'lng': -118.1847187}"
6,2306,California Association of Supervisors of Child Welfare and Attendance,"2101 N Indiana Ave, Los Angeles, CA 90032, USA","{'lat': 34.0686034, 'lng': -118.1933102}"
7,2307,California School Nurses Organization,"5816 Alleghany St, San Diego, CA 92139, USA","{'lat': 32.6802331, 'lng': -117.0665365}"
8,2308,Astronomy Club of Santa Clarita Valley,"1512 Arlington Ave, Los Angeles, CA 90019, USA","{'lat': 34.0459842, 'lng': -118.3172454}"
9,2309,Palo Alto Soccer Club,"3535 Truman Ave, Mountain View, CA 94040, USA","{'lat': 37.360024, 'lng': -122.0683199}"
10,2310,California School Nutrition Association,"9510 Elk Grove Florin Rd, Elk Grove, CA 95624, USA","{'lat': 38.4131449, 'lng': -121.3728362}"
11,2311,California School Nutrition Association,"8101 Grandstaff Dr, Sacramento, CA 95823, USA","{'lat': 38.463337, 'lng': -121.4230288}"
12,2312,Oxnard Union High Sch Dist,"500 W Bard Rd, Oxnard, CA 93033, USA","{'lat': 34.1591265, 'lng': -119.1823254}"
13,2313,Computer Training Center Huntington Beach Adult School,"16666 Tunstall Ln, Huntington Beach, CA 92647, USA","{'lat': 33.72068600000001, 'lng': -118.0038785}"
14,2314,California Association of Supervisors of Child Welfare and Attendance,"3140 Hyde Park Blvd, Los Angeles, CA 90043, USA","{'lat': 33.9802188, 'lng': -118.328598}"
15,2315,Association of California School Administrators,"1111 S Broadway, Santa Ana, CA 92707, USA","{'lat': 33.7337088, 'lng': -117.8688713}"
16,2316,California School Nutrition Association,"8281 Walker St, La Palma, CA 90623, USA","{'lat': 33.8425246, 'lng': -118.0377837}"
17,2317,Visalia Unified School District,"1717 N McAuliff St, Visalia, CA 93292, USA","{'lat': 36.3432111, 'lng': -119.2521829}"
18,2318,California USA Wrestling,"2121 E Childs Ave, Merced, CA 95341, USA","{'lat': 37.2885389, 'lng': -120.4508895}"
19,2319,Southern California Vocal Association,"223 N Jackson St, Glendale, CA 91206, USA","{'lat': 34.1492171, 'lng': -118.2503812}"
20,2320,California Association of Student Leaders,"823 W Lacey Blvd, Hanford, CA 93230, USA","{'lat': 36.3275189, 'lng': -119.6572049}"
21,2321,California School Health Centers Association,"44 E J St, Chula Vista, CA 91910, USA","{'lat': 32.6302365, 'lng': -117.060606}"
22,2322,Clovis Unified School Dist,"7676 N First St, Fresno, CA 93720, USA","{'lat': 36.8493354, 'lng': -119.7737727}"
23,2323,Schools Excess Liability Fund,"10551 Bellegrave Ave, Mira Loma, CA 91752, USA","{'lat': 34.0021389, 'lng': -117.5219286}"
24,2324,California League of Middle Schools,"2404 Howe Ave, Sacramento, CA 95825, USA","{'lat': 38.608166, 'lng': -121.414067}"
25,2325,Imperial County Office Educatn,"621 E 6th St, Holtville, CA 92250, USA","{'lat': 32.8137696, 'lng': -115.3728089}"
26,2326,"Association of Mexican American Educators, Inc.","509 E South St, Madera, CA 93638, USA","{'lat': 36.97104240000001, 'lng': -120.0611072}"
27,2327,Escondido Citizens Ecology Committee,"302 N Midway Dr, Escondido, CA 92027, USA","{'lat': 33.1362588, 'lng': -117.0502158}"
28,2328,California School Nutrition Association,"9461 Soaring Oaks Dr, Elk Grove, CA 95758, USA","{'lat': 38.4157408, 'lng': -121.4119033}"
29,2329,Astronomy Club of Santa Clarita Valley,"2839 N Eastern Ave, Los Angeles, CA 90032, USA","{'lat': 34.08021190000001, 'lng': -118.1785033}"
30,2330,California Association of Supervisors of Child Welfare and Attendance,"3920 E Spring St, Orange, CA 92869, USA","{'lat': 33.7895622, 'lng': -117.8128252}"
31,2331,South San Francisco Adult School,"1320 Mission Rd, South San Francisco, CA 94080, USA","{'lat': 37.6660014, 'lng': -122.4415042}"
32,2332,Astronomy Club of Santa Clarita Valley,"6501 Fair Ave, North Hollywood, CA 91606, USA","{'lat': 34.18995330000001, 'lng': -118.377056}"
33,2333,Rudolph Rivera Jr High School,"2736 Franklin Rd, Merced, CA 95348, USA","{'lat': 37.32710350000001, 'lng': -120.5397039}"
