,_id,Name,Address,Geocodes
0,2500,Hills School,"975 N San Carlos Dr, Walnut Creek, CA 94598, USA","{'lat': 37.9221837, 'lng': -122.0489708}"
1,2501,Hills School,"975 N San Carlos Dr, Walnut Creek, CA 94598, USA","{'lat': 37.9221837, 'lng': -122.0489708}"
2,2502,Campbell Hall,"4533 Laurel Canyon Blvd, Studio City, CA 91607, USA","{'lat': 34.153546, 'lng': -118.3982535}"
3,2503,Horizon Prep,"162 S Rancho Santa Fe Rd Suite B-30, Encinitas, CA 92024, USA","{'lat': 33.0355186, 'lng': -117.2389678}"
4,2504,Vincent High School,"SPSV Admin Building, 1500 Benicia Rd, Vallejo, CA 94591, USA","{'lat': 38.0865408, 'lng': -122.2026728}"
5,2505,Vincent High School,"SPSV Admin Building, 1500 Benicia Rd, Vallejo, CA 94591, USA","{'lat': 38.0865408, 'lng': -122.2026728}"
6,2506,Valencia High School,"21515 Centre Pointe Pkwy, Santa Clarita, CA 91350, USA","{'lat': 34.4123479, 'lng': -118.5132047}"
7,2507,St. Matthew's Episcopal Day School,"16 Baldwin Ave, San Mateo, CA 94401, USA","{'lat': 37.56566840000001, 'lng': -122.3270935}"
8,2508,Valley Christian Schools,"17408 Grand Ave, Bellflower, CA 90706, USA","{'lat': 33.8747974, 'lng': -118.1114678}"
9,2509,Valley Christian Schools,"1450 Leigh Ave, San Jose, CA 95125, USA","{'lat': 37.2967731, 'lng': -121.9221109}"
10,2510,Valley Christian Schools,"100 Skyway Dr, San Jose, CA 95111, USA","{'lat': 37.2755122, 'lng': -121.8241126}"
11,2511,Valley Christian Schools,"100 Skyway Dr #120, San Jose, CA 95111, USA","{'lat': 37.2755122, 'lng': -121.8241126}"
12,2512,Valley Christian Schools,"10818 Artesia Blvd, Cerritos, CA 90703, USA","{'lat': 33.8721453, 'lng': -118.1031224}"
13,2513,Valley Christian Schools,"100 Skyway Dr, San Jose, CA 95111, USA","{'lat': 37.2755122, 'lng': -121.8241126}"
14,2514,Orange Crescent School,"Al-Rahman Plaza, 1 Al-Rahman Plaza, Garden Grove, CA 92844, USA","{'lat': 33.7555828, 'lng': -117.9585366}"
15,2515,Morro Bay High School,"235 Atascadero Rd, Morro Bay, CA 93442, USA","{'lat': 35.3833969, 'lng': -120.8576889}"
16,2516,San Bernardino City Unified School District,"956 W 9th St, San Bernardino, CA 92411, USA","{'lat': 34.1160067, 'lng': -117.3053898}"
17,2517,Orland Unified School District schools,"1320 6th St, Orland, CA 95963, USA","{'lat': 39.737769, 'lng': -122.1974412}"
18,2518,San Ramon Valley Unified School District,"699 Old Orchard Dr, Danville, CA 94526, USA","{'lat': 37.8125243, 'lng': -121.9776147}"
19,2519,SMMUSD,"2525 5th St, Santa Monica, CA 90405, USA","{'lat': 34.0052218, 'lng': -118.4811722}"
20,2520,Apple Valley Unified School District,"22974 Bear Valley Rd, Apple Valley, CA 92308, USA","{'lat': 34.473631, 'lng': -117.160051}"
21,2521,Apple Valley Unified School District,"21950 Nisqually Rd, Apple Valley, CA 92308, USA","{'lat': 34.4863315, 'lng': -117.1852081}"
22,2522,School Engine,"5340 Skylane Blvd, Santa Rosa, CA 95403, USA","{'lat': 38.5121964, 'lng': -122.7981348}"
23,2523,KIPP Foundation,"345 Spear St #510, San Francisco, CA 94105, USA","{'lat': 37.7899545, 'lng': -122.389913}"
