,_id,Name,Address,Geocodes
0,2700,Fillmore Arts Center,"24890 E 78th Ave, Denver, CO 80249, USA","{'lat': 39.8368069, 'lng': -104.6983169}"
1,2701,Sierra Grande School,"17523 US-160, Blanca, CO 81123, USA","{'lat': 37.4317846, 'lng': -105.4564983}"
2,2702,Weld County School Dist Re 3 J,"Keenesburg, CO 80643, USA","{'lat': 40.1083158, 'lng': -104.5199585}"
3,2703,Denver Public Schools,"1391 Speer Blvd UNIT 600, Denver, CO 80204, USA","{'lat': 39.738273, 'lng': -104.9980382}"
4,2704,Steamboat Springs School District Re 2,"325 7th St, Steamboat Springs, CO 80487, USA","{'lat': 40.4879911, 'lng': -106.8317575}"
5,2705,Moffat County School District,"775 Yampa Ave, Craig, CO 81625, USA","{'lat': 40.5192822, 'lng': -107.5468269}"
6,2706,Denver Public Schools,"900 Grant St, Denver, CO 80203, USA","{'lat': 39.7307769, 'lng': -104.9832898}"
7,2707,Denver Public Schools,"900 Grant St, Denver, CO 80203, USA","{'lat': 39.7307769, 'lng': -104.9832898}"
8,2708,Denver Public Schools,"1820 Lowell Blvd, Denver, CO 80204, USA","{'lat': 39.7457774, 'lng': -105.0340984}"
9,2709,Douglas County Schools,"2806 US-85, Castle Rock, CO 80109, USA","{'lat': 39.4045312, 'lng': -104.8686558}"
10,2710,Cherry Creek School Dst 5,"4700 S Yosemite St, Greenwood Village, CO 80111, USA","{'lat': 39.63108099999999, 'lng': -104.8845945}"
11,2711,Eaton School District,"200 Park Ave, Eaton, CO 80615, USA","{'lat': 40.5274467, 'lng': -104.7175966}"
12,2712,Moffat County School District,"900 Finley Ln, Craig, CO 81625, USA","{'lat': 40.52147739999999, 'lng': -107.5628082}"
13,2713,Denver Public Schools,"2120 W Arkansas Ave, Denver, CO 80223, USA","{'lat': 39.6905677, 'lng': -105.0130974}"
14,2714,West Denver Preparatory Charter School,"1825 S Federal Blvd, Denver, CO 80219, USA","{'lat': 39.68428830000001, 'lng': -105.0257735}"
15,2715,Ellicott School District,"395 S Ellicott Hwy, Calhan, CO 80808, USA","{'lat': 38.8259237, 'lng': -104.3865111}"
16,2716,Douglas County Schools,"7800 E Tufts Ave, Denver, CO 80237, USA","{'lat': 39.6303028, 'lng': -104.8990094}"
17,2717,Thompson School District R2j,"800 S Taft Ave, Loveland, CO 80537, USA","{'lat': 40.3838401, 'lng': -105.0962043}"
18,2718,Fountain-Fort Carson School District 8,"515 N Santa Fe Ave, Fountain, CO 80817, USA","{'lat': 38.6866188, 'lng': -104.7057043}"
19,2719,Denver Public Schools,"2250 S Quitman Way, Denver, CO 80219, USA","{'lat': 39.6764287, 'lng': -105.0398668}"
20,2720,Pitts Elementary School,"315 W 6th St, Leadville, CO 80461, USA","{'lat': 39.247366, 'lng': -106.296238}"
21,2721,George Washington High School,"655 S Monaco Pkwy, Denver, CO 80224, USA","{'lat': 39.70538390000001, 'lng': -104.9147031}"
22,2722,Stargate School,"3951 Cottonwood Lakes Blvd, Thornton, CO 80241, USA","{'lat': 39.9349798, 'lng': -104.9408018}"
23,2723,James Irwin Charter Schools,"5525 Astrozon Blvd, Colorado Springs, CO 80916, USA","{'lat': 38.7971441, 'lng': -104.7285784}"
24,2724,James Irwin Charter Schools,"5525 Astrozon Blvd, Colorado Springs, CO 80916, USA","{'lat': 38.7971441, 'lng': -104.7285784}"
25,2725,Middle School,"425 S Denver Ave, Fort Lupton, CO 80621, USA","{'lat': 40.0758457, 'lng': -104.811657}"
26,2726,Denver Public Schools,"780 Grant St, Denver, CO 80203, USA","{'lat': 39.7288197, 'lng': -104.9831985}"
27,2727,The Denver Waldorf School,"940 Fillmore St, Denver, CO 80206, USA","{'lat': 39.7316503, 'lng': -104.9525674}"
28,2728,Rocky Mountain School of Expeditionary Learning,"1700 S Holly St, Denver, CO 80222, USA","{'lat': 39.68565299999999, 'lng': -104.9216707}"
29,2729,Eagle County Schools,"Eagle, CO 81631, USA","{'lat': 39.6552634, 'lng': -106.8286507}"
30,2730,Dakota Valley Elementary Schl,"4700 S Yosemite St, Greenwood Village, CO 80111, USA","{'lat': 39.63108099999999, 'lng': -104.8845945}"
31,2731,BLESSED SACRAMENT CHURCH,"1912 Eudora St, Denver, CO 80220, USA","{'lat': 39.7458955, 'lng': -104.9306949}"
32,2732,Berthoud Elementary School,"215 E 7th St, Loveland, CO 80537, USA","{'lat': 40.3988703, 'lng': -105.074122}"
33,2733,Weld RE5J School District,"110 Centennial Dr, Milliken, CO 80543, USA","{'lat': 40.3295751, 'lng': -104.8334687}"
34,2734,Zion Lutheran Church & School,"2600 S Wadsworth Blvd, Denver, CO 80227, USA","{'lat': 39.66953549999999, 'lng': -105.0807213}"
35,2735,Thompson Valley High School,"1669 Eagle Dr, Loveland, CO 80537, USA","{'lat': 40.3878983, 'lng': -105.1006483}"
36,2736,Pitts Elementary School,"1000 W 4th St, Leadville, CO 80461, USA","{'lat': 39.24423669999999, 'lng': -106.3029006}"
37,2737,St. Mary's Academy,"4545 S University Blvd, Englewood, CO 80113, USA","{'lat': 39.6340615, 'lng': -104.9610087}"
38,2738,Garfield County School Dist,"251 Parachute Ave, Parachute, CO 81635, USA","{'lat': 39.4529266, 'lng': -108.0544476}"
39,2739,Denver Public Schools,"150 S Pearl St, Denver, CO 80209, USA","{'lat': 39.7136982, 'lng': -104.9798666}"
40,2740,COUNTY OF ELBERT AGATE SCHOOL DISTRICT 300,"Agate, CO 80101, USA","{'lat': 39.4614985, 'lng': -103.9423755}"
41,2741,Manitou Springs School Dist,"738 Manitou Ave, Manitou Springs, CO 80829, USA","{'lat': 38.8575563, 'lng': -104.915684}"
42,2742,Denver Public Schools,"1250 Welton St, Denver, CO 80204, USA","{'lat': 39.7407838, 'lng': -104.9949292}"
43,2743,Denver Public Schools,"4540 W 10th Ave, Denver, CO 80204, USA","{'lat': 39.7325548, 'lng': -105.0459698}"
44,2744,Denver Public Schools,"1230 S Grant St, Denver, CO 80210, USA","{'lat': 39.69380779999999, 'lng': -104.9837006}"
45,2745,Denver Public Schools,"14390 Bolling Dr, Denver, CO 80239, USA","{'lat': 39.7833763, 'lng': -104.8238724}"
46,2746,Denver Public Schools,"3700 E Alameda Ave #400, Denver, CO 80209, USA","{'lat': 39.7111199, 'lng': -104.9434028}"
47,2747,Denver Public Schools,"900 Grant St #501, Denver, CO 80203, USA","{'lat': 39.7307769, 'lng': -104.9832898}"
48,2748,Weld County School District 6,"1025 9th Ave, Greeley, CO 80631, USA","{'lat': 40.4214841, 'lng': -104.6931296}"
49,2749,CIVA Charter School,"4635 Northpark Dr, Colorado Springs, CO 80918, USA","{'lat': 38.8990023, 'lng': -104.8263096}"
50,2750,Douglas County Schools,"7075 Shoreham Dr, Castle Rock, CO 80108, USA","{'lat': 39.465947, 'lng': -104.894195}"
51,2751,Colorado International School,"4100 E Iliff Ave, Denver, CO 80222, USA","{'lat': 39.6744224, 'lng': -104.9393645}"
52,2752,Boulder Country Day School,"6650 Gunpark Dr, Boulder, CO 80301, USA","{'lat': 40.0701495, 'lng': -105.1988674}"
53,2753,Platte Valley Sch Dist R E 7,"Kersey, CO, USA","{'lat': 40.387481, 'lng': -104.5616256}"
54,2754,Clear Creek School District RE-1,"Idaho Springs, CO, USA","{'lat': 39.7424881, 'lng': -105.5136081}"
55,2755,West Denver Preparatory Charter School,"2960 Speer Blvd, Denver, CO 80211, USA","{'lat': 39.76023470000001, 'lng': -105.0225795}"
56,2756,GRANDVIEW HIGH SCHOOL POMS,"20500 E Arapahoe Rd, Aurora, CO 80016, USA","{'lat': 39.5926316, 'lng': -104.7466853}"
57,2757,Mitchell High School,"1205 Potter Dr, Colorado Springs, CO 80909, USA","{'lat': 38.8495407, 'lng': -104.7515278}"
58,2758,St. Vrain Valley School District,"401 S Pratt Pkwy, Longmont, CO 80501, USA","{'lat': 40.1546489, 'lng': -105.107395}"
59,2759,GWHS,"655 S Monaco Pkwy, Denver, CO 80224, USA","{'lat': 39.7046567, 'lng': -104.9153368}"
60,2760,American Sentinel College,"2260 S Xanadu Way, Aurora, CO 80014, USA","{'lat': 39.676505, 'lng': -104.8311887}"
61,2761,Denver Public Schools,"4735 N Pecos St, Denver, CO 80211, USA","{'lat': 39.7822104, 'lng': -105.0067148}"
62,2762,Denver Public Schools,"96 S Zuni St, Denver, CO 80223, USA","{'lat': 39.7153703, 'lng': -105.0153344}"
63,2763,Denver Public Schools,"1751 S Washington St, Denver, CO 80210, USA","{'lat': 39.6854597, 'lng': -104.9800492}"
64,2764,Denver Public Schools,"5130 Durham Ct, Denver, CO 80239, USA","{'lat': 39.7865008, 'lng': -104.8170991}"
65,2765,St. Vrain School District Office of Professional Development. -,"401 S Pratt Pkwy, Longmont, CO 80501, USA","{'lat': 40.1546489, 'lng': -105.107395}"
66,2766,Mesa County Valley School District 51,"552 W Main St, Grand Junction, CO 81501, USA","{'lat': 39.067783, 'lng': -108.5776241}"
67,2767,North Star Academy,"16700 Keystone Blvd, Parker, CO 80134, USA","{'lat': 39.5370742, 'lng': -104.7956939}"
68,2768,Denver Cooperative Preschool,"480 N Marion St, Denver, CO 80218, USA","{'lat': 39.7234485, 'lng': -104.9713881}"
69,2769,Woodland Park High School,"155 Panther Way, Woodland Park, CO 80863, USA","{'lat': 38.9960862, 'lng': -105.0453471}"
70,2770,Cherry Creek School Dst 5,"6260 S Dayton St, Englewood, CO 80111, USA","{'lat': 39.6027264, 'lng': -104.875335}"
71,2771,Denver Public Schools,"1914 Syracuse St, Denver, CO 80220, USA","{'lat': 39.745985, 'lng': -104.8982795}"
72,2772,Pikes Peak BOCES,"4825 Lorna Pl, Colorado Springs, CO 80915, USA","{'lat': 38.8452895, 'lng': -104.7381938}"
73,2773,Delta County Joint School Dist,"7655 2075 Rd, Delta, CO 81416, USA","{'lat': 38.7647157, 'lng': -107.9770611}"
74,2774,Pitts Elementary School,"107 Spruce St, Leadville, CO 80461, USA","{'lat': 39.2441871, 'lng': -106.2945554}"
75,2775,Douglas County Schools,"620 Wilcox St, Castle Rock, CO 80104, USA","{'lat': 39.3759109, 'lng': -104.8594172}"
76,2776,Denver Public Schools,"1250 Welton St, Denver, CO 80204, USA","{'lat': 39.7407838, 'lng': -104.9949292}"
77,2777,PARK COUNTY RE-2,"Fairplay, CO 80440, USA","{'lat': 39.2247125, 'lng': -106.0019618}"
78,2778,Woodland Park High School,"490 Meadow Park Dr, Divide, CO 80814, USA","{'lat': 38.9523951, 'lng': -105.1444439}"
79,2779,Prairie Schools,"42315 Co Rd 133, Raymer, CO 80742, USA","{'lat': 40.6153741, 'lng': -103.8029105}"
80,2780,Fountain-Fort Carson School District 8,"10665 Jimmy Camp Rd, Fountain, CO 80817, USA","{'lat': 38.6757535, 'lng': -104.6863411}"
81,2781,Littleton Public Schools incorporated,"2201 E Dry Creek Rd, Centennial, CO 80122, USA","{'lat': 39.5816391, 'lng': -104.9630819}"
82,2782,Douglas County Schools,"620 Wilcox St, Castle Rock, CO 80104, USA","{'lat': 39.3759109, 'lng': -104.8594172}"
83,2783,St. Mary's Academy,"4545 S University Blvd, Englewood, CO 80113, USA","{'lat': 39.6340615, 'lng': -104.9610087}"
84,2784,Mesa County Valley School District 51,"2115 Grand Ave, Grand Junction, CO 81501, USA","{'lat': 39.0698499, 'lng': -108.540148}"
85,2785,Dakota Valley Elementary Schl,"9300 E Union Ave, Greenwood Village, CO 80111, USA","{'lat': 39.6299922, 'lng': -104.8790296}"
86,2786,Huerfano School District,"611 W 7th St, Walsenburg, CO 81089, USA","{'lat': 37.6197171, 'lng': -104.7887643}"
87,2787,Union Colony Preparatory School,"2000 Clubhouse Dr, Greeley, CO 80634, USA","{'lat': 40.4063395, 'lng': -104.7665878}"
88,2788,West Denver Preparatory Charter School,"1825 S Federal Blvd, Denver, CO 80219, USA","{'lat': 39.68428830000001, 'lng': -105.0257735}"
89,2789,Moffat County School District,"998 Rose St, Craig, CO 81625, USA","{'lat': 40.5232502, 'lng': -107.543841}"
90,2790,Pueblo School District No. 70,"24951 US-50, Pueblo, CO 81001, USA","{'lat': 38.2740419, 'lng': -104.5383424}"
91,2791,Canon City High School,"101 N 14th St, Cañon City, CO 81212, USA","{'lat': 38.4461966, 'lng': -105.229857}"
92,2792,Denver Public Schools,"6700 E Virginia Ave, Denver, CO 80224, USA","{'lat': 39.7071131, 'lng': -104.9093196}"
93,2793,Denver Public Schools,"2960 Speer Blvd, Denver, CO 80211, USA","{'lat': 39.76029880000001, 'lng': -105.0225019}"
94,2794,Denver Public Schools,"410 Park Ave W, Denver, CO 80205, USA","{'lat': 39.7498232, 'lng': -104.9821944}"
95,2795,Denver Public Schools,"2030 W Alameda Ave, Denver, CO 80223, USA","{'lat': 39.71050899999999, 'lng': -105.0112714}"
96,2796,Denver Public Schools,"2900 Richard Allen Ct, Denver, CO 80205, USA","{'lat': 39.7586382, 'lng': -104.9426727}"
97,2797,Denver Public Schools,"7125 Cherry Creek N Dr, Denver, CO 80224, USA","{'lat': 39.68844199999999, 'lng': -104.9062174}"
98,2798,Denver Public Schools,"3185 S Willow St, Denver, CO 80231, USA","{'lat': 39.6574045, 'lng': -104.8920755}"
99,2799,Denver Public Schools,"1700 E Louisiana Ave, Denver, CO 80210, USA","{'lat': 39.6918312, 'lng': -104.9663572}"
100,2800,Denver Public Schools,"8600 E Dartmouth Ave, Denver, CO 80231, USA","{'lat': 39.65992869999999, 'lng': -104.8920755}"
