,_id,Name,Address,Geocodes
0,3300,The Rectory School,"Pomfret, CT 06258, USA","{'lat': 41.8963243, 'lng': -71.9642149}"
1,3301,Trumbull High School,"5866 Main St, Trumbull, CT 06611, USA","{'lat': 41.2568791, 'lng': -73.21870919999999}"
2,3302,Ocean City Christian School,"400 Long Beach Blvd, Stratford, CT 06615, USA","{'lat': 41.1644422, 'lng': -73.1535715}"
3,3303,Notre Dame High School of W Hven,"24 Ricardo St, West Haven, CT 06516, USA","{'lat': 41.2878582, 'lng': -72.9612442}"
4,3304,Woodstock Academy,"57 Academy Rd, Woodstock, CT 06281, USA","{'lat': 41.951017, 'lng': -71.975534}"
5,3305,Marianapolis Preparatory School,"26 Chase Rd, Thompson, CT 06277, USA","{'lat': 41.9584585, 'lng': -71.8640673}"
6,3306,Greenwich Academy,"200 N Maple Ave, Greenwich, CT 06830, USA","{'lat': 41.0416647, 'lng': -73.6274972}"
7,3307,The Hotchkiss School,"339 Main St, Lakeville, CT 06039, USA","{'lat': 41.96565409999999, 'lng': -73.4405141}"
8,3308,Taft School,"110 Woodbury Rd, Watertown, CT 06795, USA","{'lat': 41.6038165, 'lng': -73.12472799999999}"
9,3309,Lauralton Hall,"200 High St, Milford, CT 06460, USA","{'lat': 41.2243679, 'lng': -73.06233809999999}"
10,3310,Kent Center School,"9 Judd Ave, Kent, CT 06757, USA","{'lat': 41.724077, 'lng': -73.48203}"
11,3311,The Gilbert School,"200 Williams Ave, Winsted, CT 06098, USA","{'lat': 41.9307252, 'lng': -73.0725322}"
12,3312,Regional School District 10,"24 Lyon Rd, Burlington, CT 06013, USA","{'lat': 41.7813672, 'lng': -72.9887629}"
13,3313,Canterbury School,"101 Aspetuck Ave, New Milford, CT 06776, USA","{'lat': 41.58887319999999, 'lng': -73.41355709999999}"
14,3314,Wooster School,"91 Miry Brook Rd, Danbury, CT 06817, USA","{'lat': 41.3703666, 'lng': -73.49505719999999}"
15,3315,The Forman School,"Litchfield, CT, USA","{'lat': 41.7472642, 'lng': -73.1887165}"
16,3316,Loomis Chaffee School,"4 Batchelder Rd, Windsor, CT 06095, USA","{'lat': 41.8424295, 'lng': -72.6402952}"
17,3317,Salisbury School,"251 Canaan Rd, Salisbury, CT 06068, USA","{'lat': 41.9964026, 'lng': -73.3936155}"
18,3318,Manchester High School,"41 Center St, Manchester, CT 06040, USA","{'lat': 41.77581869999999, 'lng': -72.5227549}"
19,3319,Fields Memorial School,"Bozrah, CT 06334, USA","{'lat': 41.5490833, 'lng': -72.1771541}"
20,3320,Manchester High School,"weiss center, 479 Main St, Manchester, CT 06040, USA","{'lat': 41.7764507, 'lng': -72.5209589}"
21,3321,Manchester High School,"41 Center St, Manchester, CT 06040, USA","{'lat': 41.77581869999999, 'lng': -72.5227549}"
22,3322,Manchester High School,"586 Main St, Manchester, CT 06040, USA","{'lat': 41.7745886, 'lng': -72.52210029999999}"
23,3323,Manchester High School,"41 Center St #1, Manchester, CT 06040, USA","{'lat': 41.77581869999999, 'lng': -72.5227549}"
24,3324,Manchester High School,"57 Hollister St, Manchester, CT 06042, USA","{'lat': 41.7864323, 'lng': -72.52102169999999}"
25,3325,Regional School District 1 Of,"Kent, CT 06757, USA","{'lat': 41.745084, 'lng': -73.45337789999999}"
26,3326,Town Of North Branford,"1388 Middletown Ave, Northford, CT 06472, USA","{'lat': 41.3923022, 'lng': -72.794763}"
27,3327,Shelton Intermediate School,"124 Meadow St, Shelton, CT 06484, USA","{'lat': 41.3210807, 'lng': -73.1170174}"
28,3328,EAST HAVEN SCHOOL DISTRICT,"35 Wheelbarrow Ln, East Haven, CT 06513, USA","{'lat': 41.3286689, 'lng': -72.8323039}"
29,3329,Marianapolis Preparatory School,"26 Chase Rd #304, Thompson, CT 06277, USA","{'lat': 41.9584585, 'lng': -71.8640673}"
30,3330,King & Low Heywood Thomas School,"1450 Newfield Ave, Stamford, CT 06905, USA","{'lat': 41.1092739, 'lng': -73.53205439999999}"
31,3331,International Boys' Schools Coalition,"500 Old Farms Rd, Avon, CT 06001, USA","{'lat': 41.7764586, 'lng': -72.837991}"
32,3332,SSATB,"4 Batchelder Rd, Windsor, CT 06095, USA","{'lat': 41.8424295, 'lng': -72.6402952}"
33,3333,John E. Rogers African American Cultural Center Inc,"5 Huckleberry Ln, Bloomfield, CT 06002, USA","{'lat': 41.8279168, 'lng': -72.7266391}"
34,3334,Minority Student Achievement Network,"601 Matianuck Ave, Windsor, CT 06095, USA","{'lat': 41.8239181, 'lng': -72.6734355}"
35,3335,LymeOld Lyme Public Schools,"4 Davis Rd W, Old Lyme, CT 06371, USA","{'lat': 41.3248131, 'lng': -72.3362181}"
36,3336,Connecticut Association of Alternative Schools And Programs,"720 Pleasant St, Southington, CT 06489, USA","{'lat': 41.61678149999999, 'lng': -72.8618692}"
37,3337,Farmington River Anglers Association,"34 Simsbury Rd, Avon, CT 06001, USA","{'lat': 41.8119295, 'lng': -72.8297345}"
