,_id,Name,Address,Geocodes
0,6000,Hillsborough County Pub...,"11505 Country Hollow Dr, Tampa, FL 33635, USA","{'lat': 28.0381523, 'lng': -82.6132769}"
1,6001,Keiser University,"Nineteen Hundred Building, 1900 W Commercial Blvd #180, Fort Lauderdale, FL 33309, USA","{'lat': 26.1874469, 'lng': -80.1681502}"
2,6002,District School Board o...,"11646 Town Center Rd, New Port Richey, FL 34654, USA","{'lat': 28.2664448, 'lng': -82.6216793}"
3,6003,Lakeland Montessori Sch...,"837 E Parker St, Lakeland, FL 33801, USA","{'lat': 28.0510824, 'lng': -81.94781290000002}"
4,6004,Orange County Public Sc...,"1220 Maury Rd, Orlando, FL 32804, USA","{'lat': 28.58245, 'lng': -81.3968905}"
5,6005,Orange County Public Sc...,"1145 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5611617, 'lng': -81.36018419999999}"
6,6006,Broward County Public S...,"1700 Monroe St, Hollywood, FL 33020, USA","{'lat': 26.0078592, 'lng': -80.14096599999999}"
7,6007,Miami-Dade County Publi...,"7977 W 12th Ave, Hialeah, FL 33014, USA","{'lat': 25.8953418, 'lng': -80.3063379}"
8,6008,Miami-Dade County Publi...,"11001 SW 76th St, Miami, FL 33173, USA","{'lat': 25.6986404, 'lng': -80.37345510000002}"
9,6009,Hillsborough County Pub...,"13910 Nine Eagles Dr, Tampa, FL 33626, USA","{'lat': 28.0725814, 'lng': -82.6323925}"
10,6010,Sarasota County Public ...,"601 Honore Ave, Sarasota, FL 34232, USA","{'lat': 27.3312367, 'lng': -82.4627519}"
11,6011,Polk County Public Scho...,"320 Lemon St, Auburndale, FL 33823, USA","{'lat': 28.0597435, 'lng': -81.78777149999999}"
12,6012,Orange County Public Sc...,"629 Martin St, Apopka, FL 32712, USA","{'lat': 28.6925461, 'lng': -81.523416}"
13,6013,Orange County Public Sc...,"1148 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5610857, 'lng': -81.36077370000001}"
14,6014,Orange County Public Sc...,"1285 Maury Rd, Orlando, FL 32804, USA","{'lat': 28.5821309, 'lng': -81.3983734}"
15,6015,Marion County Public Sc...,"513 SE 8th St, Ocala, FL 34471, USA","{'lat': 29.1806598, 'lng': -82.13238899999999}"
16,6016,Orange County Public Sc...,"597 Martin St, Apopka, FL 32712, USA","{'lat': 28.6921702, 'lng': -81.52157160000002}"
17,6017,Hillsborough County Pub...,"1115 Telfair Rd, Brandon, FL 33510, USA","{'lat': 27.9564314, 'lng': -82.3006171}"
18,6018,Miami-Dade County Publi...,"16969 SW 294th St, Homestead, FL 33033, USA","{'lat': 25.4937545, 'lng': -80.4590441}"
19,6019,Broward County Public S...,"900 SW 8th St, Hallandale Beach, FL 33009, USA","{'lat': 25.977171, 'lng': -80.1615227}"
20,6020,Miami-Dade County Publi...,"1075 NE 167th St, North Miami Beach, FL 33162, USA","{'lat': 25.9298418, 'lng': -80.1780905}"
21,6021,First United Methodist ...,"115 E Howry Ave, DeLand, FL 32724, USA","{'lat': 29.0264947, 'lng': -81.30310519999999}"
22,6022,Miami-Dade County Publi...,"500 NW 67th St, Miami, FL 33150, USA","{'lat': 25.8357174, 'lng': -80.2048537}"
23,6023,Lee County School Distr...,"2300 Santa Barbara Blvd, Cape Coral, FL 33991, USA","{'lat': 26.6092345, 'lng': -81.9749799}"
24,6024,Orange County Public Sc...,"615 Martin St, Apopka, FL 32712, USA","{'lat': 28.6924345, 'lng': -81.5232743}"
25,6025,Orange County Public Sc...,"1135 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5611379, 'lng': -81.3601837}"
26,6026,Orange County Public Sc...,"628 Martin St, Apopka, FL 32712, USA","{'lat': 28.6925461, 'lng': -81.523416}"
27,6027,Polk County Public Scho...,"1201 Enchanted Dr, Lakeland, FL 33801, USA","{'lat': 28.0595669, 'lng': -81.9013817}"
28,6028,Seminole County Public ...,"141 Academy Ave, Oviedo, FL 32765, USA","{'lat': 28.6684074, 'lng': -81.1927941}"
29,6029,Orange County Public Sc...,"1144 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5610701, 'lng': -81.3607734}"
30,6030,Orange County Public Sc...,"3116 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5800582, 'lng': -81.3899402}"
31,6031,Sarasota County Public ...,"3450 Gocio Rd Extention, Sarasota, FL 34235, USA","{'lat': 27.3624107, 'lng': -82.4993015}"
32,6032,Polk County Public Scho...,"2820 K-Ville Ave, Auburndale, FL 33823, USA","{'lat': 28.0359399, 'lng': -81.8261934}"
33,6033,Broward County Public S...,"500 NW 45th Ave, Coconut Creek, FL 33066, USA","{'lat': 26.2373378, 'lng': -80.1830602}"
34,6034,Polk County Public Scho...,"1225 E Lime St, Lakeland, FL 33801, USA","{'lat': 28.0397378, 'lng': -81.93950099999999}"
35,6035,Orange County Public Sc...,"3118 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5800749, 'lng': -81.3899405}"
36,6036,Orange County Public Sc...,"3171 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5802373, 'lng': -81.3892776}"
37,6037,Broward County Public S...,"1250 S Nob Hill Rd, Davie, FL 33324, USA","{'lat': 26.1045476, 'lng': -80.27844}"
38,6038,Orange County Public Sc...,"1249 Maury Rd, Orlando, FL 32804, USA","{'lat': 28.583226, 'lng': -81.3978711}"
39,6039,Hillsborough County Pub...,"5410 N 20th St, Tampa, FL 33610, USA","{'lat': 27.9967762, 'lng': -82.43718419999999}"
40,6040,Orange County Public Sc...,"1181 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5612472, 'lng': -81.36018589999999}"
41,6041,Polk County Public Scho...,"3315 Kathleen Rd, Lakeland, FL 33810, USA","{'lat': 28.0851028, 'lng': -81.9951061}"
42,6042,Orange County Public Sc...,"12550 Marsfield Ave, Orlando, FL 32837, USA","{'lat': 28.3839948, 'lng': -81.4236918}"
43,6043,Seminole County Public ...,"1501 E 8th St, Sanford, FL 32771, USA","{'lat': 28.8035827, 'lng': -81.2526596}"
44,6044,Brevard Public Schools,"1449 Croton Rd, Melbourne, FL 32935, USA","{'lat': 28.1305579, 'lng': -80.65378280000002}"
45,6045,Gulf Coast Christian Sc...,"6355 38th Ave N, St. Petersburg, FL 33710, USA","{'lat': 27.8076747, 'lng': -82.7229017}"
46,6046,Hillsborough County Pub...,"4815 Keene Rd, Plant City, FL 33565, USA","{'lat': 28.0743542, 'lng': -82.1561289}"
47,6047,Orange County Public Sc...,"656 Martin St, Apopka, FL 32712, USA","{'lat': 28.6925461, 'lng': -81.523416}"
48,6048,Madison County School D...,"7731 US-90, Lee, FL 32059, USA","{'lat': 30.424309, 'lng': -83.30559699999999}"
49,6049,Miami-Dade County Publi...,"1200 NW 6th Ave, Miami, FL 33136, USA","{'lat': 25.7864119, 'lng': -80.2049409}"
50,6050,Orange County Public Sc...,"1225 Maury Rd, Orlando, FL 32804, USA","{'lat': 28.5836568, 'lng': -81.3966974}"
51,6051,Marion County Public Sc...,"10351 SE Maricamp Rd, Ocala, FL 34472, USA","{'lat': 29.078562, 'lng': -81.977758}"
52,6052,Orange County Public Sc...,"1254 Maury Rd, Orlando, FL 32804, USA","{'lat': 28.5823251, 'lng': -81.3978951}"
53,6053,Sarasota County Public ...,"700 Center Rd, Venice, FL 34285, USA","{'lat': 27.0772313, 'lng': -82.3989661}"
54,6054,Broward County Public S...,"2450 Banks Rd, Margate, FL 33063, USA","{'lat': 26.2582316, 'lng': -80.1939032}"
55,6055,Sarasota County Public ...,"2901 W Tamiami Cir, Sarasota, FL 34234, USA","{'lat': 27.3627657, 'lng': -82.5510891}"
56,6056,Orange County Public Sc...,"618 Martin St, Apopka, FL 32712, USA","{'lat': 28.6919621, 'lng': -81.5238858}"
57,6057,Broward County Public S...,"6501 Turtle Run Blvd, Coral Springs, FL 33067, USA","{'lat': 26.285421, 'lng': -80.21435389999999}"
58,6058,Dade County Public Acco...,"15000 Bay Vista, North Miami, FL 33181, USA","{'lat': 25.9138521, 'lng': -80.1460857}"
59,6059,Christian Heritage Acad...,"3930 University Blvd S, Jacksonville, FL 32216, USA","{'lat': 30.28459639999999, 'lng': -81.60302089999999}"
60,6060,Polk County Public Scho...,"Highland City, FL 33846, USA","{'lat': 27.9610228, 'lng': -81.8804802}"
61,6061,Orange County Public Sc...,"576 Martin St, Apopka, FL 32712, USA","{'lat': 28.6916913, 'lng': -81.52352859999999}"
62,6062,Orange County Public Sc...,"3114 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5800415, 'lng': -81.38994}"
63,6063,Hillsborough County Pub...,"13131 Lynn Rd, Tampa, FL 33624, USA","{'lat': 28.0682385, 'lng': -82.5407587}"
64,6064,The School District of ...,"1160 Avenue N, West Palm Beach, FL 33404, USA","{'lat': 26.7725949, 'lng': -80.0731268}"
65,6065,The School District of ...,"1310 N 65th Ave, Pensacola, FL 32506, USA","{'lat': 30.4268169, 'lng': -87.2996598}"
66,6066,Orange County Public Sc...,"613 Martin St, Apopka, FL 32712, USA","{'lat': 28.6924345, 'lng': -81.5232743}"
67,6067,Orange County Public Sc...,"2401 Wellington Blvd, Winter Park, FL 32789, USA","{'lat': 28.5955221, 'lng': -81.38256899999999}"
68,6068,Miami-Dade County Publi...,"10501 SW 122nd Ave, Miami, FL 33186, USA","{'lat': 25.6695792, 'lng': -80.39089469999999}"
69,6069,The School District of ...,"201 Hancock Ln, Pensacola, FL 32503, USA","{'lat': 30.48265199999999, 'lng': -87.2399329}"
70,6070,Greenfield School,"11155 SW 112th Ave, Miami, FL 33189, USA","{'lat': 25.6658887, 'lng': -80.37351559999999}"
71,6071,District School Board o...,"10055 Sweet Bay Ct, New Port Richey, FL 34654, USA","{'lat': 28.270796, 'lng': -82.64868179999999}"
72,6072,Hillsborough Community ...,"YADM, 2112 N 15th St, Tampa, FL 33605, USA","{'lat': 27.9630091, 'lng': -82.4432839}"
73,6073,Lee County School Distr...,"2523 Market St, Fort Myers, FL 33901, USA","{'lat': 26.6370421, 'lng': -81.8614279}"
74,6074,Orange County Public Sc...,"1123 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5611094, 'lng': -81.3601831}"
75,6075,Orange County Public Sc...,"562 Martin St, Apopka, FL 32712, USA","{'lat': 28.6916163, 'lng': -81.5234286}"
76,6076,Orange County Public Sc...,"577 Martin St, Apopka, FL 32712, USA","{'lat': 28.691242, 'lng': -81.5214996}"
77,6077,Orange County Public Sc...,"1351 Windermere Rd, Winter Garden, FL 34787, USA","{'lat': 28.5258399, 'lng': -81.5574127}"
78,6078,Hillsborough County Pub...,"241 Trumbo Rd, Key West, FL 33040, USA","{'lat': 24.564155, 'lng': -81.7980838}"
79,6079,Orange County Public Sc...,"3144 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5801436, 'lng': -81.38994129999999}"
80,6080,Sugarloaf Elementary Sc...,"5855 College Rd, Key West, FL 33040, USA","{'lat': 24.5816758, 'lng': -81.7455425}"
81,6081,Orange County Public Sc...,"1175 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.561233, 'lng': -81.3601856}"
82,6082,Broward County Public S...,"300 SE 2nd Ave, Dania Beach, FL 33004, USA","{'lat': 26.046791, 'lng': -80.142335}"
83,6083,Miami-Dade County Publi...,"14250 Boggs Dr, Miami, FL 33176, USA","{'lat': 25.6364808, 'lng': -80.3753906}"
84,6084,Duval County Public Sch...,"11780 Alden Rd, Jacksonville, FL 32246, USA","{'lat': 30.2980577, 'lng': -81.5091748}"
85,6085,Lee County School Distr...,"2401 Euclid Ave, Fort Myers, FL 33901, USA","{'lat': 26.6327961, 'lng': -81.87480579999999}"
86,6086,Collier County School D...,"3215 Magnolia Pond Dr, Naples, FL 34116, USA","{'lat': 26.1686988, 'lng': -81.6929095}"
87,6087,Orange County Public Sc...,"1150 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5610935, 'lng': -81.36077379999999}"
88,6088,Brevard Public Schools,"3085 Knox McRae Dr, Titusville, FL 32780, USA","{'lat': 28.5804225, 'lng': -80.84357399999999}"
89,6089,Broward County Public S...,"5900 SW 160th Ave, Southwest Ranches, FL 33331, USA","{'lat': 26.045226, 'lng': -80.3599925}"
90,6090,The School District of ...,"1765 Benoist Farms Rd, West Palm Beach, FL 33411, USA","{'lat': 26.7061561, 'lng': -80.17157279999999}"
91,6091,Orange County Public Sc...,"1153 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5611807, 'lng': -81.3601846}"
92,6092,Orange County Public Sc...,"9150 S Apopka Vineland Rd, Orlando, FL 32836, USA","{'lat': 28.4343524, 'lng': -81.5058063}"
93,6093,CHARLOTTE School Distri...,"22450 Hancock Ave, Punta Gorda, FL 33980, USA","{'lat': 26.9689917, 'lng': -82.0740792}"
94,6094,Orange County Public Sc...,"624 Martin St, Apopka, FL 32712, USA","{'lat': 28.6925461, 'lng': -81.523416}"
95,6095,Hillsborough County Pub...,"2600 W Humphrey St, Tampa, FL 33614, USA","{'lat': 28.0297921, 'lng': -82.4862838}"
96,6096,American Heritage Schoo...,"6200 Linton Blvd, Delray Beach, FL 33484, USA","{'lat': 26.4371916, 'lng': -80.1403328}"
97,6097,Miami-Dade County Publi...,"3101 NW 191st St, Miami Gardens, FL 33056, USA","{'lat': 25.9485591, 'lng': -80.2529867}"
98,6098,Orange County Public Sc...,"1226 Maury Rd, Orlando, FL 32804, USA","{'lat': 28.582479, 'lng': -81.3970033}"
99,6099,Orange County Public Sc...,"3172 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5802093, 'lng': -81.38994199999999}"
100,6100,The School District of ...,"5350 San Miguel Rd, Kissimmee, FL 34758, USA","{'lat': 28.1695183, 'lng': -81.4983845}"
101,6101,Orange County Public Sc...,"1151 N Fern Creek Ave, Orlando, FL 32803, USA","{'lat': 28.5611759, 'lng': -81.3601845}"
102,6102,Orange County Public Sc...,"3184 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5802406, 'lng': -81.3895783}"
