,_id,Name,Address,Geocodes
0,6300,Miami-Dade County Publi...,"18484 NW 48th Pl, Opa-locka, FL 33055, USA","{'lat': 25.941118, 'lng': -80.2824804}"
1,6301,Miami-Dade County Publi...,"105 Minorca Ave, Coral Gables, FL 33134, USA","{'lat': 25.7542298, 'lng': -80.2576145}"
2,6302,Baker County School Dis...,"1 Wildcat Dr, Glen St Mary, FL 32040, USA","{'lat': 30.2815387, 'lng': -82.15408459999999}"
3,6303,Hillsborough County Pub...,"2618 Corrine St, Tampa, FL 33605, USA","{'lat': 27.9489073, 'lng': -82.4291042}"
4,6304,Hillsborough County Pub...,"4329 Culbreath Rd, Valrico, FL 33596, USA","{'lat': 27.8739935, 'lng': -82.24080239999999}"
5,6305,Orange County Public Sc...,"3136 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.5801249, 'lng': -81.389941}"
6,6306,Hillsborough County Pub...,"4410 W Main St, Tampa, FL 33607, USA","{'lat': 27.9574849, 'lng': -82.519387}"
7,6307,Hillsborough County Pub...,"5101 N 40th St, Tampa, FL 33610, USA","{'lat': 27.9930669, 'lng': -82.4138625}"
8,6308,Orange County Public Sc...,"3123 Edgewater Dr, Orlando, FL 32804, USA","{'lat': 28.580201, 'lng': -81.38923899999999}"
9,6309,District School Board o...,"37350 Florida Ave, Dade City, FL 33525, USA","{'lat': 28.3594808, 'lng': -82.1986579}"
10,6310,BELL SHOALS BAPTIST ACA...,"2102 Bell Shoals Rd, Brandon, FL 33511, USA","{'lat': 27.9107946, 'lng': -82.27122969999999}"
11,6311,Miami-Dade County Publi...,"1500 Biscayne Blvd # 234, Miami, FL 33132, USA","{'lat': 25.7897554, 'lng': -80.1899083}"
12,6312,Collier County School D...,"401 N 9th St, Immokalee, FL 34142, USA","{'lat': 26.4240584, 'lng': -81.4268682}"
13,6313,Hillsborough County Pub...,"1721 N Macdill Ave, Tampa, FL 33607, USA","{'lat': 27.9580653, 'lng': -82.4927647}"
14,6314,Carrollton School of Sa...,"3747 Main Hwy, Miami, FL 33133, USA","{'lat': 25.7211517, 'lng': -80.24783599999999}"
15,6315,Christ the King Catholi...,"6822 Larkin Rd, Jacksonville, FL 32211, USA","{'lat': 30.3248553, 'lng': -81.5860599}"
