,_id,Name,Address,Geocodes
0,7700,Liberty County,"3216 E Oglethorpe Hwy, Hinesville, GA 31313, USA","{'lat': 31.8485875, 'lng': -81.5452443}"
1,7701,Georgia Department of E...,"1116 E 24th Ave, Cordele, GA 31015, USA","{'lat': 31.9538099, 'lng': -83.7634349}"
2,7702,Denver Public Schools,"520 Mt Pleasant Rd, Thomson, GA 30824, USA","{'lat': 33.4545806, 'lng': -82.514201}"
3,7703,Lamar County Middle Sch...,"100 Burnette Rd, Barnesville, GA 30204, USA","{'lat': 33.0456685, 'lng': -84.1818948}"
4,7704,Habersham County,"6539 GA-115, Clarkesville, GA 30523, USA","{'lat': 34.6161105, 'lng': -83.5362214}"
5,7705,Franklin Board of Educa...,"245 Booker Ave, Fayetteville, GA 30215, USA","{'lat': 33.4477154, 'lng': -84.4439936}"
6,7706,Atlanta Public School S...,"149 Trinity Ave SW, Atlanta, GA 30303, USA","{'lat': 33.7491939, 'lng': -84.39271749999999}"
7,7707,Greenfield Hebrew Acade...,"5200 Northland Dr, Atlanta, GA 30342, USA","{'lat': 33.8958859, 'lng': -84.3664859}"
8,7708,Dawson County,"332 GA-9, Dawsonville, GA 30534, USA","{'lat': 34.4203208, 'lng': -84.1127396}"
9,7709,Brookwood School,"301 Cardinal Ridge Rd, Thomasville, GA 31792, USA","{'lat': 30.8135133, 'lng': -84.01496600000002}"
10,7710,Georgia Institute of Te...,"1616 Piedmont Ave NE G6, Atlanta, GA 30324, USA","{'lat': 33.7995964, 'lng': -84.3695865}"
11,7711,Floyd County School Dis...,"528 Burnett Ferry Rd SW, Rome, GA 30165, USA","{'lat': 34.2605167, 'lng': -85.23440099999999}"
12,7712,Tift County Public Scho...,"1464 Carpenter Rd S, Tifton, GA 31793, USA","{'lat': 31.4639059, 'lng': -83.5474777}"
13,7713,Atlanta Public School S...,"163 Trinity Ave SW, Atlanta, GA 30303, USA","{'lat': 33.7495172, 'lng': -84.3933035}"
14,7714,Cobb County School Dist...,"Smyrna, GA 30081, USA","{'lat': 33.8799756, 'lng': -84.5099751}"
15,7715,Cobb County School Dist...,"50 Veterans Memorial Hwy SE, Mableton, GA 30126, USA","{'lat': 33.8135786, 'lng': -84.5537736}"
16,7716,Houston County Schools,"Perry, GA 31069, USA","{'lat': 32.4498466, 'lng': -83.7411631}"
17,7717,City Park Intermediate ...,"Dalton, GA 30722, USA","{'lat': 34.77, 'lng': -84.97}"
