,_id,Name,Address,Geocodes
0,8000,Atlanta International School,"2890 N Fulton Dr NE, Atlanta, GA 30305, USA","{'lat': 33.8336325, 'lng': -84.37843579999999}"
1,8001,"Harris County, Texas","184 N College St, Hamilton, GA 31811, USA","{'lat': 32.7583211, 'lng': -84.8750132}"
2,8002,Hall County,"711 Green St Ste 100 HALL, Gainesville, GA 30501, USA","{'lat': 34.3086211, 'lng': -83.82753869999999}"
3,8003,Girl Scouts Headquarters,"1233 Cowan Rd, Griffin, GA 30223, USA","{'lat': 33.279735, 'lng': -84.30843899999999}"
4,8004,Floyd County School District,"471 Floyd Springs Rd NE, Armuchee, GA 30105, USA","{'lat': 34.3869344, 'lng': -85.1669735}"
5,8005,Catoosa County,"3938 Boynton Dr, Ringgold, GA 30736, USA","{'lat': 34.9246781, 'lng': -85.1854372}"
6,8006,Houston County Schools,"450 N Houston Lake Blvd, Centerville, GA 31028, USA","{'lat': 32.629238, 'lng': -83.6880989}"
7,8007,Burke County Public Schools,"100 Olympic Dr, Waynesboro, GA 30830, USA","{'lat': 33.0795354, 'lng': -81.99171869999999}"
8,8008,Henry County Schools,"354 N Ola Rd, McDonough, GA 30252, USA","{'lat': 33.445929, 'lng': -84.0403989}"
9,8009,Forsyth County Schools,"1120 Dahlonega Hwy, Cumming, GA 30040, USA","{'lat': 34.2324789, 'lng': -84.1235214}"
10,8010,Troup County School System,"516 N Greenwood St, LaGrange, GA 30240, USA","{'lat': 33.0451581, 'lng': -85.0336377}"
11,8011,Cobb County School District,"4803 Floyd Rd SW, Mableton, GA 30126, USA","{'lat': 33.8382442, 'lng': -84.57486990000001}"
12,8012,Gwinnett County Public Schools,"3946 S Bogan Rd, Buford, GA 30519, USA","{'lat': 34.0971597, 'lng': -83.979552}"
13,8013,Gwinnett County Public Schools,"4994 Lawrenceville Hwy, Lilburn, GA 30047, USA","{'lat': 33.8867901, 'lng': -84.1438743}"
14,8014,Gwinnett County Public Schools,"437 Old Peachtree Rd NW, Suwanee, GA 30024, USA","{'lat': 34.0143978, 'lng': -84.0555025}"
