,_id,Name,Address,Geocodes
0,8400,Savannah-Chatham County Public School System,"9116 Whitefield Ave, Savannah, GA 31406, USA","{'lat': 31.97757989999999, 'lng': -81.1047814}"
1,8401,Coweta County School System,"41 Evans Dr, Newnan, GA 30263, USA","{'lat': 33.3901254, 'lng': -84.8192347}"
2,8402,Cherokee County,"Woodstock, GA 30188, USA","{'lat': 34.1280759, 'lng': -84.44877199999999}"
3,8403,Pickens County School District,"339 W Church St, Jasper, GA 30143, USA","{'lat': 34.4646493, 'lng': -84.4360263}"
4,8404,Floyd County School District,"Cave Spring, GA 30124, USA","{'lat': 34.1075975, 'lng': -85.33634339999999}"
5,8405,Greene County Board of Education,"101 3rd St, Greensboro, GA 30642, USA","{'lat': 33.5666953, 'lng': -83.18244279999999}"
6,8406,Dekalb County School System,"157 Heaton Park Dr, Atlanta, GA 30307, USA","{'lat': 33.7780841, 'lng': -84.3158053}"
7,8407,Appling County School System,"249 Blackshear Hwy SE, Baxley, GA 31513, USA","{'lat': 31.7615597, 'lng': -82.3528991}"
8,8408,Georgia Department of Education,"200 N Pinetree Blvd, Thomasville, GA 31792, USA","{'lat': 30.8591615, 'lng': -83.9516029}"
9,8409,Hart County School District,"284 Campbell Dr, Hartwell, GA 30643, USA","{'lat': 34.3496154, 'lng': -82.9247345}"
10,8410,Barrow County School System,"622 Freeman Brock Rd, Auburn, GA 30011, USA","{'lat': 34.0380012, 'lng': -83.8092619}"
11,8411,Fort Valley State University,"1005 State University Dr, Fort Valley, GA 31030, USA","{'lat': 32.53709070000001, 'lng': -83.89823270000001}"
12,8412,Greenbrier Middle School,"5120 Riverwood Pkwy, Evans, GA 30809, USA","{'lat': 33.5883299, 'lng': -82.1871678}"
13,8413,Muscogee County School District,"7601 Schomburg Rd, Columbus, GA 31909, USA","{'lat': 32.557632, 'lng': -84.90904900000001}"
14,8414,Clayton County Public Schools,"5452 Phillips Dr, Forest Park, GA 30297, USA","{'lat': 33.6061738, 'lng': -84.3537942}"
15,8415,Kingsley Elementary School,"2051 Brendon Dr, Dunwoody, GA 30338, USA","{'lat': 33.9482503, 'lng': -84.29724379999999}"
16,8416,Baldwin County Public Schools,"220 N ABC N, Milledgeville, GA 31061, USA","{'lat': 33.090509, 'lng': -83.264271}"
17,8417,Cobb County School District,"Powder Springs, GA, USA","{'lat': 33.8595491, 'lng': -84.683824}"
