,_id,Name,Address,Geocodes
0,10700,Ackley Elementary School,"511 State St, Ackley, IA 50601, USA","{'lat': 42.552094, 'lng': -93.0508516}"
1,10701,Snake River Middle School,"68 Veljean Blvd, Blackfoot, ID 83221, USA","{'lat': 43.1876196, 'lng': -112.5335558}"
2,10702,"Anser of Idaho, Inc.","202 E 42nd St, Garden City, ID 83714, USA","{'lat': 43.6336258, 'lng': -116.248949}"
3,10703,Glenns Ferry Elementary School,"800 US-30, Imperial, PA 15126, USA","{'lat': 40.4661573, 'lng': -80.27344339999999}"
4,10704,Kimberly School District 414,"311 Main St S, Kimberly, ID 83341, USA","{'lat': 42.5312411, 'lng': -114.3662922}"
5,10705,Blaine County School District,"20 Panther Ln, Carey, ID 83320, USA","{'lat': 43.3137389, 'lng': -113.9431188}"
6,10706,Blaine County School District,"118 Bullion St, Hailey, ID 83333, USA","{'lat': 43.5184325, 'lng': -114.3173008}"
7,10707,Emmett High School,"601 E 3rd St, Emmett, ID 83617, USA","{'lat': 43.87252590000001, 'lng': -116.4924156}"
8,10708,Caldwell School District,"3401 S Indiana Ave, Caldwell, ID 83605, USA","{'lat': 43.63919749999999, 'lng': -116.6689829}"
9,10709,Blaine County School District,"118 Bullion St, Hailey, ID 83333, USA","{'lat': 43.5184325, 'lng': -114.3173008}"
10,10710,Boise School District,"8169 W Victory Rd, Boise, ID 83709, USA","{'lat': 43.57458159999999, 'lng': -116.2833118}"
11,10711,Fremont County Joint District: South Fremont Jr High,"945 W 1st N, St Anthony, ID 83445, USA","{'lat': 43.9676817, 'lng': -111.6949488}"
12,10712,Meridian Charter High School,"3800 N Locust Grove Rd, Meridian, ID 83646, USA","{'lat': 43.6391189, 'lng': -116.3733244}"
13,10713,Parma School District 137,"805 E McConnell Ave, Parma, ID 83660, USA","{'lat': 43.7898818, 'lng': -116.9347224}"
14,10714,Caldwell School District,"1101 Cleveland Blvd, Caldwell, ID 83605, USA","{'lat': 43.6621877, 'lng': -116.6860911}"
15,10715,McCall-Donnelly School District,"120 Idaho St, McCall, ID 83638, USA","{'lat': 44.9075255, 'lng': -116.1047977}"
16,10716,Lakeland District: Lakeland Senior High School,"Kootenai St, Rathdrum, ID 83858, USA","{'lat': 47.814999, 'lng': -116.8939082}"
