,_id,Name,Address,Geocodes
0,11400,Maywood-Melrose Park-Broadview S.D. #89,"1204 Van Buren St, Maywood, IL 60153, USA","{'lat': 41.8730677, 'lng': -87.84764700000001}"
1,11401,Pittsfield High School,"201 E Higbee St, Pittsfield, IL 62363, USA","{'lat': 39.6001538, 'lng': -90.8045566}"
2,11402,Pope John XXIII School,"1120 Washington St, Evanston, IL 60202, USA","{'lat': 42.0326049, 'lng': -87.6885772}"
3,11403,Mid-State Special Education,"116 S Main St, Taylorville, IL 62568, USA","{'lat': 39.5486675, 'lng': -89.29471009999999}"
4,11404,Fairfield Community High School,"300 W King St, Fairfield, IL 62837, USA","{'lat': 38.3744911, 'lng': -88.36354349999999}"
5,11405,Summit Hill School District,"19651 Beechnut Dr, Mokena, IL 60448, USA","{'lat': 41.5328041, 'lng': -87.8467644}"
6,11406,Richland Grade School District 88a,"1919 Caton Farm Rd, Crest Hill, IL 60403, USA","{'lat': 41.5660769, 'lng': -88.1301548}"
7,11407,KEWANEE High School,"1101 E 3rd St, Kewanee, IL 61443, USA","{'lat': 41.2456841, 'lng': -89.9103696}"
8,11408,Plainfield Community Consolidated School District 202,"15732 S Howard St, Plainfield, IL 60544, USA","{'lat': 41.5968655, 'lng': -88.1936075}"
9,11409,J.L. Buford Intermediate Education Center,"500 Harrison St, Mt Vernon, IL 62864, USA","{'lat': 38.3202599, 'lng': -88.8971806}"
10,11410,Waukegan Public Schools,"1201 N Sheridan Rd, Waukegan, IL 60085, USA","{'lat': 42.3768209, 'lng': -87.82956999999999}"
11,11411,Bethalto School District 8,"309 Albers Pl, Bethalto, IL 62010, USA","{'lat': 38.9096198, 'lng': -90.05212709999999}"
12,11412,Benson Roanoke Community Unit,"131 Reiter St, Benson, IL 61516, USA","{'lat': 40.8492217, 'lng': -89.12380929999999}"
13,11413,Ottawa Township High School,"812 Catherine St, Ottawa, IL 61350, USA","{'lat': 41.331991, 'lng': -88.8379977}"
14,11414,Prophetstown Elementary School,"1001 St Mary's St, Sterling, IL 61081, USA","{'lat': 41.8078844, 'lng': -89.71022219999999}"
15,11415,Virden Schools Foundation,"231 W Fortune St, Virden, IL 62690, USA","{'lat': 39.5071543, 'lng': -89.7706237}"
16,11416,Aurora Central Catholic High School,"1255 N Edgelawn Dr, Aurora, IL 60506, USA","{'lat': 41.7826939, 'lng': -88.3583853}"
