,_id,Name,Address,Geocodes
0,13300,Board of Education of T...,"3000 S King Dr, Chicago, IL 60616, USA","{'lat': 41.84005, 'lng': -87.61841160000002}"
1,13301,Auburn Community Unit S...,"303 E Kenney St, Divernon, IL 62530, USA","{'lat': 39.5646565, 'lng': -89.6511328}"
2,13302,Robinson Community Unit...,"444 S Locust St, Flora, IL 62839, USA","{'lat': 38.6649379, 'lng': -88.4834115}"
3,13303,Betsy Ross Elementary S...,"925 Beloit Ave, Forest Park, IL 60130, USA","{'lat': 41.86979940000001, 'lng': -87.8120618}"
4,13304,Kipling Elementary Scho...,"517 Deerfield Rd, Deerfield, IL 60015, USA","{'lat': 42.1669106, 'lng': -87.8402789}"
5,13305,Community Consolidated ...,"6601 W 171st St, Tinley Park, IL 60477, USA","{'lat': 41.5805523, 'lng': -87.78297979999999}"
6,13306,Bismarck Jr High School,"2827 Covert Rd, Glenview, IL 60025, USA","{'lat': 42.064087, 'lng': -87.8286871}"
7,13307,Darien Public Schools D...,"7414 S Cass Ave, Darien, IL 60561, USA","{'lat': 41.7528951, 'lng': -87.9750534}"
8,13308,Hempstead High School,"28855 N Fremont Center Rd, Mundelein, IL 60060, USA","{'lat': 42.28219139999999, 'lng': -88.0700006}"
9,13309,Muffley Elementary Scho...,"2440 N Summit Ave, Decatur, IL 62526, USA","{'lat': 39.8683891, 'lng': -88.9868183}"
10,13310,Lincoln School,"410 157th St, Calumet City, IL 60409, USA","{'lat': 41.6108739, 'lng': -87.53572199999999}"
11,13311,Laverna Evans Elementar...,"802 Dartmouth Dr, O'Fallon, IL 62269, USA","{'lat': 38.5780225, 'lng': -89.9009344}"
12,13312,Brimfield High School,"323 E Clinton St, Brimfield, IL 61517, USA","{'lat': 40.8425562, 'lng': -89.8804767}"
13,13313,Springfield Public Scho...,"2500 S College St, Springfield, IL 62704, USA","{'lat': 39.77214, 'lng': -89.6564666}"
14,13314,Duluth Public School Di...,"408 S Belleville St, Freeburg, IL 62243, USA","{'lat': 38.4198779, 'lng': -89.910721}"
15,13315,Board of Education of T...,"3730 N Oakley Ave, Chicago, IL 60618, USA","{'lat': 41.9493403, 'lng': -87.6866953}"
16,13316,Moraga School District,"1335 Franklin Grove Rd, Dixon, IL 61021, USA","{'lat': 41.8388588, 'lng': -89.4590765}"
17,13317,Moraga School District,"106 E Main St, Albion, IL 62806, USA","{'lat': 38.3772067, 'lng': -88.0561348}"
18,13318,Carmel High School,"1 Carmel Pkwy, Mundelein, IL 60060, USA","{'lat': 42.2720932, 'lng': -87.98691339999999}"
19,13319,Duluth Public School Di...,"2123 S Arlington Heights Rd, Arlington Heights, IL 60005, USA","{'lat': 42.045739, 'lng': -87.9820901}"
20,13320,Duluth Public School Di...,"300 E Monroe St, Bloomington, IL 61701, USA","{'lat': 40.4815063, 'lng': -88.9905536}"
21,13321,Duluth Public School Di...,"2801 York Rd, Oak Brook, IL 60523, USA","{'lat': 41.83825840000001, 'lng': -87.92727540000001}"
22,13322,Duluth Public School Di...,"777 E Algonquin Rd, Des Plaines, IL 60016, USA","{'lat': 42.0303948, 'lng': -87.9044787}"
23,13323,Armstrong Twp High Sch ...,"Armstrong, IL 61812, USA","{'lat': 40.30642450000001, 'lng': -87.8778088}"
24,13324,DuPage County Regional ...,"596 Crescent Blvd, Glen Ellyn, IL 60137, USA","{'lat': 41.8775453, 'lng': -88.06281870000001}"
25,13325,Donovan Elementary Scho...,"600 North St, Donovan, IL 60931, USA","{'lat': 40.8853401, 'lng': -87.6127369}"
26,13326,Henry George Sch of Soc...,"417 S Dearborn St #510, Chicago, IL 60605, USA","{'lat': 41.8763172, 'lng': -87.6289919}"
27,13327,hales franciscan high s...,"4930 S Cottage Grove Ave, Chicago, IL 60615, USA","{'lat': 41.8051975, 'lng': -87.6071436}"
28,13328,First 5 Tehama,"8223 W Smithville Rd, Peoria, IL 61607, USA","{'lat': 40.6568029, 'lng': -89.7247168}"
29,13329,Ridgeland School Distri...,"Springfield, IL 62708, USA","{'lat': 39.79, 'lng': -89.62}"
30,13330,Community Consolidated ...,"3800 W Central Rd, Arlington Heights, IL 60005, USA","{'lat': 42.0673248, 'lng': -88.0258515}"
31,13331,Lovington C U School Di...,"445 E Church St, Lovington, IL 61937, USA","{'lat': 39.71191049999999, 'lng': -88.6264978}"
32,13332,Fenwick High School,"505 Washington Blvd, Oak Park, IL 60302, USA","{'lat': 41.8812142, 'lng': -87.7884765}"
33,13333,Arrowhead Ranch Inc,"12200 104th St, Coal Valley, IL 61240, USA","{'lat': 41.3976967, 'lng': -90.469884}"
34,13334,Board of Education of T...,"125 S Clark St Fl 15, Chicago, IL 60603, USA","{'lat': 41.8799308, 'lng': -87.6305172}"
35,13335,Herscher Community Unit...,"501 N Main St, Herscher, IL 60941, USA","{'lat': 41.0557521, 'lng': -88.0990819}"
36,13336,Matteson Elementary Sch...,"3625 215th St, Matteson, IL 60443, USA","{'lat': 41.4982187, 'lng': -87.7037902}"
37,13337,Evergreen Park Elementa...,"2110 State Hwy 94, Clayton, IL 62324, USA","{'lat': 40.0651682, 'lng': -91.0286955}"
38,13338,Eastview Elementary Sch...,"1490 E Myrtle St, Canton, IL 61520, USA","{'lat': 40.5634069, 'lng': -90.0123874}"
