,_id,Name,Address,Geocodes
0,11100,Brimfield High School,"216 E Clinton St, Brimfield, IL 61517, USA","{'lat': 40.84074, 'lng': -89.8821576}"
1,11101,Community Consolidated School District 181,"100 S Garfield St, Hinsdale, IL 60521, USA","{'lat': 41.8008499, 'lng': -87.92788829999999}"
2,11102,SEDOM,"227 W Judd St, Woodstock, IL 60098, USA","{'lat': 42.315354, 'lng': -88.44985179999999}"
3,11103,St Matthew Catholic School,"1307 Lincolnshire Dr, Champaign, IL 61821, USA","{'lat': 40.0968487, 'lng': -88.2667058}"
4,11104,Somonauk Elementary School,"501 W Market St, Somonauk, IL 60552, USA","{'lat': 41.6319467, 'lng': -88.69057769999999}"
5,11105,PETER J PALOMBI SCHOOL,"304 E Grand Ave, Lake Villa, IL 60046, USA","{'lat': 42.4158482, 'lng': -88.0744945}"
6,11106,Erie Elementary Charter School,"1405 N Washtenaw Ave, Chicago, IL 60622, USA","{'lat': 41.9070034, 'lng': -87.69411889999999}"
7,11107,Saint Edmund Parish School,"188 S Oak Park Ave, Oak Park, IL 60302, USA","{'lat': 41.8853903, 'lng': -87.7939706}"
8,11108,Woodland High School,"5800 E 3000 N Rd, Streator, IL 61364, USA","{'lat': 41.0596507, 'lng': -88.81779949999999}"
9,11109,The University of Chicago Booth School of Business,"Chicago Booth Harper Center, 5807 S Woodlawn Ave, Chicago, IL 60637, USA","{'lat': 41.7891387, 'lng': -87.5954555}"
10,11110,St. Matthew Catholic School,"1307 Lincolnshire Dr, Champaign, IL 61821, USA","{'lat': 40.0968487, 'lng': -88.2667058}"
11,11111,St. Matthew Catholic School,"1303 Lincolnshire Dr, Champaign, IL 61821, USA","{'lat': 40.0958969, 'lng': -88.2686253}"
12,11112,The University of Chicago Booth School of Business,"Chicago Booth Harper Center, 5807 S Woodlawn Ave, Chicago, IL 60637, USA","{'lat': 41.7891387, 'lng': -87.5954555}"
13,11113,Delavan Grade School,"907 Locust St, Delavan, IL 61734, USA","{'lat': 40.3660295, 'lng': -89.54917359999999}"
14,11114,Edwardsville High School,"6161 Center Grove Rd, Edwardsville, IL 62025, USA","{'lat': 38.7898119, 'lng': -89.9749295}"
15,11115,Glenbrook High School District 225,"3801 W Lake Ave, Glenview, IL 60026, USA","{'lat': 42.08722270000001, 'lng': -87.8504226}"
16,11116,Tri-County,"1725 Shomaker Dr, Murphysboro, IL 62966, USA","{'lat': 37.7561194, 'lng': -89.3417703}"
17,11117,Steger School District 194 School,"3753 Park Ave, Steger, IL 60475, USA","{'lat': 41.46200950000001, 'lng': -87.6409575}"
18,11118,Alwood School District 225,"301 E 5th Ave, Woodhull, IL 61490, USA","{'lat': 41.1810562, 'lng': -90.3120623}"
19,11119,Williamsville Comm Unit S D 15,"500 S Walnut St, Springfield, IL 62704, USA","{'lat': 39.7976784, 'lng': -89.6628408}"
20,11120,Community Consolidated School District 181,"6010 S Elm St, Burr Ridge, IL 60527, USA","{'lat': 41.7800889, 'lng': -87.9223722}"
21,11121,Glenbrook High School District 225,"3801 W Lake Ave, Glenview, IL 60026, USA","{'lat': 42.08722270000001, 'lng': -87.8504226}"
22,11122,Perspectives Charter School,"8131 S May St 1ST FL, Chicago, IL 60620, USA","{'lat': 41.7458355, 'lng': -87.6520244}"
23,11123,Williamsville Comm Unit S D 15,"312 South St, Sherman, IL 62684, USA","{'lat': 39.8921722, 'lng': -89.5988744}"
24,11124,Alwood School District 225,"301 E 5th Ave, Woodhull, IL 61490, USA","{'lat': 41.1810223, 'lng': -90.312005}"
25,11125,Aledo High School,"402 E Main St, Aledo, IL 61231, USA","{'lat': 41.2014552, 'lng': -90.7455513}"
26,11126,Gordon Tech High School,"3633 N California Ave, Chicago, IL 60618, USA","{'lat': 41.9487825, 'lng': -87.69747369999999}"
27,11127,Triopia High School,"2204 Concord Arenzville Rd, Concord, IL 62631, USA","{'lat': 39.8400081, 'lng': -90.3733061}"
28,11128,Rochester C U School Dist 3a,"707 W Main St, Rochester, IL 62563, USA","{'lat': 39.7521482, 'lng': -89.54785}"
29,11129,New Trier High School,"385 Winnetka Ave, Winnetka, IL 60093, USA","{'lat': 42.09438, 'lng': -87.7192627}"
30,11130,New Trier High School,"7 N Happ Rd, Northfield, IL 60093, USA","{'lat': 42.0948668, 'lng': -87.7667432}"
31,11131,Prairie-hills Elem S D 144,"3600 Chambord Ln, Hazel Crest, IL 60429, USA","{'lat': 41.563899, 'lng': -87.7030379}"
32,11132,Naperville Community Unit School District 203,"1000 River Oak Dr, Naperville, IL 60565, USA","{'lat': 41.7353574, 'lng': -88.1097644}"
33,11133,Rockton School District 140,"1050 E Union St, Rockton, IL 61072, USA","{'lat': 42.4543128, 'lng': -89.056004}"
34,11134,Winnebago Comm Unit S D 323,"304 E McNair Rd, Winnebago, IL 61088, USA","{'lat': 42.271913, 'lng': -89.237647}"
35,11135,Drexel Elementary School,"5407 W 36th St, Cicero, IL 60804, USA","{'lat': 41.82702159999999, 'lng': -87.75868539999999}"
36,11136,IVC High School,"1300 W Sycamore St, Chillicothe, IL 61523, USA","{'lat': 40.9126437, 'lng': -89.50330199999999}"
37,11137,Wisconsin High School Golf Coaches Association,"543 Hannah Ave, Forest Park, IL 60130, USA","{'lat': 41.8762701, 'lng': -87.8097576}"
38,11138,District 220 Educational Foundation,"310 James St, Barrington, IL 60010, USA","{'lat': 42.1594883, 'lng': -88.1325703}"
39,11139,Community High School District 218,"10601 Central Ave, Oak Lawn, IL 60453, USA","{'lat': 41.6988579, 'lng': -87.7571127}"
40,11140,Argo Community High School,"7329 W 63rd St, Summit, IL 60501, USA","{'lat': 41.7751752, 'lng': -87.80399659999999}"
41,11141,Illinois High School Football Coaches' Association Inc,"708 St Louis St, Edwardsville, IL 62025, USA","{'lat': 38.8102908, 'lng': -89.96469429999999}"
42,11142,West Central High School,"Biggsville, IL 61418, USA","{'lat': 40.8536498, 'lng': -90.86486169999999}"
43,11143,Waukegan Public Schools,"1201 N Sheridan Rd, Waukegan, IL 60085, USA","{'lat': 42.3768209, 'lng': -87.82956999999999}"
44,11144,Virden Schools Foundation,"203 W Hill St, Virden, IL 62690, USA","{'lat': 39.5057153, 'lng': -89.7684799}"
45,11145,Aurora Central Catholic High School,"1255 N Edgelawn Dr, Aurora, IL 60506, USA","{'lat': 41.7826939, 'lng': -88.3583853}"
46,11146,Marian Catholic High School,"700 Ashland Ave, Chicago Heights, IL 60411, USA","{'lat': 41.51982, 'lng': -87.65703409999999}"
47,11147,Chicago International Charter,"850 W Jackson Blvd # 275, Chicago, IL 60607, USA","{'lat': 41.8781547, 'lng': -87.6492052}"
48,11148,Wilmette Public Schools District 39,"615 Locust Rd, Wilmette, IL 60091, USA","{'lat': 42.0745473, 'lng': -87.7434947}"
49,11149,Dee-Mack High School,"401 E 5th St, Mackinaw, IL 61755, USA","{'lat': 40.5342809, 'lng': -89.3539642}"
50,11150,Niles Township Schools Credit Union,"5940 Lincoln Ave, Morton Grove, IL 60053, USA","{'lat': 42.0356445, 'lng': -87.776218}"
51,11151,Glenview Public School District 34,"1401 Greenwood Rd, Glenview, IL 60026, USA","{'lat': 42.0805388, 'lng': -87.83862859999999}"
52,11152,Central Catholic High School,"1201 Airport Rd, Bloomington, IL 61704, USA","{'lat': 40.4932429, 'lng': -88.92267679999999}"
53,11153,North Dupage Special Education Cooperative,"255 E Lake St # 300, Bloomingdale, IL 60108, USA","{'lat': 41.9574337, 'lng': -88.0638701}"
54,11154,Marian Catholic High School,"700 Ashland Ave, Chicago Heights, IL 60411, USA","{'lat': 41.51982, 'lng': -87.65703409999999}"
55,11155,Visitation Catholic School,"851 S York St, Elmhurst, IL 60126, USA","{'lat': 41.8742441, 'lng': -87.935242}"
56,11156,Belleville West High School,"2600 W Main St, Belleville, IL 62226, USA","{'lat': 38.5224333, 'lng': -90.0110756}"
57,11157,North Dupage Special Education Cooperative,"132 E Pine Ave, Roselle, IL 60172, USA","{'lat': 41.9803215, 'lng': -88.0765259}"
58,11158,Chicago Waldorf School,"1300 W Loyola Ave, Chicago, IL 60626, USA","{'lat': 42.00165510000001, 'lng': -87.6637868}"
59,11159,DuSable High School,"300 W Adams St # 612, Chicago, IL 60606, USA","{'lat': 41.8796763, 'lng': -87.63560559999999}"
60,11160,"Ombudsman Educational Services, Ltd.","1585 N Milwaukee Ave Ste 2b, Libertyville, IL 60048, USA","{'lat': 42.3017546, 'lng': -87.9586372}"
61,11161,Oak Park River Forest High School,"201 N Scoville Ave, Oak Park, IL 60302, USA","{'lat': 41.89009129999999, 'lng': -87.7888658}"
62,11162,Manteno School District,"250 N Poplar St, Manteno, IL 60950, USA","{'lat': 41.253087, 'lng': -87.84102}"
63,11163,Bartonville School District 66,"6000 S Adams St, Bartonville, IL 61607, USA","{'lat': 40.64978680000001, 'lng': -89.6517121}"
64,11164,J.L. Buford Intermediate Education Center,"401 N 30th St, Mt Vernon, IL 62864, USA","{'lat': 38.3191778, 'lng': -88.9279231}"
65,11165,Mount Carmel High School,"6410 S Dante Ave, Chicago, IL 60637, USA","{'lat': 41.7780323, 'lng': -87.5893179}"
