,_id,Name,Address,Geocodes
0,16500,Monroe County Community School Corporation,"3980 S Sare Rd, Bloomington, IN 47401, USA","{'lat': 39.1236971, 'lng': -86.5109451}"
1,16501,Hamilton Southeastern Schools,"12011 Olio Rd, Fishers, IN 46037, USA","{'lat': 39.96327369999999, 'lng': -85.9151888}"
2,16502,Floyds Knobs Elementary,"1111 Pearl St, New Albany, IN 47150, USA","{'lat': 38.2951923, 'lng': -85.82756440000001}"
3,16503,Bethany Christian Schools,"2904 S Main St, Goshen, IN 46526, USA","{'lat': 41.5455389, 'lng': -85.8266256}"
4,16504,New Palestine High School,"Greenfield, IN 46140, USA","{'lat': 39.785043, 'lng': -85.7694226}"
5,16505,Community Schools of Frankfort,"1910 S Jackson St, Frankfort, IN 46041, USA","{'lat': 40.2646579, 'lng': -86.513136}"
6,16506,Kokomo-Center Township Consolidated School Corporation,"303 E Superior St, Kokomo, IN 46901, USA","{'lat': 40.4847699, 'lng': -86.12826559999999}"
7,16507,Gary Community School Corp,"2367 E 21st Ave, Gary, IN 46407, USA","{'lat': 41.57920110000001, 'lng': -87.30774819999999}"
8,16508,West Noble School Corporation,"5094 US-33, Ligonier, IN 46767, USA","{'lat': 41.4254052, 'lng': -85.5808959}"
9,16509,Indianapolis Public School,"6150 Gateway Dr, Indianapolis, IN 46254, USA","{'lat': 39.8291689, 'lng': -86.26799489999999}"
10,16510,Franklin Township Community School Corp,"6215 S Franklin Rd, Indianapolis, IN 46259, USA","{'lat': 39.6760364, 'lng': -86.01595089999999}"
11,16511,The Metropolitan School District of Warren Township,"8301 Rawles Ave, Indianapolis, IN 46219, USA","{'lat': 39.7612856, 'lng': -86.0207669}"
12,16512,Indianapolis Public School,"5435 E Washington St, Indianapolis, IN 46219, USA","{'lat': 39.7699474, 'lng': -86.0745927}"
13,16513,Howe Military School,"2690 E 700 N, Howe, IN 46746, USA","{'lat': 41.7423791, 'lng': -85.3728993}"
14,16514,Monroe County Community School Corporation,"9090 S Strain Ridge Rd, Bloomington, IN 47401, USA","{'lat': 39.0338195, 'lng': -86.52189369999999}"
15,16515,Fort Wayne Community Schools,"2825 Fairfield Ave, Fort Wayne, IN 46807, USA","{'lat': 41.0590641, 'lng': -85.14412820000001}"
16,16516,Kokomo-Center Township Consolidated School Corporation,"923 N Korby St, Kokomo, IN 46901, USA","{'lat': 40.49423170000001, 'lng': -86.1490769}"
17,16517,Bristol Elementary School,"53403 Co Rd 1, Elkhart, IN 46514, USA","{'lat': 41.7188084, 'lng': -86.0401332}"
18,16518,Greater Clark County Schools,"420 Ewing Ln #4898, Jeffersonville, IN 47130, USA","{'lat': 38.2902362, 'lng': -85.7106566}"
19,16519,Kokomo-Center Township Consolidated School Corporation,"910 S Cooper St, Kokomo, IN 46901, USA","{'lat': 40.4777803, 'lng': -86.11163789999999}"
20,16520,Floyds Knobs Elementary,"6697 Old Vincennes Rd, Floyds Knobs, IN 47119, USA","{'lat': 38.336108, 'lng': -85.93573669999999}"
21,16521,Marion Community Schools,"3528 S Washington St, Marion, IN 46953, USA","{'lat': 40.527442, 'lng': -85.6681285}"
22,16522,Duneland School Corporation,"1 Pirate Pl, Charlestown, IN 47111, USA","{'lat': 38.4543684, 'lng': -85.6672466}"
23,16523,Special Education Svc,"917 S Dexter Ave, Evansville, IN 47714, USA","{'lat': 37.9640047, 'lng': -87.5142738}"
24,16524,MSD of Wayne Township,"9035 W Morris St, Indianapolis, IN 46231, USA","{'lat': 39.7482146, 'lng': -86.3223053}"
25,16525,Fort Wayne Community Schools,"6700 Trier Rd, Fort Wayne, IN 46815, USA","{'lat': 41.1127444, 'lng': -85.0547632}"
26,16526,MSD of Wayne Township,"701 Lansdowne Rd, Indianapolis, IN 46234, USA","{'lat': 39.7749917, 'lng': -86.3150343}"
27,16527,Richmond Community School,"1751 Chester Rd, Richmond, IN 47374, USA","{'lat': 39.8875236, 'lng': -84.8772321}"
28,16528,Hamilton Southeastern Schools,"13535 Cumberland Rd, Fishers, IN 46038, USA","{'lat': 39.9856341, 'lng': -85.9962896}"
29,16529,Covenant Christian High School,"7525 W 21st St, Indianapolis, IN 46214, USA","{'lat': 39.7929437, 'lng': -86.2931356}"
30,16530,Frontier Junior-Senior High School,"Chalmers, IN 47929, USA","{'lat': 40.6630933, 'lng': -86.86945709999999}"
31,16531,Special Education Svc,"5400 N First Ave, Evansville, IN 47710, USA","{'lat': 38.029117, 'lng': -87.578447}"
32,16532,Fayette County School Corporation,"1100 Spartan Dr, Connersville, IN 47331, USA","{'lat': 39.6366808, 'lng': -85.1605745}"
33,16533,Fort Wayne Community Schools,"4325 Smith St, Fort Wayne, IN 46806, USA","{'lat': 41.0452657, 'lng': -85.12075630000001}"
34,16534,MSD of Wayne Township,"1129 N Girls School Rd, Indianapolis, IN 46214, USA","{'lat': 39.7818773, 'lng': -86.2878463}"
35,16535,Earlywood Education Center,"500 Earlywood Dr, Franklin, IN 46131, USA","{'lat': 39.52124269999999, 'lng': -86.0735797}"
36,16536,Special Education Svc,"2000 Lodge Ave, Evansville, IN 47714, USA","{'lat': 37.9500482, 'lng': -87.5385975}"
37,16537,Metropolitan School District of Washington Township,"Allisonville Rd, Indiana, USA","{'lat': 39.8831716, 'lng': -86.0898023}"
38,16538,School Town of Highland,"9135 Erie St, Highland, IN 46322, USA","{'lat': 41.5465057, 'lng': -87.45795269999999}"
39,16539,Floyds Knobs Elementary,"8800 High St, Georgetown, IN 47122, USA","{'lat': 38.2958479, 'lng': -85.97148159999999}"
40,16540,Evansville Catholic High Schools,"800 Vigo St, Vincennes, IN 47591, USA","{'lat': 38.67433949999999, 'lng': -87.5283419}"
41,16541,Special Education Svc,"2013 S Green River Rd, Evansville, IN 47714, USA","{'lat': 37.9488101, 'lng': -87.4940532}"
42,16542,Metropolian School District of Perry Township,"5740 McFarland Rd, Indianapolis, IN 46227, USA","{'lat': 39.68332849999999, 'lng': -86.115298}"
43,16543,Indianapolis Public School,"3421 N Keystone Ave, Indianapolis, IN 46218, USA","{'lat': 39.8190145, 'lng': -86.1211423}"
44,16544,Lake Ridge Middle School,"6111 W Ridge Rd, Gary, IN 46408, USA","{'lat': 41.5487396, 'lng': -87.4111451}"
45,16545,Kankakee Valley High School,"S Bierma St, Wheatfield Township, IN 46392, USA","{'lat': 41.1876664, 'lng': -87.0548814}"
46,16546,Indianapolis Public School,"1115 Broad Ripple Ave, Indianapolis, IN 46220, USA","{'lat': 39.86849369999999, 'lng': -86.137492}"
47,16547,Goshen Community School Corporation,"401 Lincolnway E, Goshen, IN 46526, USA","{'lat': 41.5804716, 'lng': -85.8233391}"
48,16548,Greenfield-Central Schools,"110 W North St, Greenfield, IN 46140, USA","{'lat': 39.78642749999999, 'lng': -85.77118999999999}"
49,16549,Huntington County Community School Corporation,"450 Macgahan St, Huntington, IN 46750, USA","{'lat': 40.8920241, 'lng': -85.51004449999999}"
50,16550,Gray Road Christian School,"5500 Gray Rd, Indianapolis, IN 46237, USA","{'lat': 39.6883817, 'lng': -86.0979498}"
51,16551,Special Education Svc,"700 N Garvin St, Evansville, IN 47711, USA","{'lat': 37.9839364, 'lng': -87.5568261}"
52,16552,Indiana Department of Education,"628 S Bennett St, Bluffton, IN 46714, USA","{'lat': 40.7337028, 'lng': -85.16922339999999}"
53,16553,The Metropolitan School District of Warren Township,"10930 E 10th St, Indianapolis, IN 46229, USA","{'lat': 39.7831865, 'lng': -85.9730072}"
54,16554,Jay County High School,"2072 IN-67, Portland, IN 47371, USA","{'lat': 40.4293504, 'lng': -85.0226964}"
55,16555,Lanesville Community School Corporation,"2725 Crestview Ave NE, Lanesville, IN 47136, USA","{'lat': 38.2394083, 'lng': -85.9888677}"
56,16556,Indianapolis Public School,"307 Lincoln St, Indianapolis, IN 46225, USA","{'lat': 39.7449741, 'lng': -86.1524417}"
57,16557,East Allen County Schools,"12009 Hoagland Rd, Hoagland, IN 46745, USA","{'lat': 40.9488178, 'lng': -84.98216029999999}"
58,16558,Battle Ground Middle School,"Fowler, IN 47944, USA","{'lat': 40.6167044, 'lng': -87.3208518}"
59,16559,Community Schools of Frankfort,"329 N Maish Rd, Frankfort, IN 46041, USA","{'lat': 40.2844214, 'lng': -86.4821217}"
60,16560,School City of East Chicago,"210 E Columbus Dr, East Chicago, IN 46312, USA","{'lat': 41.6394758, 'lng': -87.4689294}"
61,16561,Fort Wayne Community Schools,"7000 Red Haw Dr, Fort Wayne, IN 46825, USA","{'lat': 41.14661, 'lng': -85.117015}"
62,16562,Indianapolis Public School,"5801 E 16th St, Indianapolis, IN 46218, USA","{'lat': 39.788444, 'lng': -86.068314}"
63,16563,Indianapolis Public School,"4326 Patricia St, Indianapolis, IN 46222, USA","{'lat': 39.8106394, 'lng': -86.23379299999999}"
64,16564,Frankton-Lapel Community Schools,"7916 W 300 N, Anderson, IN 46011, USA","{'lat': 40.1497298, 'lng': -85.82314509999999}"
65,16565,Baptist Academy,"2565 Villa Ave, Indianapolis, IN 46203, USA","{'lat': 39.7312519, 'lng': -86.1242086}"
66,16566,Eastern Greene Schools,"Bloomfield, IN 47424, USA","{'lat': 39.0269903, 'lng': -86.9375068}"
67,16567,Carmel High School Planetarium,"520 E Main St, Carmel, IN 46032, USA","{'lat': 39.9799754, 'lng': -86.119833}"
68,16568,Monroe County Community School Corporation,"2300 S Endwright Rd, Bloomington, IN 47403, USA","{'lat': 39.144753, 'lng': -86.5998369}"
69,16569,JUD Construction,"590 Ivy Tech Dr, Madison, IN 47250, USA","{'lat': 38.7803678, 'lng': -85.3761897}"
70,16570,South Montgomery Community School Corp.,"418 E Taylor St, Ladoga, IN 47954, USA","{'lat': 39.9159262, 'lng': -86.7963753}"
71,16571,"Campagna Academy, Inc.","7403 Cline Ave, Schererville, IN 46375, USA","{'lat': 41.4834821, 'lng': -87.4311268}"
72,16572,Celestine Elementary School,"4550 N 4th St, Dubois, IN 47527, USA","{'lat': 38.445828, 'lng': -86.801115}"
73,16573,Beech Grove City Schools,"5334 Hornet Ave, Beech Grove, IN 46107, USA","{'lat': 39.7111526, 'lng': -86.07693909999999}"
74,16574,Attica Consolidated Schools,"205 E Sycamore St, Attica, IN 47918, USA","{'lat': 40.2796908, 'lng': -87.2534515}"
75,16575,Manchester Junior High School,"Laketon, IN 46943, USA","{'lat': 40.9733672, 'lng': -85.8396655}"
76,16576,"Jayco, Inc.","2108 E 200 N, Anderson, IN 46012, USA","{'lat': 40.1369199, 'lng': -85.6303184}"
77,16577,Hamilton Southeastern Schools,"10595 Lantern Rd, Fishers, IN 46037, USA","{'lat': 39.9406827, 'lng': -86.012237}"
78,16578,Fayette County School Corporation,"2440 E Everton Rd, Connersville, IN 47331, USA","{'lat': 39.5632633, 'lng': -85.0937057}"
79,16579,Kokomo-Center Township Consolidated School Corporation,"2501 S Berkley Rd, Kokomo, IN 46902, USA","{'lat': 40.4555488, 'lng': -86.1572119}"
80,16580,Tippecanoe School Corporation,"Dayton, IN 47941, USA","{'lat': 40.377537, 'lng': -86.77557089999999}"
81,16581,Evansville Day School,"3400 N Green River Rd, Evansville, IN 47715, USA","{'lat': 38.0106898, 'lng': -87.49498129999999}"
82,16582,Indianapolis Public School,"1163 N Belmont Ave, Indianapolis, IN 46222, USA","{'lat': 39.7841007, 'lng': -86.1959141}"
83,16583,Indianapolis Public School,"1002 W 25th St, Indianapolis, IN 46208, USA","{'lat': 39.80340580000001, 'lng': -86.17946359999999}"
84,16584,Indianapolis Public School,"3307 Ashway Dr, Indianapolis, IN 46224, USA","{'lat': 39.8153611, 'lng': -86.26815350000001}"
85,16585,Ripley County Economic Development Corp.,"13200 North St, Dillsboro, IN 47018, USA","{'lat': 39.0171018, 'lng': -85.0638522}"
86,16586,Duneland School Corporation,"Chesterton, IN 46304, USA","{'lat': 41.6105937, 'lng': -87.06419919999999}"
87,16587,Rochester Community Schools,"1 Zebra Ln, Rochester, IN 46975, USA","{'lat': 41.0578505, 'lng': -86.2239488}"
88,16588,Special Education Svc,"21 S Alvord Blvd, Evansville, IN 47714, USA","{'lat': 37.9761152, 'lng': -87.5257527}"
89,16589,DeKalb County Eastern Community School District,"603 E Green St, Butler, IN 46721, USA","{'lat': 41.4321074, 'lng': -84.86233109999999}"
90,16590,MSD of Wayne Township,"1150 N Girls School Rd, Indianapolis, IN 46214, USA","{'lat': 39.783317, 'lng': -86.2909844}"
91,16591,Special Education Svc,"837 Tulip Ave, Evansville, IN 47711, USA","{'lat': 38.005308, 'lng': -87.548416}"
92,16592,Colonial Hills Baptist Church,"8140 Union Chapel Rd, Indianapolis, IN 46240, USA","{'lat': 39.9048244, 'lng': -86.11923639999999}"
93,16593,Indianapolis Public School,"3650 Cold Spring Rd, Indianapolis, IN 46222, USA","{'lat': 39.8220007, 'lng': -86.2028249}"
94,16594,Indianapolis Public School,"5002 W 34th St, Indianapolis, IN 46224, USA","{'lat': 39.8171144, 'lng': -86.24525260000001}"
95,16595,Canterbury Schools,"3210 Smith Rd, Fort Wayne, IN 46804, USA","{'lat': 41.0541247, 'lng': -85.2120692}"
96,16596,Kokomo-Center Township Consolidated School Corporation,"919 N Korby St, Kokomo, IN 46901, USA","{'lat': 40.4947126, 'lng': -86.1502154}"
97,16597,Lake Ridge Middle School,"4500 Calhoun St, Griffith, IN 46319, USA","{'lat': 41.5353979, 'lng': -87.4093243}"
98,16598,Hamilton Heights School Corporation,"Arcadia, IN 46030, USA","{'lat': 40.1758704, 'lng': -86.0216521}"
99,16599,Indianapolis Public School,"8620 Montery Rd, Indianapolis, IN 46226, USA","{'lat': 39.8309287, 'lng': -86.01606369999999}"
100,16600,Indianapolis Public School,"1202 E Troy Ave, Indianapolis, IN 46203, USA","{'lat': 39.7236946, 'lng': -86.1363786}"
101,16601,Delaware Community School Corporation,"7821 IN-3, Muncie, IN 47303, USA","{'lat': 40.2603996, 'lng': -85.368645}"
102,16602,South Vermillion County  School,"205 S 8th St, Clinton, IN 47842, USA","{'lat': 39.6592585, 'lng': -87.40675170000002}"
103,16603,Tippecanoe School Corporation,"511 Main St, Battle Ground, IN 47920, USA","{'lat': 40.514992, 'lng': -86.8294664}"
104,16604,Concordia Educational Foundation,"1601 St Joe River Dr, Fort Wayne, IN 46805, USA","{'lat': 41.1104098, 'lng': -85.11800389999999}"
105,16605,Monroe County Community School Corporation,"2211 S High St, Bloomington, IN 47401, USA","{'lat': 39.1385283, 'lng': -86.5071556}"
106,16606,Indianapolis Public School,"150 W 40th St, Indianapolis, IN 46208, USA","{'lat': 39.8290626, 'lng': -86.1611073}"
107,16607,Indianapolis Public School,"5050 E 42nd St, Indianapolis, IN 46226, USA","{'lat': 39.833963, 'lng': -86.085123}"
108,16608,Fort Wayne Community Schools,"2100 Lake Ave, Fort Wayne, IN 46805, USA","{'lat': 41.0890621, 'lng': -85.1106102}"
109,16609,Fort Wayne Community Schools,"1200 S Barr St, Fort Wayne, IN 46802, USA","{'lat': 41.0746579, 'lng': -85.1357817}"
