,_id,Name,Address,Geocodes
0,0,Anchorage School District,"5530 E Northern Lights Blvd, Anchorage, AK 99504, USA","{'lat': 61.19412589999999, 'lng': -149.7756012}"
1,1,Anchorage School District,"Anchorage, AK 99509, USA","{'lat': 61.1993718, 'lng': -149.9186747}"
2,2,Fairbanks North Star Borough Schools,"520 5th Ave, Fairbanks, AK 99707, USA","{'lat': 64.8420959, 'lng': -147.7180882}"
3,3,Saint Mary's City High School,"St Mary's, AK 99658, USA","{'lat': 62.0711223, 'lng': -163.2586855}"
4,4,Ketchikan Gateway Borough School District,"333 Schoenbar Rd, Ketchikan, AK 99901, USA","{'lat': 55.346435, 'lng': -131.6385957}"
5,5,Highland Tech High School,"5530 E Northern Lights Blvd, Anchorage, AK 99504, USA","{'lat': 61.1939631, 'lng': -149.7754994}"
6,6,Holy Cross School,"2627 Lore Rd, Anchorage, AK 99507, USA","{'lat': 61.1532247, 'lng': -149.8333514}"
7,7,Anchorage School District,"5530 E Northern Lights Blvd, Anchorage, AK 99504, USA","{'lat': 61.1939631, 'lng': -149.7754994}"
8,8,Anchorage School District,"1400 E Northern Lights Blvd, Anchorage, AK 99508, USA","{'lat': 61.1940101, 'lng': -149.8556339}"
9,9,Lower Kuskokwim Schools,"Bethel, AK, USA","{'lat': 60.7922222, 'lng': -161.7558334}"
10,10,Southeast Island School District,"Thorne Bay, AK, USA","{'lat': 55.6877778, 'lng': -132.5222222}"
11,11,YUKON KOYUKUK SCHOOL DISTRICT,"4762 Old Airport Rd, Fairbanks, AK 99709, USA","{'lat': 64.8351125, 'lng': -147.8290092}"
12,12,Lake & Peninsula School District,"King Salmon, AK, USA","{'lat': 58.68832510000001, 'lng': -156.661351}"
13,13,Sitka School District,"300 Kostrometinoff St, Sitka, AK 99835, USA","{'lat': 57.0646549, 'lng': -135.3519337}"
14,14,Alaska School Activities Association,"5530 E Northern Lights Blvd, Anchorage, AK 99504, USA","{'lat': 61.1939631, 'lng': -149.7754994}"
15,15,Anchorage School District,"4600 Debarr Road, Anchorage, AK 99508, USA","{'lat': 61.2090608, 'lng': -149.7943718}"
