,_id,Name,Address,Geocodes
0,1000,CAPO BEACH CALVARY SCHOOL,"25975 Domingo Ave, Dana Point, CA 92624, USA","{'lat': 33.4653064, 'lng': -117.6763932}"
1,1001,Chatsworth Hills Academy,"21523 Rinaldi St, Chatsworth, CA 91311, USA","{'lat': 34.272601, 'lng': -118.599858}"
2,1002,Palo Verde Unified School Dist,"187 N 7th St, Blythe, CA 92225, USA","{'lat': 33.6120039, 'lng': -114.5883239}"
3,1003,Hayward Unified School District,"24411 Amador St, Hayward, CA 94544, USA","{'lat': 37.656296, 'lng': -122.0938192}"
4,1004,FUSD,"4210 Technology Dr, Fremont, CA 94538, USA","{'lat': 37.5079221, 'lng': -121.9545989}"
5,1005,Lafayette School District,"3455 School St, Lafayette, CA 94549, USA","{'lat': 37.8870652, 'lng': -122.1146314}"
6,1006,North Monterey County Unified School District,"8142 Moss Landing Rd, Moss Landing, CA 95039, USA","{'lat': 36.7965721, 'lng': -121.7864327}"
7,1007,The Pajaro Valley Unified School District schools,"294 Green Valley Rd # 2, Watsonville, CA 95076, USA","{'lat': 36.93901779999999, 'lng': -121.7686468}"
8,1008,Golden Valley High School,"26455 Rockwell Canyon Rd, Santa Clarita, CA 91355, USA","{'lat': 34.4043812, 'lng': -118.5705894}"
9,1009,The Prentice School,"18341 Lassen Dr, Santa Ana, CA 92705, USA","{'lat': 33.772307, 'lng': -117.812064}"
10,1010,Banning Unified School District,"7155 Kelsey Creek Dr, Kelseyville, CA 95451, USA","{'lat': 38.9501958, 'lng': -122.8427145}"
11,1011,Coalinga-Huron Joint Unified,"657 Sunset St, Coalinga, CA 93210, USA","{'lat': 36.1423862, 'lng': -120.3642231}"
12,1012,Livingston Union School District,"922 B St, Livingston, CA 95334, USA","{'lat': 37.384664, 'lng': -120.7281695}"
13,1013,IDEPSCA,"500 N Lake Ave, Pasadena, CA 91101, USA","{'lat': 34.1546485, 'lng': -118.1321463}"
14,1014,St Mark's Lutheran Church,"7869 Kingswood Dr, Citrus Heights, CA 95610, USA","{'lat': 38.6709107, 'lng': -121.2727179}"
15,1015,Riverbank Unified School District,"6200 Claus Rd, Riverbank, CA 95367, USA","{'lat': 37.7307895, 'lng': -120.9195001}"
16,1016,San Jacinto Unified School District,"2045 S San Jacinto Ave, San Jacinto, CA 92583, USA","{'lat': 33.7652096, 'lng': -116.9583117}"
17,1017,Valley Achievement Center,"3200 Sillect Ave, Bakersfield, CA 93308, USA","{'lat': 35.3888887, 'lng': -119.0371862}"
18,1018,Del Mar Union School District,"13030 Ashley Falls Dr, San Diego, CA 92130, USA","{'lat': 32.9571708, 'lng': -117.2095518}"
19,1019,CVCS Online School,"32032 Del Obispo St, San Juan Capistrano, CA 92675, USA","{'lat': 33.4981779, 'lng': -117.6715123}"
20,1020,Cotati-Rohnert Park Unif Sd,"5860 Labath Ave, Rohnert Park, CA 94928, USA","{'lat': 38.3536851, 'lng': -122.7212783}"
21,1021,Valley Christian Schools,"1450 Leigh Ave, San Jose, CA 95125, USA","{'lat': 37.2967731, 'lng': -121.9221109}"
22,1022,Porterville Unified School District,"600 W Grand Ave, Porterville, CA 93257, USA","{'lat': 36.0774167, 'lng': -119.0311724}"
23,1023,The Pajaro Valley Unified School District schools,"6860 Soquel Dr, Aptos, CA 95003, USA","{'lat': 36.9849779, 'lng': -121.9189301}"
24,1024,The Pegasus School,"19692 Lexington Ln, Huntington Beach, CA 92646, USA","{'lat': 33.6771944, 'lng': -117.9472336}"
25,1025,Fairfld-Sisun Unified Schl Dst,"1975 Pennsylvania Ave, Fairfield, CA 94533, USA","{'lat': 38.2658188, 'lng': -122.0506841}"
26,1026,Laguna Beach Unified School District,"550 Blumont St, Laguna Beach, CA 92651, USA","{'lat': 33.5425691, 'lng': -117.7777876}"
27,1027,Grossmont Work Training Center,"La Mesa, CA 91944, USA","{'lat': 32.77, 'lng': -117.02}"
28,1028,Wheatland Elem Sch District,"111 Hooper St, Wheatland, CA 95692, USA","{'lat': 39.0117713, 'lng': -121.4293969}"
29,1029,Golden Valley High School,"21515 Centre Pointe Pkwy, Santa Clarita, CA 91350, USA","{'lat': 34.4123479, 'lng': -118.5132047}"
30,1030,Kingsburg High School,"1900 18th Ave, Kingsburg, CA 93631, USA","{'lat': 36.5182145, 'lng': -119.5473702}"
31,1031,Bakersfield City School District,"1116 Lymric Way, Bakersfield, CA 93309, USA","{'lat': 35.3446844, 'lng': -119.0446971}"
32,1032,Sonoma Country Day School,"4400 Day School Pl, Santa Rosa, CA 95403, USA","{'lat': 38.5172119, 'lng': -122.7868881}"
33,1033,Tracy Unified School District,"1875 W Lowell Ave, Tracy, CA 95376, USA","{'lat': 37.7477477, 'lng': -121.4512473}"
34,1034,Mill Valley School District,"411 Sycamore Ave, Mill Valley, CA 94941, USA","{'lat': 37.8973313, 'lng': -122.5290071}"
