,_id,Name,Address,Geocodes
0,1300,Rosedale Union School District,"10013 Tuscarora Dr, Bakersfield, CA 93312, USA","{'lat': 35.3919386, 'lng': -119.1134614}"
1,1301,Carl Stuart Middle School,"201 Mentor Dr, Goleta, CA 93111, USA","{'lat': 34.4336721, 'lng': -119.8129591}"
2,1302,Irvine Unified School District,"12025 Yale Ct, Irvine, CA 92620, USA","{'lat': 33.7268031, 'lng': -117.7542423}"
3,1303,Alhambra Unified School District,"1501 W Mission Rd, Alhambra, CA 91803, USA","{'lat': 34.0826335, 'lng': -118.1400239}"
4,1304,Calabasas High School,"22855 Mulholland Hwy, Calabasas, CA 91302, USA","{'lat': 34.1382513, 'lng': -118.6276185}"
5,1305,Templeton Unified School District,"1200 S Main St, Templeton, CA 93465, USA","{'lat': 35.5423962, 'lng': -120.7115981}"
6,1306,YESHIVA UNIVERSITY GIRLS HIGH SCHOOL OF LOS ANGELES INC,"1619 S Robertson Blvd, Los Angeles, CA 90035, USA","{'lat': 34.0500518, 'lng': -118.3852311}"
7,1307,Union School District,"10879 Bartlett Dr, Grass Valley, CA 95945, USA","{'lat': 39.2062979, 'lng': -121.036173}"
8,1308,Forest Grove Elementary School,"615 Sunset Dr, Pacific Grove, CA 93950, USA","{'lat': 36.6103189, 'lng': -121.9252668}"
9,1309,Cutler-Orosi Joint Unified School District,"41815 Rd 128, Orosi, CA 93647, USA","{'lat': 36.5483791, 'lng': -119.2876413}"
10,1310,Oxnard Union High Sch Dist,"309 S K St, Oxnard, CA 93030, USA","{'lat': 34.2001393, 'lng': -119.1923909}"
11,1311,Ribet Academy,"2911 N San Fernando Rd, Los Angeles, CA 90065, USA","{'lat': 34.1134838, 'lng': -118.2420636}"
12,1312,Alhambra Unified School District,"650 Grandridge Ave, Monterey Park, CA 91754, USA","{'lat': 34.0538564, 'lng': -118.1282233}"
13,1313,Bakersfield City School District,"1100 9th St, Bakersfield, CA 93304, USA","{'lat': 35.3660627, 'lng': -119.0135377}"
14,1314,Oxnard Union High Sch Dist,"545 Central Ave, Oxnard, CA 93036, USA","{'lat': 34.2542121, 'lng': -119.1441524}"
