,_id,Name,Address,Geocodes
0,3000,Colorado Springs School District 11,"2727 N Cascade Ave, Colorado Springs, CO 80907, USA","{'lat': 38.8715229, 'lng': -104.8220235}"
1,3001,Adams 12 Five Star Schools,"2800 W 135th Ave, Broomfield, CO 80020, USA","{'lat': 39.9413499, 'lng': -105.0193974}"
2,3002,The Indiana Dairy Goat Association INC,"2135 S Pearl St, Denver, CO 80210, USA","{'lat': 39.6779951, 'lng': -104.9810184}"
3,3003,cmsd.k12.co,"1775 La Clede St, Colorado Springs, CO 80905, USA","{'lat': 38.8052074, 'lng': -104.8388496}"
4,3004,Bollman Technical Education Center,"455 Eppinger Blvd, Thornton, CO 80229, USA","{'lat': 39.8644594, 'lng': -104.9824226}"
5,3005,Bollman Technical Education Center,"601 W 100th Pl, Northglenn, CO 80260, USA","{'lat': 39.8799987, 'lng': -104.9951118}"
6,3006,cmsd.k12.co,"440 W Cheyenne Mountain Blvd, Colorado Springs, CO 80906, USA","{'lat': 38.7896586, 'lng': -104.8360223}"
7,3007,Bollman Technical Education Center,"9451 Washington St, Denver, CO 80229, USA","{'lat': 39.8673151, 'lng': -104.9786105}"
8,3008,Video Vault,"855 W Oak Ct, Louisville, CO 80027, USA","{'lat': 39.9845466, 'lng': -105.1583565}"
9,3009,Regis Jesuit High School,"6400 S Lewiston Way, Aurora, CO 80016, USA","{'lat': 39.6000567, 'lng': -104.7990445}"
10,3010,Fairview HS,"6500 Arapahoe Rd, Boulder, CO 80303, USA","{'lat': 40.0128181, 'lng': -105.2009241}"
11,3011,Boulder Valley School District,"6500 Arapahoe Rd, Boulder, CO 80303, USA","{'lat': 40.0128181, 'lng': -105.2009241}"
12,3012,St. Vrain Valley School District,"395 S Pratt Pkwy, Longmont, CO 80501, USA","{'lat': 40.1554221, 'lng': -105.1071666}"
13,3013,Douglas County Schools,"620 Wilcox St, Castle Rock, CO 80104, USA","{'lat': 39.3759109, 'lng': -104.8594172}"
14,3014,Colorado Society Of School Pyschologists,"2115 Grand Ave, Grand Junction, CO 81501, USA","{'lat': 39.0698499, 'lng': -108.540148}"
15,3015,National Association of Scholars,"5540 Tech Center Dr, Colorado Springs, CO 80919, USA","{'lat': 38.9118356, 'lng': -104.8286352}"
16,3016,Colorado Springs Education Association,"1115 N El Paso St, Colorado Springs, CO 80903, USA","{'lat': 38.8494982, 'lng': -104.8121089}"
17,3017,Moffat County School District,"900 Finley Ln, Craig, CO 81625, USA","{'lat': 40.52147739999999, 'lng': -107.5628082}"
18,3018,Colorado Lutheran High School Association,"10461 S Parker Rd, Parker, CO 80134, USA","{'lat': 39.5274022, 'lng': -104.7670975}"
19,3019,Colorado Springs Education Association,"1115 N El Paso St, Colorado Springs, CO 80903, USA","{'lat': 38.8494982, 'lng': -104.8121089}"
20,3020,Aspen Education Foundation,"235 High School Rd, Aspen, CO 81611, USA","{'lat': 39.1906471, 'lng': -106.8480752}"
21,3021,Kent Credit Union,"4000 E Quincy Ave, Cherry Hills Village, CO 80113, USA","{'lat': 39.6343824, 'lng': -104.9404454}"
22,3022,Arickaree R2,"12155 Co Rd NN, Anton, CO 80801, USA","{'lat': 39.745111, 'lng': -103.0287735}"
23,3023,Cedaredge Elementary School,"1765 US-50, Delta, CO 81416, USA","{'lat': 38.7032764, 'lng': -108.0296031}"
24,3024,Cedaredge Elementary School,"438 Bulldog St, Hotchkiss, CO 81419, USA","{'lat': 38.7896884, 'lng': -107.6990022}"
25,3025,Jefferson County Education Association,"13300 W 2nd Pl, Denver, CO 80228, USA","{'lat': 39.7148543, 'lng': -105.1481117}"
26,3026,Bollman Technical Education Center,"1500 E 128th Ave, Thornton, CO 80241, USA","{'lat': 39.9268679, 'lng': -104.967171}"
27,3027,Academy Charter School,"1551 Prairie Hawk Dr, Castle Rock, CO 80109, USA","{'lat': 39.3837824, 'lng': -104.872003}"
28,3028,Carbon Valley Academy,"4040 Coriolis Way, Longmont, CO 80504, USA","{'lat': 40.1132441, 'lng': -104.9778584}"
29,3029,Horizon High School,"5321 E 136th Ave, Thornton, CO 80602, USA","{'lat': 39.94423430000001, 'lng': -104.9259269}"
30,3030,Peak High School,"800 Merlin Dr, Lafayette, CO 80026, USA","{'lat': 39.9911294, 'lng': -105.0760744}"
31,3031,Rangeview High School,"17599 E Iliff Ave, Aurora, CO 80013, USA","{'lat': 39.67503809999999, 'lng': -104.7814478}"
32,3032,Frontier Academy,"488 Yoder St, Calhan, CO 80808, USA","{'lat': 39.036298, 'lng': -104.29282}"
33,3033,Highline Academy,"7808 Cherry Creek S Dr #304, Denver, CO 80231, USA","{'lat': 39.6790294, 'lng': -104.8984349}"
34,3034,Evergreen Country Day School,"1037 El Rancho Rd, Evergreen, CO 80439, USA","{'lat': 39.69760780000001, 'lng': -105.3266517}"
35,3035,Hope CoOp,"2001 E Easter Ave Ste 202, Centennial, CO 80122, USA","{'lat': 39.58930429999999, 'lng': -104.9652096}"
36,3036,Fountain Valley School,"Hawley Library, 6155 Fountain Valley School Rd, Colorado Springs, CO 80911, USA","{'lat': 38.7431704, 'lng': -104.7110352}"
37,3037,Center School District 26 Jt,"550 S Sylvester Ave, Center, CO 81125, USA","{'lat': 37.7504822, 'lng': -106.1145872}"
38,3038,Dakota Valley Elementary Schl,"3950 S Kirk Way, Aurora, CO 80013, USA","{'lat': 39.6465645, 'lng': -104.7452349}"
39,3039,Fountain Valley School,"Hawley Library, 6155 Fountain Valley School Rd, Colorado Springs, CO 80911, USA","{'lat': 38.7431704, 'lng': -104.7110352}"
40,3040,Jefferson County Education Association,"13175 W Green Mountain Dr, Lakewood, CO 80228, USA","{'lat': 39.693185, 'lng': -105.1450835}"
41,3041,Middle School,"201 S McKinley Ave, Fort Lupton, CO 80621, USA","{'lat': 40.0774589, 'lng': -104.8134516}"
42,3042,Council for Exceptional Children,"17599 E Iliff Ave, Aurora, CO 80013, USA","{'lat': 39.67503809999999, 'lng': -104.7814478}"
