,_id,Name,Address,Geocodes
0,3700,Pendleton SD 16,"2101 J and C Blvd, Naples, FL 34109, USA","{'lat': 26.2242286, 'lng': -81.7765369}"
1,3701,Donna Klein Jewish Academy,"9701 Donna Klein Blvd, Boca Raton, FL 33428, USA","{'lat': 26.3584001, 'lng': -80.1955725}"
2,3702,Gulliver Schools,"1500 San Remo Ave STE 400, Coral Gables, FL 33146, USA","{'lat': 25.705669, 'lng': -80.2830532}"
3,3703,Broward County Public Schools,"1700 SW 14th Ct, Fort Lauderdale, FL 33312, USA","{'lat': 26.102532, 'lng': -80.16426969999999}"
4,3704,The Education Channel,"157 S Havana Rd, Venice, FL 34292, USA","{'lat': 27.0927577, 'lng': -82.3683969}"
5,3705,The Education Channel,"1960 Landings Blvd, Sarasota, FL 34231, USA","{'lat': 27.2794385, 'lng': -82.5317737}"
6,3706,Escambia County School District,"6201 Mobile Hwy, Pensacola, FL 32526, USA","{'lat': 30.464631, 'lng': -87.305582}"
7,3707,The Education Channel,"1960 Landings Blvd, Sarasota, FL 34231, USA","{'lat': 27.2794385, 'lng': -82.5317737}"
8,3708,St. Cloud High School,"1300 9th St FL 3, St Cloud, FL 34769, USA","{'lat': 28.2498365, 'lng': -81.2837558}"
9,3709,St. Cloud High School,"3rd St, St Cloud, FL 34769, USA","{'lat': 28.256531, 'lng': -81.284666}"
10,3710,Texas Education Agency,"YADM, 2112 N 15th St, Tampa, FL 33605, USA","{'lat': 27.9630091, 'lng': -82.4432839}"
11,3711,Tampa Preparatory School,"7705 Gunn Hwy, Tampa, FL 33625, USA","{'lat': 28.0791447, 'lng': -82.5723194}"
12,3712,Weston Christian Acad,"1420 Indian Trace, Weston, FL 33326, USA","{'lat': 26.1029686, 'lng': -80.3709976}"
13,3713,Pinellas County Schools,"6305 118th Ave N, Largo, FL 33773, USA","{'lat': 27.8808547, 'lng': -82.72415889999999}"
14,3714,St. Cloud High School,"1300 9th St, St Cloud, FL 34769, USA","{'lat': 28.2498365, 'lng': -81.2837558}"
15,3715,The Education Channel,"1900 Center Rd, Venice, FL 34292, USA","{'lat': 27.0762357, 'lng': -82.3534537}"
16,3716,St Petersburg Catholic High,"6333 9th Ave N, St. Petersburg, FL 33710, USA","{'lat': 27.7823788, 'lng': -82.7219006}"
17,3717,Martin County School District,"2845 SE Dixie Hwy, Stuart, FL 34997, USA","{'lat': 27.1712984, 'lng': -80.2238467}"
