,_id,Name,Address,Geocodes
0,6600,Miami-Dade County Public Schools,"12525 NW 28th Ave, Miami, FL 33167, USA","{'lat': 25.8889717, 'lng': -80.24432940000001}"
1,6601,"Hillsborough County, Florida","1304 E Alsobrook St, Plant City, FL 33563, USA","{'lat': 28.0076642, 'lng': -82.11280889999999}"
2,6602,Orange County Public Schools,"4100 Lake Margaret Dr, Orlando, FL 32812, USA","{'lat': 28.5047802, 'lng': -81.33338789999999}"
3,6603,Bank United,"2450 NW 97th Ave, Doral, FL 33172, USA","{'lat': 25.7962423, 'lng': -80.35339809999999}"
4,6604,Hillel Community Day School,"19000 NE 25th Ave, Miami, FL 33180, USA","{'lat': 25.9514347, 'lng': -80.1512328}"
5,6605,The School District of Escambia County,"4820 N Palafox St, Pensacola, FL 32505, USA","{'lat': 30.4625737, 'lng': -87.23951919999999}"
6,6606,Montessori Teacher Training Institute,"6050 SW 57th Ave, Miami, FL 33143, USA","{'lat': 25.7148862, 'lng': -80.2861161}"
7,6607,Broward County Public Schools,"900 Pembroke Falls Blvd, Pembroke Pines, FL 33028, USA","{'lat': 26.01305, 'lng': -80.331157}"
8,6608,jcsb,"5331 Alabama St, Graceville, FL 32440, USA","{'lat': 30.956441, 'lng': -85.5190583}"
9,6609,Kind Foundation,"11911 US-1 Suite #201, North Palm Beach, FL 33408, USA","{'lat': 26.850454, 'lng': -80.05993339999999}"
10,6610,Seminole County Public Schools,"1101 S Bay Ave, Sanford, FL 32771, USA","{'lat': 28.8019291, 'lng': -81.2569597}"
11,6611,Brevard County Schools,"8440 Rosalind Ave, Cape Canaveral, FL 32920, USA","{'lat': 28.3926066, 'lng': -80.59895159999999}"
12,6612,Niceville Senior High School,"50 Holly Ave, Shalimar, FL 32579, USA","{'lat': 30.462048, 'lng': -86.586484}"
13,6613,Hillsborough County Public Schools,"901 E Kennedy Blvd, Tampa, FL 33602, USA","{'lat': 27.9490993, 'lng': -82.4524689}"
14,6614,Indian River Co School Dist,"50 N Cypress St, Fellsmere, FL 32948, USA","{'lat': 27.7692037, 'lng': -80.60452529999999}"
15,6615,"The School District of Palm Beach County, Flo...","1700 Barton Rd, Lake Worth, FL 33460, USA","{'lat': 26.5953707, 'lng': -80.0665015}"
16,6616,Orange County Public Schools,"209 Silverton St, Orlando, FL 32811, USA","{'lat': 28.5441634, 'lng': -81.43753389999999}"
17,6617,School District of Manatee County,"2800 27th St E, Bradenton, FL 34208, USA","{'lat': 27.475322, 'lng': -82.529048}"
18,6618,Duval County Public Schools (DCPS),"901 Kennard St, Jacksonville, FL 32208, USA","{'lat': 30.3913976, 'lng': -81.6711665}"
19,6619,osceola.k12.fl,"500 W Columbia Ave, Kissimmee, FL 34741, USA","{'lat': 28.306843, 'lng': -81.409071}"
20,6620,Miami-Dade County Public Schools,"514 NW 77th St, Miami, FL 33150, USA","{'lat': 25.8446865, 'lng': -80.2055946}"
21,6621,School District of Manatee County,"3404 Fort Hamer Rd, Parrish, FL 34219, USA","{'lat': 27.5425735, 'lng': -82.423283}"
22,6622,Levy County School District,"480 Marshburn Dr, Bronson, FL 32621, USA","{'lat': 29.4568795, 'lng': -82.63477569999999}"
23,6623,Duval County Public Schools (DCPS),"590 Duval Station Rd, Jacksonville, FL 32218, USA","{'lat': 30.4844512, 'lng': -81.60844469999999}"
24,6624,Duval County Public Schools,"12230 Biscayne Blvd, Jacksonville, FL 32218, USA","{'lat': 30.4525411, 'lng': -81.6711357}"
25,6625,Leon County School Board,"915 Hillcrest St, Tallahassee, FL 32308, USA","{'lat': 30.4520975, 'lng': -84.26787879999999}"
26,6626,Polk County Public School District,"1915 S Floral Ave, Bartow, FL 33830, USA","{'lat': 27.8761024, 'lng': -81.8463422}"
27,6627,Fort Lauderdale Preparatory School,"3275 W Oakland Park Blvd, Lauderdale Lakes, FL 33311, USA","{'lat': 26.166764, 'lng': -80.19063229999999}"
28,6628,"Escambia County, Florida","6201 Mobile Hwy, Pensacola, FL 32526, USA","{'lat': 30.464631, 'lng': -87.305582}"
29,6629,Polk County Public School District,"8201 Park-Byrd Rd, Lakeland, FL 33810, USA","{'lat': 28.1493964, 'lng': -81.9888045}"
30,6630,Hillsborough County Public Schools,"3910 W Fair Oaks Ave, Tampa, FL 33611, USA","{'lat': 27.8988452, 'lng': -82.5094507}"
31,6631,Hillsborough County Public Schools,"3501 Cork Rd, Plant City, FL 33565, USA","{'lat': 28.050337, 'lng': -82.175952}"
32,6632,Faith  Church,"N Meridian Rd, Tallahassee, FL 32303, USA","{'lat': 30.5219829, 'lng': -84.27745689999999}"
33,6633,"The School District of Palm Beach County, Flo...","757 Lighthouse Dr, North Palm Beach, FL 33408, USA","{'lat': 26.8181378, 'lng': -80.07291810000001}"
34,6634,American Public Works,"Tampa, FL 33601, USA","{'lat': 27.9401015, 'lng': -82.4501944}"
35,6635,The School District of Escambia County,"4425 Bellview Ave, Pensacola, FL 32526, USA","{'lat': 30.4676077, 'lng': -87.3063892}"
36,6636,Florida State University,"600 W College Ave, Tallahassee, FL 32306, USA","{'lat': 30.4407249, 'lng': -84.29066470000001}"
37,6637,Holy Comforter Episcopal Schl,"2001 Fleischmann Rd, Tallahassee, FL 32308, USA","{'lat': 30.4814072, 'lng': -84.2206341}"
38,6638,Orange County Public Schools,"14700 Sussex Dr, Alafaya, FL 32826, USA","{'lat': 28.584415, 'lng': -81.18301699999999}"
39,6639,Polk County Public School District,"601 Avenue C SE, Winter Haven, FL 33880, USA","{'lat': 28.0196313, 'lng': -81.7178411}"
40,6640,Broward County Public Schools,"3205 N University Dr, Pompano Beach, FL 33065, USA","{'lat': 26.2708397, 'lng': -80.2484388}"
41,6641,Brevard Public Schools,"201 Indian Trail, Cocoa, FL 32927, USA","{'lat': 28.4378066, 'lng': -80.7605857}"
42,6642,Windmill Sprinkler,"1055 Kingman Ave, Jacksonville, FL 32207, USA","{'lat': 30.3101579, 'lng': -81.6410686}"
