,_id,Name,Address,Geocodes
0,7000,Gainesville City Schools,"508 Oak St Ste 2 Hall, Gainesville, GA 30501, USA","{'lat': 34.3011577, 'lng': -83.8329668}"
1,7001,White County Board Education,"113 N Brooks St, Cleveland, GA 30528, USA","{'lat': 34.5983754, 'lng': -83.7625298}"
2,7002,Mill Creek High School,"1500 North Rd SW, Snellville, GA 30078, USA","{'lat': 33.890564, 'lng': -84.00567029999999}"
3,7003,Meriwether County Schools,"2100 Gaston St, Greenville, GA 30222, USA","{'lat': 33.0281237, 'lng': -84.70975849999999}"
4,7004,St. Georges Episcopal School - Katina Greene,"103 Birch St, Milner, GA 30257, USA","{'lat': 33.1173518, 'lng': -84.1985627}"
5,7005,Ringgold Primary School,"217 Tiger Trail, Ringgold, GA 30736, USA","{'lat': 34.9239315, 'lng': -85.1106507}"
6,7006,City Schools of Decatur,"758 Scott Blvd, Decatur, GA 30030, USA","{'lat': 33.7833315, 'lng': -84.30649439999999}"
7,7007,Muscogee County School District,"5908 Whitesville Rd, Columbus, GA 31904, USA","{'lat': 32.529914, 'lng': -84.96194899999999}"
8,7008,BARROW COUNTY SCHOOLS,"1970 Broad St, Statham, GA 30666, USA","{'lat': 33.9651308, 'lng': -83.59079799999999}"
9,7009,Newnan High School,"Newnan, GA 30264, USA","{'lat': 33.3763255, 'lng': -84.71352139999999}"
10,7010,Baconton Community Charter School,"108 S Harney St, Camilla, GA 31730, USA","{'lat': 31.2281138, 'lng': -84.2074931}"
11,7011,Social Circle City Schools,"240 W Hightower Trail, Social Circle, GA 30025, USA","{'lat': 33.6575436, 'lng': -83.7204577}"
12,7012,Social Circle City Schools,"439 Annie P Henderson Dr, Social Circle, GA 30025, USA","{'lat': 33.6602078, 'lng': -83.71040699999999}"
13,7013,Decatur Board of Education,"310 N McDonough St, Decatur, GA 30030, USA","{'lat': 33.7721086, 'lng': -84.29798389999999}"
14,7014,Putnam County School Dist,"3232 Cobb Pkwy SE #414, Atlanta, GA 30339, USA","{'lat': 33.87334010000001, 'lng': -84.45702179999999}"
15,7015,Tift County Schools,"113 2nd St E, Tifton, GA 31794, USA","{'lat': 31.4548569, 'lng': -83.5101232}"
16,7016,The Walker School,"700 Cobb Pkwy N, Marietta, GA 30062, USA","{'lat': 33.9703231, 'lng': -84.5372903}"
17,7017,Glynn County School Adm,"1313 Egmont St, Brunswick, GA 31520, USA","{'lat': 31.1478101, 'lng': -81.49144050000001}"
18,7018,Mt. Paran North Church of God,"1275 Stanley Rd NW, Kennesaw, GA 30152, USA","{'lat': 33.98611229999999, 'lng': -84.6119343}"
19,7019,Kingsley Elementary School,"2051 Brendon Dr, Dunwoody, GA 30338, USA","{'lat': 33.9482503, 'lng': -84.29724379999999}"
20,7020,Bremen City Schools,"504 Laurel St, Bremen, GA 30110, USA","{'lat': 33.7183408, 'lng': -85.1399551}"
21,7021,Colquitt County Board Education,"388 Clarence Jones Rd, Moultrie, GA 31768, USA","{'lat': 31.2396458, 'lng': -83.78394209999999}"
22,7022,Cartersville City Schools,"15 Nelson St, Cartersville, GA 30120, USA","{'lat': 34.1717729, 'lng': -84.79184459999999}"
23,7023,Madison County Bd of Education,"900 Madison St, Danielsville, GA 30633, USA","{'lat': 34.1178853, 'lng': -83.2075972}"
24,7024,Putnam County School Dist,"158 Old Glenwood Springs Rd, Eatonton, GA 31024, USA","{'lat': 33.3101422, 'lng': -83.3957768}"
25,7025,Carroll County Schools,"74 Industrial Blvd, Villa Rica, GA 30180, USA","{'lat': 33.7328834, 'lng': -84.9394974}"
26,7026,Jenkins County Elementary School,"1104 E Winthrope Ave, Millen, GA 30442, USA","{'lat': 32.8038581, 'lng': -81.9303994}"
27,7027,Ringgold Primary School,"163 Fernwood Dr, Rossville, GA 30741, USA","{'lat': 34.96466059999999, 'lng': -85.25081150000001}"
28,7028,Peach County High School,"523 Vineville St, Fort Valley, GA 31030, USA","{'lat': 32.5583603, 'lng': -83.89202379999999}"
29,7029,Muscogee County School District,"5661 Lorenzo Rd, Columbus, GA 31904, USA","{'lat': 32.528521, 'lng': -84.96092890000001}"
30,7030,Muscogee County School District,"1215 Benning Dr, Columbus, GA 31903, USA","{'lat': 32.4284476, 'lng': -84.9452544}"
31,7031,Muscogee County School District,"3100, 3100 Reese Rd, Columbus, GA 31907, USA","{'lat': 32.5012581, 'lng': -84.9101273}"
32,7032,Lanier County Board Education,"52 W Patten Ave, Lakeland, GA 31635, USA","{'lat': 31.0377175, 'lng': -83.07742309999999}"
33,7033,Holy Innocents' Episcopal School,"805 Mount Vernon Hwy, Sandy Springs, GA 30327, USA","{'lat': 33.9099063, 'lng': -84.4134364}"
34,7034,Lincoln County High School,"175 Rowland-York Dr, Lincolnton, GA 30817, USA","{'lat': 33.7965847, 'lng': -82.4916463}"
35,7035,Chickamauga City Schools,"402 Cove Rd, Chickamauga, GA 30707, USA","{'lat': 34.8687614, 'lng': -85.2937869}"
36,7036,Cook County Board Education,"1109 N Parrish Ave, Adel, GA 31620, USA","{'lat': 31.1485777, 'lng': -83.4267703}"
37,7037,Burke County Board of Educn,"789 Burke Veterans Parkway, Waynesboro, GA 30830, USA","{'lat': 33.0799865, 'lng': -81.98803769999999}"
38,7038,Mill Creek High School,"437 Old Peachtree Rd NW, Suwanee, GA 30024, USA","{'lat': 34.0143978, 'lng': -84.0555025}"
39,7039,Georgia School Boards Association,"207 Oakley Ct, Bonaire, GA 31005, USA","{'lat': 32.5362878, 'lng': -83.58897809999999}"
40,7040,Monroe County Schools,"Forsyth, GA 31029, USA","{'lat': 33.0342974, 'lng': -83.938242}"
41,7041,City Schools of Decatur,"320 N McDonough St, Decatur, GA 30030, USA","{'lat': 33.7729854, 'lng': -84.29675}"
42,7042,Bremen City Schools,"412 Georgia Ave S, Bremen, GA 30110, USA","{'lat': 33.7190169, 'lng': -85.14020149999999}"
43,7043,Mill Creek High School,"343 Gwinnett Dr, Lawrenceville, GA 30046, USA","{'lat': 33.9442068, 'lng': -83.9937355}"
44,7044,Monroe County Schools,"600 S Main St, Tompkinsville, KY 42167, USA","{'lat': 36.6942729, 'lng': -85.70013929999999}"
45,7045,Mill Creek High School,"1025 Herrington Rd, Lawrenceville, GA 30044, USA","{'lat': 33.9427284, 'lng': -84.08247209999999}"
46,7046,Meriwether County BOE,"2100 Gaston St, Greenville, GA 30222, USA","{'lat': 33.0281237, 'lng': -84.70975849999999}"
47,7047,Bremen City Schools,"515 Laurel St, Bremen, GA 30110, USA","{'lat': 33.7178035, 'lng': -85.1384381}"
48,7048,Putnam County School Dist,"162 Old Glenwood Springs Rd, Eatonton, GA 31024, USA","{'lat': 33.3115206, 'lng': -83.3983011}"
49,7049,Mill Creek High School,"3555 Sugarloaf Pkwy, Lawrenceville, GA 30045, USA","{'lat': 33.9273294, 'lng': -84.0205099}"
50,7050,Mill Creek High School,"1801 Hewatt Rd SW, Lilburn, GA 30047, USA","{'lat': 33.8540723, 'lng': -84.0648906}"
51,7051,Floyd County School District,"SE, 3 Dragon Dr SE, Lindale, GA 30147, USA","{'lat': 34.1811286, 'lng': -85.180058}"
52,7052,The Lovett School,"4075 Paces Ferry Rd NW, Atlanta, GA 30327, USA","{'lat': 33.8585729, 'lng': -84.4534491}"
53,7053,Academic Consortium,"350 Spelman Ln SW, Atlanta, GA 30314, USA","{'lat': 33.7450466, 'lng': -84.4116505}"
54,7054,Murray County Schools,"715 W Chestnut St, Chatsworth, GA 30705, USA","{'lat': 34.77582659999999, 'lng': -84.77981869999999}"
55,7055,Athens Academy,"1281 Spartan Ln, Athens, GA 30606, USA","{'lat': 33.898395, 'lng': -83.39927639999999}"
56,7056,Athens Academy,"Athens, GA 30604, USA","{'lat': 33.95, 'lng': -83.41}"
57,7057,Murray County Schools,"829 GA-286, Chatsworth, GA 30705, USA","{'lat': 34.8275675, 'lng': -84.7774603}"
58,7058,National Technical Honor Society - Cedar Shoals High School - Ga,"240 Mitchell Bridge Rd, Athens, GA 30606, USA","{'lat': 33.9626438, 'lng': -83.4324183}"
59,7059,The Lovett School,"4075 Paces Ferry Rd NW, Atlanta, GA 30327, USA","{'lat': 33.8585729, 'lng': -84.4534491}"
60,7060,Bulloch County Board Education,"150 Williams Rd, Statesboro, GA 30458, USA","{'lat': 32.4591739, 'lng': -81.79463559999999}"
61,7061,Academic Consortium,"350 Spelman Ln SW, Atlanta, GA 30314, USA","{'lat': 33.7450466, 'lng': -84.4116505}"
62,7062,Academic Consortium,"350 Spelman Ln SW, Atlanta, GA 30314, USA","{'lat': 33.7450466, 'lng': -84.4116505}"
63,7063,Trion High School,"919 Allgood St, Trion, GA 30753, USA","{'lat': 34.5401727, 'lng': -85.3250226}"
64,7064,Fort Middle School,"2900 Woodruff Farm Rd, Columbus, GA 31907, USA","{'lat': 32.4880371, 'lng': -84.8979892}"
