,_id,Name,Address,Geocodes
0,7300,Wayne County Board Education,"1, 1 Jacket Dr, Jesup, GA 31545, USA","{'lat': 31.6173256, 'lng': -81.9188662}"
1,7301,Washington Co School District,"Sandersville, GA, USA","{'lat': 32.9815431, 'lng': -82.810138}"
2,7302,ThomastnUpson Cnty Bd Education,"101 Holston Dr, Thomaston, GA 30286, USA","{'lat': 32.8869042, 'lng': -84.3131129}"
3,7303,Orgill Inc,"1 Blue Devil Way, Tifton, GA 31794, USA","{'lat': 31.4703702, 'lng': -83.4765243}"
4,7304,Monroe County Schools,"70 Thornton Rd, Forsyth, GA 31029, USA","{'lat': 33.0103315, 'lng': -83.9187175}"
5,7305,Murray County Schools Technology Department,"500 Green Rd, Chatsworth, GA 30705, USA","{'lat': 34.7679984, 'lng': -84.7771659}"
6,7306,Murray County Schools Technology Department,"4580 Georgia Hwy 225 N, Chatsworth, GA 30705, USA","{'lat': 34.8217606, 'lng': -84.8101571}"
7,7307,Brantley County Middle School,"Waynesville, Hortense, GA 31566, USA","{'lat': 31.2295421, 'lng': -81.78867749999999}"
8,7308,Jefferson County Pre Kndrgrtn,"1157 Warrior Trail, Louisville, GA 30434, USA","{'lat': 33.0972419, 'lng': -82.41176899999999}"
9,7309,Georgia Library Media Association,"1555 Owens Store Rd, Canton, GA 30115, USA","{'lat': 34.2359303, 'lng': -84.33333379999999}"
10,7310,Murray County Schools Technology Department,"110 McEntire Cir, Chatsworth, GA 30705, USA","{'lat': 34.876507, 'lng': -84.79794319999999}"
11,7311,Georgia Library Media Association,"2031 E Cherokee Dr, Woodstock, GA 30188, USA","{'lat': 34.1319959, 'lng': -84.4930684}"
12,7312,Mill Creek High School,"4400 Braselton Hwy, Hoschton, GA 30548, USA","{'lat': 34.0793839, 'lng': -83.875795}"
13,7313,Mill Creek High School,"20 Level Creek Rd, Suwanee, GA 30024, USA","{'lat': 34.0846073, 'lng': -84.07160879999999}"
14,7314,Mill Creek High School,"564 W Crogan St, Lawrenceville, GA 30046, USA","{'lat': 33.9481514, 'lng': -84.00006189999999}"
15,7315,Muscogee County School District,"2901 College Dr, Columbus, GA 31906, USA","{'lat': 32.4980785, 'lng': -84.94757969999999}"
16,7316,Milton High School,"13025 Birmingham Hwy, Milton, GA 30004, USA","{'lat': 34.0970463, 'lng': -84.3391201}"
17,7317,Lake Ridge Elementary School,"5500 Reynolds Rd, Forest Park, GA 30297, USA","{'lat': 33.6039986, 'lng': -84.3538763}"
18,7318,Lake Ridge Elementary School,"500 GA-138, Jonesboro, GA 30238, USA","{'lat': 33.534934, 'lng': -84.375435}"
19,7319,LAKEVIEW ACADEMY,"796 Lakeview Dr, Gainesville, GA 30501, USA","{'lat': 34.32200470000001, 'lng': -83.8058629}"
20,7320,Lake Ridge Elementary School,"1169 Morrow Rd, Morrow, GA 30260, USA","{'lat': 33.5861375, 'lng': -84.35309579999999}"
21,7321,Lake Ridge Elementary School,"9652 Fayetteville Rd, Jonesboro, GA 30238, USA","{'lat': 33.4914652, 'lng': -84.38393769999999}"
22,7322,Lake Ridge Elementary School,"3187 Rex Rd, Rex, GA 30273, USA","{'lat': 33.5896534, 'lng': -84.2862233}"
23,7323,Towns County Comprehensive,"1400 Hwy 76, Clayton, GA 30525, USA","{'lat': 34.8600923, 'lng': -83.3870475}"
24,7324,Lake Ridge Elementary School,"7900 Lake Ridge Cir, Riverdale, GA 30296, USA","{'lat': 33.5394481, 'lng': -84.432283}"
25,7325,Cook County Board Education,"1512 N Elm St, Sparks, GA 31647, USA","{'lat': 31.1539988, 'lng': -83.4337834}"
26,7326,The Lionheart School,"180 Academy St, Alpharetta, GA 30009, USA","{'lat': 34.0765571, 'lng': -84.2882384}"
27,7327,Georgia Science Teachers Association,"3001 Hopkins St, Savannah, GA 31405, USA","{'lat': 32.0550422, 'lng': -81.1163322}"
28,7328,"Phi Theta Kappa, Alpha Psi Omicron Chapter  Floyd College","Library, 3175 Cedartown Hwy, Rome, GA 30161, USA","{'lat': 34.169222, 'lng': -85.2066467}"
29,7329,Holy Redeemer Catholic School,"3380 Old Alabama Rd, Alpharetta, GA 30022, USA","{'lat': 34.0213873, 'lng': -84.2610495}"
30,7330,Kedron Elementary School,"200 Kedron Dr, Peachtree City, GA 30269, USA","{'lat': 33.4299892, 'lng': -84.59810949999999}"
31,7331,Pinecrest Academy,"955 Peachtree Pkwy, Cumming, GA 30041, USA","{'lat': 34.136691, 'lng': -84.17054999999999}"
32,7332,Pinecrest Academy,"955 Peachtree Pkwy, Cumming, GA 30041, USA","{'lat': 34.136691, 'lng': -84.17054999999999}"
