,_id,Name,Address,Geocodes
0,9400,Jeff Davis County Schools,"81 Pat Dixon Rd, Hazlehurst, GA 31539, USA","{'lat': 31.8634852, 'lng': -82.60993169999999}"
1,9401,Global Achievers,"7 Solar Cir, Newnan, GA 30265, USA","{'lat': 33.4040673, 'lng': -84.7467672}"
2,9402,Long County School District,"Ludowici, GA 31316, USA","{'lat': 31.7079919, 'lng': -81.7423357}"
3,9403,Catoosa County,"2206 Battlefield Pkwy, Fort Oglethorpe, GA 30742, USA","{'lat': 34.9448233, 'lng': -85.2299515}"
4,9404,Oakland Elementary School,"1860 S Main St, Ellijay, GA 30540, USA","{'lat': 34.6758731, 'lng': -84.4963673}"
5,9405,Brenau University,"Centennial Cir, Gainesville, GA 30504, USA","{'lat': 34.2609283, 'lng': -83.8638479}"
6,9406,Fayette County,"205 LaFayette Ave, Fayetteville, GA 30214, USA","{'lat': 33.4517777, 'lng': -84.458368}"
7,9407,Forsyth County Schools,"3777 Samples Rd, Cumming, GA 30041, USA","{'lat': 34.1680751, 'lng': -84.1057412}"
8,9408,Brandon Hall School,"1701 Brandon Hall Dr, Sandy Springs, GA 30350, USA","{'lat': 33.9839454, 'lng': -84.30246199999999}"
9,9409,Cobb County School District,"3450 New MacLand Rd, Powder Springs, GA 30127, USA","{'lat': 33.8709698, 'lng': -84.6774957}"
10,9410,Dougherty County Schools,"200 Pine Ave, Albany, GA 31701, USA","{'lat': 31.578074, 'lng': -84.1516753}"
11,9411,Carroll County School System,"113 Central High Rd, Carrollton, GA 30116, USA","{'lat': 33.5524846, 'lng': -85.0681528}"
12,9412,Grace Christian Academy,"355 McDonough Rd, Fayetteville, GA 30214, USA","{'lat': 33.4568078, 'lng': -84.4011791}"
13,9413,Fulton County School District,"5400 Campbellton Rd SW, Atlanta, GA 30331, USA","{'lat': 33.6998733, 'lng': -84.56103619999999}"
14,9414,Fulton County School District,"9425 Barnwell Rd, Johns Creek, GA 30022, USA","{'lat': 34.0106425, 'lng': -84.250187}"
