,_id,Name,Address,Geocodes
0,10000,Ararat Armenian Cuisine,"1601 State St, Bellevue, IA 52031, USA","{'lat': 42.2541899, 'lng': -90.44345659999999}"
1,10001,Fillmore Elementary School,"1606 Brady St, Davenport, IA 52803, USA","{'lat': 41.536201, 'lng': -90.5747349}"
2,10002,Iowa City Public School District,"509 S Dubuque St, Iowa City, IA 52240, USA","{'lat': 41.655125, 'lng': -91.5336488}"
3,10003,Boyer Valley Public School District,"1102 Iowa Ave, Dunlap, IA 51529, USA","{'lat': 41.8538485, 'lng': -95.5943882}"
4,10004,Aurora Heights Elementary School,"310 E 23rd St N, Newton, IA 50208, USA","{'lat': 41.70193829999999, 'lng': -93.023271}"
5,10005,Muscatine Community School District,"705 Barry Ave, Muscatine, IA 52761, USA","{'lat': 41.44042719999999, 'lng': -91.05419920000001}"
6,10006,Area Education Agency 267,"3712 Cedar Heights Dr, Cedar Falls, IA 50613, USA","{'lat': 42.5041066, 'lng': -92.4096015}"
7,10007,Ames School District,"1921 Ames High Dr, Ames, IA 50010, USA","{'lat': 42.0399566, 'lng': -93.632986}"
8,10008,"City of Newton, Iowa","Newton, IA 50208, USA","{'lat': 41.7033177, 'lng': -93.05735330000002}"
9,10009,Columbus Junction School Supt,"1004 Colton St, Columbus Junction, IA 52738, USA","{'lat': 41.2700264, 'lng': -91.3670451}"
10,10010,Cedar Rapids Community Schools,"907 15th St SW, Cedar Rapids, IA 52404, USA","{'lat': 41.9673761, 'lng': -91.69004079999999}"
11,10011,West Des Moines Community Schools,"3550 Mills Civic Pkwy, West Des Moines, IA 50265, USA","{'lat': 41.566717, 'lng': -93.75741500000001}"
12,10012,Oakridge School,"3111 10th St, Marion, IA 52302, USA","{'lat': 42.0535532, 'lng': -91.5974291}"
13,10013,Great Prairie Area Education Agency,"608 E Williams St, Ottumwa, IA 52501, USA","{'lat': 40.9980135, 'lng': -92.4164711}"
14,10014,North Central Elementary School- Iowa,"Manly, IA 50456, USA","{'lat': 43.2907924, 'lng': -93.2032593}"
