,_id,Name,Address,Geocodes
0,13000,Altamont Comm Unit Sd 1...,"7 S Ewing St, Altamont, IL 62411, USA","{'lat': 39.05901160000001, 'lng': -88.7406043}"
1,13001,Mary Miller Junior High...,"414 W West St, Georgetown, IL 61846, USA","{'lat': 39.9750792, 'lng': -87.63990989999999}"
2,13002,Lisle Junior High Schoo...,"5211 Center Ave, Lisle, IL 60532, USA","{'lat': 41.7905466, 'lng': -88.0713004}"
3,13003,Downers Grove Grade Sch...,"4435 Middaugh Ave, Downers Grove, IL 60515, USA","{'lat': 41.8067579, 'lng': -88.01651129999999}"
4,13004,Dieterich Junior/Senior...,"187 W Church St, Dieterich, IL 62424, USA","{'lat': 39.057618, 'lng': -88.38142099999999}"
5,13005,Lewis & Clark Elementar...,"6800 Humbert Rd, Godfrey, IL 62035, USA","{'lat': 38.9669101, 'lng': -90.1819132}"
6,13006,Lewistown High School,"IL-100, Lewistown, IL, USA","{'lat': 40.3930116, 'lng': -90.1551224}"
7,13007,SCORE,"River Bend Arena, 5800 Godfrey Rd, Godfrey, IL 62035, USA","{'lat': 38.9518844, 'lng': -90.19626319999999}"
8,13008,Bensenville District #2,"210 S Church Rd, Bensenville, IL 60106, USA","{'lat': 41.9523366, 'lng': -87.9522667}"
9,13009,Lincoln High School,"1000 Primm Rd, Lincoln, IL 62656, USA","{'lat': 40.1376618, 'lng': -89.3579305}"
10,13010,New Lenox School Distri...,"102 S Cedar Rd, New Lenox, IL 60451, USA","{'lat': 41.5115402, 'lng': -87.96540999999999}"
11,13011,Central High School,"1134 3100 N, Clifton, IL 60927, USA","{'lat': 40.9596624, 'lng': -87.9173919}"
12,13012,Fisher Grade School,"Fisher, IL 61843, USA","{'lat': 40.3147554, 'lng': -88.3500541}"
13,13013,KEMPA,"1133 Main St, Antioch, IL 60002, USA","{'lat': 42.4727517, 'lng': -88.0926712}"
14,13014,Board of Education of T...,"125 S Clark St, Chicago, IL 60603, USA","{'lat': 41.8799308, 'lng': -87.6305172}"
15,13015,glenbard HS,"990 Kuhn Rd, Carol Stream, IL 60188, USA","{'lat': 41.9282384, 'lng': -88.14255849999999}"
16,13016,School District U-46,"770 Mill St, South Elgin, IL 60177, USA","{'lat': 41.9955672, 'lng': -88.28466209999999}"
17,13017,Community Consolidated ...,"1020 E Sayles Dr, Palatine, IL 60074, USA","{'lat': 42.1237567, 'lng': -88.0183304}"
18,13018,Reed Custer Community U...,"255 Comet Dr, Braidwood, IL 60408, USA","{'lat': 41.2578286, 'lng': -88.2063517}"
19,13019,El Paso-Gridley High Sc...,"97 W 5th St, El Paso, IL 61738, USA","{'lat': 40.7437872, 'lng': -89.01791449999999}"
20,13020,Lincolnwood School Dist...,"6950 E Prairie Rd, Lincolnwood, IL 60712, USA","{'lat': 42.007077, 'lng': -87.727401}"
21,13021,Naperville Community Un...,"2403 Kingsley Dr, Naperville, IL 60565, USA","{'lat': 41.7208662, 'lng': -88.1376829}"
22,13022,University of Illinois ...,"30 E Lake St, Chicago, IL 60601, USA","{'lat': 41.8860252, 'lng': -87.62685309999999}"
23,13023,Highland Community Unit...,"2813 IL-160, Highland, IL 62249, USA","{'lat': 38.7587742, 'lng': -89.67209199999999}"
24,13024,Kipling Elementary Scho...,"630 Essex Ct, Deerfield, IL 60015, USA","{'lat': 42.1769679, 'lng': -87.84400149999999}"
25,13025,EASTLAND School Distric...,"500 S School Dr, Lanark, IL 61046, USA","{'lat': 42.0970831, 'lng': -89.8305087}"
26,13026,Millikin Elementary Sch...,"209 S College Ave, Geneseo, IL 61254, USA","{'lat': 41.4511876, 'lng': -90.15831910000001}"
27,13027,Board of Education of T...,"2815 S Komensky Ave, Chicago, IL 60623, USA","{'lat': 41.8400368, 'lng': -87.7253424}"
28,13028,Jacksonville School DST...,"516 Jordan St, Jacksonville, IL 62650, USA","{'lat': 39.7359517, 'lng': -90.2358264}"
29,13029,Waukegan Public Schools,"1319 Washington St, Waukegan, IL 60085, USA","{'lat': 42.3590942, 'lng': -87.8471481}"
30,13030,East Prairie School Dis...,"3907 Dobson St, Skokie, IL 60076, USA","{'lat': 42.019492, 'lng': -87.7271892}"
31,13031,School District 66,"2000 Manning Rd, Darien, IL 60561, USA","{'lat': 41.7465123, 'lng': -87.99234489999999}"
32,13032,Cardinal Joseph Bernard...,"9250 W 167th St, Orland Hills, IL 60487, USA","{'lat': 41.5884432, 'lng': -87.84472869999999}"
33,13033,Woodland Elementary Sch...,"217 S Eastern Ave, Barrington, IL 60010, USA","{'lat': 42.151314, 'lng': -88.1186135}"
34,13034,Township High School Di...,"433 Vine Ave, Highland Park, IL 60035, USA","{'lat': 42.194539, 'lng': -87.8027303}"
35,13035,Betsy Ross Elementary S...,"543 Hannah Ave, Forest Park, IL 60130, USA","{'lat': 41.8762701, 'lng': -87.8097576}"
36,13036,McClellan Grade School,"14975 E Bakerville Rd, Mt Vernon, IL 62864, USA","{'lat': 38.2570811, 'lng': -88.8703043}"
37,13037,James R. Wood Elementar...,"320 Maple St, Somonauk, IL 60552, USA","{'lat': 41.63125489999999, 'lng': -88.68798070000001}"
38,13038,Lake Forest College,"1285 N McKinley Rd, Lake Forest, IL 60045, USA","{'lat': 42.2641956, 'lng': -87.840087}"
39,13039,Ridgeland School Distri...,"9620 Normandy Ave, Oak Lawn, IL 60453, USA","{'lat': 41.7177336, 'lng': -87.78793859999999}"
40,13040,Moline Unit School Dist...,"335 5th Ave, Moline, IL 61265, USA","{'lat': 41.5050117, 'lng': -90.53246589999999}"
41,13041,Amboy Central School,"11 E Hawley St, Amboy, IL 61310, USA","{'lat': 41.7199107, 'lng': -89.3335903}"
42,13042,Board of Education of T...,"13100 S Doty Ave, Chicago, IL 60827, USA","{'lat': 41.6565611, 'lng': -87.5894723}"
43,13043,DePaul University,"1 E Jackson Blvd, Chicago, IL 60604, USA","{'lat': 41.8780449, 'lng': -87.62743379999999}"
44,13044,Downers Grove Grade Sch...,"236 Indianapolis Ave, Downers Grove, IL 60515, USA","{'lat': 41.8036335, 'lng': -87.9930334}"
45,13045,Evanston Township High ...,"1600 Dodge Ave, Evanston, IL 60201, USA","{'lat': 42.0475443, 'lng': -87.6997693}"
46,13046,College of Lake County,"19351 W Washington St, Grayslake, IL 60030, USA","{'lat': 42.3542648, 'lng': -88.0125666}"
47,13047,Frankfort Intermediate,"425 Franklin Ave, West Frankfort, IL 62896, USA","{'lat': 37.9175421, 'lng': -88.97149}"
48,13048,Creve Coeur School Dist...,"400 N Highland St, Creve Coeur, IL 61610, USA","{'lat': 40.6503661, 'lng': -89.5978998}"
49,13049,Superintendent,"16100 W 127th St, Lemont, IL 60439, USA","{'lat': 41.6546709, 'lng': -88.0133185}"
50,13050,School District 100 Ber...,"3401 Gunderson Ave #1, Berwyn, IL 60402, USA","{'lat': 41.8302524, 'lng': -87.7847877}"
51,13051,Board of Education of T...,"6751 W 63rd Pl, Chicago, IL 60638, USA","{'lat': 41.7763768, 'lng': -87.7896291}"
52,13052,Carlinville Middle Scho...,"829 W Main St, Carlinville, IL 62626, USA","{'lat': 39.27840440000001, 'lng': -89.8943599}"
53,13053,Community Unit School D...,"900 Wester Blvd, Pingree Grove, IL 60140, USA","{'lat': 42.0826259, 'lng': -88.43007539999999}"
54,13054,Cobden School Unit Dist...,"413 N Appleknocker Dr, Cobden, IL 62920, USA","{'lat': 37.5366021, 'lng': -89.25588499999999}"
55,13055,Jasper Cmty Cons Sch Di...,"Wayne St, Fairfield, IL 62837, USA","{'lat': 38.3676604, 'lng': -88.3659181}"
56,13056,Dwight D Eisenhower Hig...,"13049 S Ridgeland Ave, Palos Heights, IL 60463, USA","{'lat': 41.6550845, 'lng': -87.7757889}"
57,13057,Plainfield Community Co...,"2544 Crystal Dr, Joliet, IL 60435, USA","{'lat': 41.5696565, 'lng': -88.15452599999999}"
58,13058,Benton Community Consol...,"308 E Church St, Benton, IL 62812, USA","{'lat': 37.9889242, 'lng': -88.907965}"
59,13059,Ball-Chatham School Dis...,"465 Chatham Rd, Chatham, IL 62629, USA","{'lat': 39.6742072, 'lng': -89.6560492}"
60,13060,School District 47 Crys...,"820 Darlington Ln, Crystal Lake, IL 60014, USA","{'lat': 42.2175516, 'lng': -88.3281064}"
61,13061,Indian Springs School D...,"8600 S Roberts Rd, Justice, IL 60458, USA","{'lat': 41.7353946, 'lng': -87.81958999999999}"
62,13062,Kingman Primary School,"6413 N Mt Hawley Rd, Peoria, IL 61614, USA","{'lat': 40.765475, 'lng': -89.5971636}"
63,13063,Jewish Federation of Me...,"1 S Franklin St, Chicago, IL 60606, USA","{'lat': 41.8816263, 'lng': -87.63503449999999}"
64,13064,Kingman Primary School,"1507 S Lydia Ave, Peoria, IL 61605, USA","{'lat': 40.6719116, 'lng': -89.6272979}"
65,13065,Mary Miller Junior High...,"400 W West St, Georgetown, IL 61846, USA","{'lat': 39.9752138, 'lng': -87.63859169999999}"
66,13066,Wilmington Community Un...,"201 N Kankakee St, Wilmington, IL 60481, USA","{'lat': 41.3096318, 'lng': -88.1449217}"
67,13067,Lincoln School,"100 S Maple St, Lincoln, IL 62656, USA","{'lat': 40.150324, 'lng': -89.36925130000002}"
68,13068,Grass Lake School Distr...,"26177 W Grass Lake Rd, Antioch, IL 60002, USA","{'lat': 42.4399848, 'lng': -88.13897519999999}"
69,13069,Kipling Elementary Scho...,"1801 Montgomery Rd, Deerfield, IL 60015, USA","{'lat': 42.1687827, 'lng': -87.872467}"
70,13070,Bethalto West Elementar...,"309 Albers Pl, Bethalto, IL 62010, USA","{'lat': 38.9096198, 'lng': -90.05212709999999}"
71,13071,DeKalb High School,"370 Lexington Ave, Cortland, IL 60112, USA","{'lat': 41.9066955, 'lng': -88.6761181}"
72,13072,Community Consolidated ...,"1021 N Ridgewood Ln, Palatine, IL 60067, USA","{'lat': 42.1307188, 'lng': -88.03607939999999}"
73,13073,Edwardsville High Schoo...,"132 N Kansas St, Edwardsville, IL 62025, USA","{'lat': 38.8129455, 'lng': -89.9542962}"
74,13074,School District 66,"699 Plainfield Rd, Downers Grove, IL 60516, USA","{'lat': 41.737089, 'lng': -87.999283}"
75,13075,Betsy Ross Elementary S...,"424 Des Plaines Ave, Forest Park, IL 60130, USA","{'lat': 41.8786343, 'lng': -87.8137899}"
76,13076,DePue Unit School Distr...,"501 E Erie St, Spring Valley, IL 61362, USA","{'lat': 41.3253083, 'lng': -89.1923946}"
77,13077,Board of Education of T...,"2148 N Long Ave, Chicago, IL 60639, USA","{'lat': 41.9191471, 'lng': -87.76171649999999}"
78,13078,Glenview Public School ...,"2500 Chestnut Ave, Glenview, IL 60026, USA","{'lat': 42.0886358, 'lng': -87.81958209999999}"
79,13079,Regional Off of Ed Clin...,"7740 Old U.S. Hwy 50, Breese, IL 62230, USA","{'lat': 38.6098241, 'lng': -89.5608438}"
80,13080,Bell Elementary School,"3730 N Oakley Ave, Chicago, IL 60618, USA","{'lat': 41.9493403, 'lng': -87.6866953}"
81,13081,Muffley Elementary Scho...,"2115 S Taylor Rd, Decatur, IL 62521, USA","{'lat': 39.8156052, 'lng': -88.98289179999999}"
82,13082,Mary Miller Junior High...,"410 W Polk Ave, Charleston, IL 61920, USA","{'lat': 39.4873267, 'lng': -88.1875914}"
83,13083,Holy Trinity Elementary...,"1909 E Lincoln St, Bloomington, IL 61701, USA","{'lat': 40.4659541, 'lng': -88.965173}"
84,13084,Community Unit School D...,"1125 N Wheaton Ave, Wheaton, IL 60187, USA","{'lat': 41.8762948, 'lng': -88.1093116}"
85,13085,Fox River Grove School ...,"403 Orchard St, Fox River Grove, IL 60021, USA","{'lat': 42.1972263, 'lng': -88.2139557}"
86,13086,Patoka Community Unit S...,"224 S Locust St, Centralia, IL 62801, USA","{'lat': 38.5257588, 'lng': -89.13526069999999}"
