,_id,Name,Address,Geocodes
0,13700,Bico Collaborative,"500 E 5th St, Rock Falls, IL 61071, USA","{'lat': 41.7784427, 'lng': -89.6836409}"
1,13701,Board of Education of The City of Chicago,"125 S Clark St Fl 2, Chicago, IL 60603, USA","{'lat': 41.8799308, 'lng': -87.6305172}"
2,13702,District Two Ninty Nine,"7931 S Honore St, Chicago, IL 60620, USA","{'lat': 41.7494853, 'lng': -87.66908699999999}"
3,13703,Indian Prairie School District 204,"2621 Springdale Cir, Naperville, IL 60564, USA","{'lat': 41.71467510000001, 'lng': -88.1777658}"
4,13704,Language Stars,"116 W Gartner Rd, Naperville, IL 60540, USA","{'lat': 41.7538647, 'lng': -88.1408775}"
5,13705,Central Cmty High Sch Dist 71,"7740 Old U.S. Hwy 50, Breese, IL 62230, USA","{'lat': 38.6098241, 'lng': -89.5608438}"
6,13706,Dwight D Eisenhower High Schl,"12700 Sacramento Ave, Blue Island, IL 60406, USA","{'lat': 41.6617824, 'lng': -87.69576119999999}"
7,13707,Board of Education of The City of Chicago,"1518 W Granville Ave, Chicago, IL 60660, USA","{'lat': 41.9948025, 'lng': -87.6685158}"
8,13708,Board of Education of The City of Chicago,"2111 W Greenleaf Ave, Chicago, IL 60645, USA","{'lat': 42.0097839, 'lng': -87.6845774}"
9,13709,Bloomingdale School Dist 13,"164 Euclid Ave, Bloomingdale, IL 60108, USA","{'lat': 41.9514918, 'lng': -88.0663278}"
10,13710,Board of Education of The City of Chicago,"11220 S Wallace St, Chicago, IL 60628, USA","{'lat': 41.6897069, 'lng': -87.63784}"
11,13711,Chicago-Kent College of Law,"IIT Chicago-Kent College of Law, 565 W Adams St, Chicago, IL 60661, USA","{'lat': 41.8788582, 'lng': -87.6423118}"
12,13712,El Paso-Gridley High School,"600 N Elm St, El Paso, IL 61738, USA","{'lat': 40.7434297, 'lng': -89.01824010000001}"
13,13713,Mary Miller Junior High School,"400 E West St, Georgetown, IL 61846, USA","{'lat': 39.9751635, 'lng': -87.6294403}"
14,13714,Fox River Grove School District 3,"401 Orchard St, Fox River Grove, IL 60021, USA","{'lat': 42.1975594, 'lng': -88.2134016}"
15,13715,Paris Comm Unit School Dist 4,"15601 US-150, Paris, IL 61944, USA","{'lat': 39.6065978, 'lng': -87.6739089}"
16,13716,Glenview Public School District 34,"3900 Glenview Rd, Glenview, IL 60025, USA","{'lat': 42.0740776, 'lng': -87.85271000000002}"
17,13717,DuPage County Regional Office of Education,"380 Greenfield Ave, Glen Ellyn, IL 60137, USA","{'lat': 41.8670285, 'lng': -88.073968}"
18,13718,Chicago Public School System,"5250 S Rockwell St, Chicago, IL 60632, USA","{'lat': 41.7981868, 'lng': -87.68941559999999}"
19,13719,Mary Miller Junior High School,"500 W Mulberry St, Georgetown, IL 61846, USA","{'lat': 39.9725516, 'lng': -87.6408034}"
20,13720,Board of Education of The City of Chicago,"6550 S Richmond St, Chicago, IL 60629, USA","{'lat': 41.7745537, 'lng': -87.69735899999999}"
21,13721,Eastern Illinois Special Ed,"5837 Park Dr, Charleston, IL 61920, USA","{'lat': 39.4855351, 'lng': -88.2610989}"
22,13722,St. Clair County Regional Office of Education,"2600 W Main St, Belleville, IL 62226, USA","{'lat': 38.5224333, 'lng': -90.0110756}"
23,13723,Lake County High Schools Technology Campus,"19525 W Washington St, Grayslake, IL 60030, USA","{'lat': 42.3581239, 'lng': -88.01673799999999}"
24,13724,Board of Education of The City of Chicago,"4652 S Bishop St, Chicago, IL 60609, USA","{'lat': 41.8088242, 'lng': -87.66170029999999}"
25,13725,Board of Education of The City of Chicago,"1340 W 71st St, Chicago, IL 60636, USA","{'lat': 41.7653931, 'lng': -87.6583442}"
26,13726,Clinton Unit School District #15,"407 S Jackson St, Clinton, IL 61727, USA","{'lat': 40.1495014, 'lng': -88.9635582}"
27,13727,Earlville High School,"415 W Union St, Earlville, IL 60518, USA","{'lat': 41.5841045, 'lng': -88.9248288}"
28,13728,Hinsdale Township High School District 86,"N Grant St, Hinsdale, IL 60521, USA","{'lat': 41.8080427, 'lng': -87.932576}"
29,13729,Clinton Unit School District #15,"54 Clinton Plaza, Clinton, IL 61727, USA","{'lat': 40.1484201, 'lng': -88.9769163}"
30,13730,Arbor School District,"17303 Central Ave, Tinley Park, IL 60477, USA","{'lat': 41.5769702, 'lng': -87.7534214}"
31,13731,Keller Graduate,"1075 Tri State Pkwy Ste 800, Gurnee, IL 60031, USA","{'lat': 42.3761226, 'lng': -87.94665429999999}"
