,_id,Name,Address,Geocodes
0,14000,Cristo Rey Jesuit High ...,"1852 W 22nd Pl, Chicago, IL 60608, USA","{'lat': 41.8516688, 'lng': -87.67275149999999}"
1,14001,Bond Co Cmty Unit Sch D...,"201 Lafayette St, Jeffersonville, IL 62842, USA","{'lat': 38.4413661, 'lng': -88.40243770000001}"
2,14002,Bronx Lighthouse Charte...,"8 W Root St, Chicago, IL 60609, USA","{'lat': 41.8197356, 'lng': -87.6267317}"
3,14003,D41 schools,"793 N Main St, Glen Ellyn, IL 60137, USA","{'lat': 41.8883016, 'lng': -88.0637734}"
4,14004,Garrett Evangelical Sem...,"2121 Sheridan Rd, Evanston, IL 60201, USA","{'lat': 42.0562209, 'lng': -87.6755804}"
5,14005,Gurnee Grade School,"940 Kilbourne Rd, Gurnee, IL 60031, USA","{'lat': 42.37355110000001, 'lng': -87.9186945}"
6,14006,Marion School Board-Edu...,"1400 W Hendrickson St, Marion, IL 62959, USA","{'lat': 37.7226134, 'lng': -88.94220949999999}"
7,14007,Chicago Public School S...,"2001 N Orchard St, Chicago, IL 60614, USA","{'lat': 41.9193918, 'lng': -87.6455484}"
8,14008,Consolidated School Dis...,"750 Academic Dr, Algonquin, IL 60102, USA","{'lat': 42.1611177, 'lng': -88.3774979}"
9,14009,Kingman Primary School,"519 NE Glendale Ave, Peoria, IL 61603, USA","{'lat': 40.7007483, 'lng': -89.5887705}"
10,14010,Matteson Elementary Sch...,"210 Illinois St, Park Forest, IL 60466, USA","{'lat': 41.5030241, 'lng': -87.6796095}"
11,14011,Lake Forest Country Day...,"145 S Green Bay Rd, Lake Forest, IL 60045, USA","{'lat': 42.2374684, 'lng': -87.83704829999999}"
12,14012,School District U-46,"1220 Dundee Ave, Elgin, IL 60120, USA","{'lat': 42.0604272, 'lng': -88.2670289}"
13,14013,Kankakee High School,"369 N 5th Ave, Kankakee, IL 60901, USA","{'lat': 41.1247226, 'lng': -87.8722369}"
14,14014,Paxton-Buckley-Loda Hig...,"341 E Center St, Paxton, IL 60957, USA","{'lat': 40.4591204, 'lng': -88.09351079999999}"
15,14015,Board of Education of T...,"2216 W Hirsch St, Chicago, IL 60622, USA","{'lat': 41.9073574, 'lng': -87.6829277}"
16,14016,DePue Unit School Distr...,"307 Chestnut St, Dalzell, IL 61320, USA","{'lat': 41.3573096, 'lng': -89.1729797}"
17,14017,Addision School Distric...,"400 S Michigan Ave, Addison, IL 60101, USA","{'lat': 41.9194281, 'lng': -87.9848859}"
18,14018,Loyola University of Ch...,"820 N Michigan Ave, Chicago, IL 60611, USA","{'lat': 41.897329, 'lng': -87.6249946}"
