NAME,FullAddress,Geocodes,ADDRESS,COUNTY,CITY,STATE,ZIP,WEBSITE
Anchorage School District,5530 E NORTHERN LIGHTS BLVD BONIFACE EDUCATION CENTER Anchorage ANCHORAGE AK 99695,,5530 E NORTHERN LIGHTS BLVD BONIFACE EDUCATION CENTER,Anchorage,ANCHORAGE,AK,99695,http://www.asd.k12.ak.us
Anchorage School District,PO Box 92109 Anchorage Anchorage AK 99509-2109,,PO Box 92109,Anchorage,Anchorage,AK,99509-2109,http://www.asd.k12.ak.us
Fairbanks North Star Borough Schools,520 5th Ave Fairbanks North Star Fairbanks AK 99701-4718,,520 5th Ave,Fairbanks North Star,Fairbanks,AK,99701-4718,http://www.k12northstar.org
Saint Mary's City High School,PO BOX 9 Wade Hampton SAINT MARYS AK 99658-0009,,PO BOX 9,Wade Hampton,SAINT MARYS,AK,99658-0009,
Ketchikan Gateway Borough School District,333 Schoenbar Rd Ketchikan Gateway Ketchikan AK 99901-6278,,333 Schoenbar Rd,Ketchikan Gateway,Ketchikan,AK,99901-6278,http://www.kgbsd.org
Highland Tech High School,5530 E NORTHERN LIGHTS BLVD Anchorage ANCHORAGE AK 99504,,5530 E NORTHERN LIGHTS BLVD,Anchorage,ANCHORAGE,AK,99504,
Holy Cross School,2627 LORE RD Anchorage ANCHORAGE AK 99507-5722,,2627 LORE RD,Anchorage,ANCHORAGE,AK,99507-5722,
Anchorage School District,5530 E NORTHERN LIGHTS BLVD Anchorage ANCHORAGE AK 99504,,5530 E NORTHERN LIGHTS BLVD,Anchorage,ANCHORAGE,AK,99504,http://www.asd.k12.ak.us
Anchorage School District,1400 E NORTHERN LIGHTS BLVD Anchorage ANCHORAGE AK 99508,,1400 E NORTHERN LIGHTS BLVD,Anchorage,ANCHORAGE,AK,99508,http://www.asd.k12.ak.us
Lower Kuskokwim Schools,PO BOX 305 Bethel BETHEL AK 99559-0305,,PO BOX 305,Bethel,BETHEL,AK,99559-0305,http://www.lksd.org
Southeast Island School District,PO Box 19569 Prince Wales Hyder Thorne Bay AK 99919-0569,,PO Box 19569,Prince Wales Hyder,Thorne Bay,AK,99919-0569,http://www.sisd.org
